Episode,Final_Balance,Final_NetWorth,Total_Reward
1,9954.049999999976,9954.049999999976,-1305333.6000001642
2,10581.949999999983,10581.949999999983,3689344.6999999997
3,9973.949999999995,9973.949999999995,-746148.6999998906
4,10240.899999999972,10240.899999999972,1483972.2999998932
5,3873.000000000054,9778.000000000055,-1411587.599999571
6,7238.500000000029,10191.00000000003,-412679.4999997582
7,9830.099999999995,9830.099999999995,-1953896.1999999925
8,4282.849999999991,10187.849999999991,-1217485.0500000527
9,7047.05000000001,9999.55000000001,872848.9499999918
10,1461.9499999999607,10319.44999999996,388645.34999961563
11,10108.75,10108.75,-533268.3499999378
12,3793.5999999999785,9698.599999999979,-1454060.300000219
13,9680.300000000001,9680.300000000001,-1921082.3500000206
14,4410.950000000018,10315.950000000019,-53427.24999976324
15,1381.1500000000278,10238.650000000027,-426112.69999987434
16,1031.300000000012,9888.800000000012,-569936.2999998761
17,1428.850000000009,10286.35000000001,-1068375.3000000105
18,10058.29999999999,10058.29999999999,-36791.50000004558
19,10205.000000000004,10205.000000000004,951737.6000001769
20,820.3999999999974,9677.899999999998,-2633457.100000009
21,10069.400000000009,10069.400000000009,-210600.54999978538
22,10094.299999999983,10094.299999999983,-252842.20000010426
23,10154.949999999975,10154.949999999975,-759337.0000001041
24,10213.249999999993,10213.249999999993,995260.2999999314
25,9660.800000000005,9660.800000000005,-2290800.499999843
26,10098.500000000015,10098.500000000015,-651290.0999999123
27,10078.600000000004,10078.600000000004,1095825.5499999735
28,10049.799999999987,10049.799999999987,-108364.1500000986
29,1030.1500000000024,9887.650000000001,-3670849.749999991
30,9762.90000000001,9762.90000000001,-2658565.849999928
31,10140.900000000025,10140.900000000025,1116405.5000001122
32,4071.1499999999714,9976.149999999972,-366603.250000152
33,4485.249999999998,10390.249999999998,697145.9000000404
34,1107.4499999999803,9964.94999999998,-1179093.0000001988
35,10048.300000000003,10048.300000000003,96851.85000006323
36,9750.099999999991,9750.099999999991,-1810630.2499999506
37,7187.000000000004,10139.500000000004,1013197.0500000746
38,1405.6000000000017,10263.100000000002,-32737.450000008615
39,931.0000000000132,9788.500000000013,-2289117.6000000257
40,681.8000000000097,9539.30000000001,-3663669.250000011
41,1156.499999999985,10013.999999999985,185792.35000006045
42,1236.3500000000272,10093.850000000028,3896.3000002095177
43,10001.649999999974,10001.649999999974,301331.49999987707
44,10130.099999999999,10130.099999999999,1076523.5999999982
45,9989.250000000013,9989.250000000013,-276293.3999998764
46,10162.600000000006,10162.600000000006,1207371.1499999636
47,853.0499999999984,9710.55,-1063820.1499998572
48,9785.050000000007,9785.050000000007,-2685916.1000001123
49,7282.1000000000095,10234.60000000001,2673949.449999958
50,1221.5499999999847,10079.049999999985,434891.24999995576
