date,open,high,low,close,volume
2024-04-29 09:15:00,495.7,496.75,494.05,496.2,24205
2024-04-29 09:16:00,495.95,497.75,495.55,497.75,10295
2024-04-29 09:17:00,497.75,499.6,497.6,499.6,13753
2024-04-29 09:18:00,499.6,500.0,499.2,499.35,11217
2024-04-29 09:19:00,499.35,500.0,499.2,499.95,5456
2024-04-29 09:20:00,499.95,501.5,499.9,501.5,16832
2024-04-29 09:21:00,501.55,502.75,501.3,501.4,26177
2024-04-29 09:22:00,501.4,501.9,501.0,501.15,8109
2024-04-29 09:23:00,501.15,501.75,501.0,501.45,9750
2024-04-29 09:24:00,501.45,502.25,500.95,501.95,20348
2024-04-29 09:25:00,501.65,502.25,501.3,502.25,8044
2024-04-29 09:26:00,501.9,504.0,501.8,503.95,36180
2024-04-29 09:27:00,504.1,504.5,503.0,503.5,20673
2024-04-29 09:28:00,503.5,503.5,502.55,502.7,10410
2024-04-29 09:29:00,502.9,503.0,502.0,502.5,8059
2024-04-29 09:30:00,502.15,502.8,501.65,502.8,10983
2024-04-29 09:31:00,502.35,503.9,502.2,503.75,26989
2024-04-29 09:32:00,503.4,505.5,502.95,504.85,52452
2024-04-29 09:33:00,504.85,505.5,503.7,504.0,23133
2024-04-29 09:34:00,504.0,504.05,502.6,503.45,13206
2024-04-29 09:35:00,503.45,503.95,502.7,503.85,21703
2024-04-29 09:36:00,503.85,503.9,501.6,501.6,30283
2024-04-29 09:37:00,501.6,502.0,500.6,501.7,13361
2024-04-29 09:38:00,501.7,503.3,501.6,503.1,12205
2024-04-29 09:39:00,503.1,503.2,502.1,502.5,38387
2024-04-29 09:40:00,502.3,503.0,502.3,502.95,3452
2024-04-29 09:41:00,502.95,503.2,502.15,502.15,9527
2024-04-29 09:42:00,502.15,502.4,500.25,500.7,14110
2024-04-29 09:43:00,500.7,500.85,499.4,499.5,13133
2024-04-29 09:44:00,499.5,500.15,499.5,499.95,4979
2024-04-29 09:45:00,499.95,500.2,499.7,500.0,8735
2024-04-29 09:46:00,500.0,500.25,499.4,499.8,32576
2024-04-29 09:47:00,499.8,501.45,499.8,501.3,4356
2024-04-29 09:48:00,501.3,501.8,501.05,501.4,4217
2024-04-29 09:49:00,501.4,501.65,500.4,500.6,7673
2024-04-29 09:50:00,500.9,501.4,500.4,500.7,9524
2024-04-29 09:51:00,500.8,501.65,500.7,501.0,7152
2024-04-29 09:52:00,501.0,501.65,501.0,501.15,4318
2024-04-29 09:53:00,501.15,501.9,501.15,501.55,3500
2024-04-29 09:54:00,501.55,502.6,501.55,502.5,8364
2024-04-29 09:55:00,502.3,502.7,502.15,502.15,4211
2024-04-29 09:56:00,502.45,502.45,501.3,501.6,4826
2024-04-29 09:57:00,501.6,501.6,500.65,501.0,7303
2024-04-29 09:58:00,500.95,500.95,500.1,500.7,5779
2024-04-29 09:59:00,500.7,500.75,500.25,500.35,4278
2024-04-29 10:00:00,500.7,500.85,500.45,500.85,1240
2024-04-29 10:01:00,500.9,501.0,500.0,500.3,4230
2024-04-29 10:02:00,500.3,501.0,500.1,500.45,4488
2024-04-29 10:03:00,500.45,500.85,500.15,500.5,3643
2024-04-29 10:04:00,500.35,500.65,500.35,500.6,1133
2024-04-29 10:05:00,500.6,500.8,500.4,500.65,2227
2024-04-29 10:06:00,500.65,500.7,500.2,500.7,2666
2024-04-29 10:07:00,500.7,500.8,500.2,500.5,4766
2024-04-29 10:08:00,500.5,500.75,500.4,500.75,704
2024-04-29 10:09:00,500.75,500.75,500.3,500.3,1032
2024-04-29 10:10:00,500.4,500.5,500.05,500.05,1036
2024-04-29 10:11:00,500.05,500.4,500.05,500.3,1324
2024-04-29 10:12:00,500.05,500.3,500.0,500.0,2659
2024-04-29 10:13:00,499.85,500.0,499.4,499.7,8372
2024-04-29 10:14:00,499.75,499.75,498.4,499.05,10658
2024-04-29 10:15:00,499.05,499.7,499.05,499.45,6717
2024-04-29 10:16:00,499.45,499.7,499.05,499.55,2534
