date,open,high,low,close,volume
2024-04-29 09:15:00,151.65,151.9,151.45,151.7,109561
2024-04-29 09:16:00,151.75,152.45,151.65,152.45,187659
2024-04-29 09:17:00,152.25,152.7,152.1,152.4,128679
2024-04-29 09:18:00,152.4,152.95,152.25,152.8,109628
2024-04-29 09:19:00,152.85,153.0,152.75,152.9,124543
2024-04-29 09:20:00,152.8,152.9,152.25,152.5,157349
2024-04-29 09:21:00,152.7,152.85,152.45,152.45,79495
2024-04-29 09:22:00,152.55,152.6,152.05,152.1,79359
2024-04-29 09:23:00,152.05,152.55,152.05,152.5,25522
2024-04-29 09:24:00,152.4,152.5,152.0,152.0,83673
2024-04-29 09:25:00,151.9,152.0,151.8,151.8,43163
2024-04-29 09:26:00,151.8,151.8,151.5,151.8,58098
2024-04-29 09:27:00,151.7,151.75,151.5,151.6,35416
2024-04-29 09:28:00,151.6,151.75,151.55,151.6,24260
2024-04-29 09:29:00,151.55,151.6,151.2,151.5,92712
2024-04-29 09:30:00,151.55,151.7,151.5,151.55,27442
2024-04-29 09:31:00,151.55,151.6,151.4,151.5,26833
2024-04-29 09:32:00,151.5,151.75,151.5,151.7,14450
2024-04-29 09:33:00,151.7,151.7,151.4,151.4,36483
2024-04-29 09:34:00,151.55,151.6,151.5,151.5,37552
2024-04-29 09:35:00,151.55,151.6,151.5,151.5,11138
2024-04-29 09:36:00,151.5,151.6,151.2,151.3,51501
2024-04-29 09:37:00,151.3,151.45,151.1,151.2,48420
2024-04-29 09:38:00,151.1,151.2,151.0,151.1,32674
2024-04-29 09:39:00,151.0,151.35,151.0,151.35,26047
2024-04-29 09:40:00,151.35,151.45,151.15,151.3,26911
2024-04-29 09:41:00,151.35,151.45,151.2,151.35,17238
2024-04-29 09:42:00,151.35,151.45,151.25,151.4,18329
2024-04-29 09:43:00,151.35,151.45,151.0,151.05,17877
2024-04-29 09:44:00,151.05,151.3,151.0,151.15,26748
2024-04-29 09:45:00,151.2,151.2,151.05,151.05,19025
2024-04-29 09:46:00,151.1,151.15,150.75,150.95,49796
2024-04-29 09:47:00,150.95,151.15,150.9,151.15,23408
2024-04-29 09:48:00,151.15,152.5,151.05,151.9,555646
2024-04-29 09:49:00,151.85,151.9,151.4,151.8,31281
2024-04-29 09:50:00,151.65,151.9,151.6,151.7,14096
