date,open,high,low,close,volume
2024-04-29 09:15:00,310.5,312.4,310.0,312.25,291979
2024-04-29 09:16:00,312.25,312.6,310.7,310.7,124997
2024-04-29 09:17:00,310.9,311.35,310.1,310.8,271115
2024-04-29 09:18:00,311.1,311.75,310.9,311.65,100281
2024-04-29 09:19:00,311.65,311.85,310.4,310.75,123445
2024-04-29 09:20:00,310.75,311.05,310.05,311.05,117079
2024-04-29 09:21:00,311.05,311.05,309.6,310.5,108929
2024-04-29 09:22:00,310.25,311.85,310.25,311.8,125379
2024-04-29 09:23:00,311.8,313.35,311.8,313.25,165671
2024-04-29 09:24:00,313.15,313.15,311.55,312.75,130030
2024-04-29 09:25:00,312.75,312.75,311.55,312.1,112317
2024-04-29 09:26:00,312.1,313.0,311.85,312.75,115381
2024-04-29 09:27:00,312.75,313.0,312.3,312.5,88103
2024-04-29 09:28:00,312.5,312.75,312.0,312.35,82948
2024-04-29 09:29:00,312.2,312.6,311.6,311.6,67576
2024-04-29 09:30:00,311.6,312.4,311.5,312.0,118394
2024-04-29 09:31:00,311.65,312.0,311.3,311.3,50710
2024-04-29 09:32:00,311.5,313.7,310.85,313.7,166181
2024-04-29 09:33:00,313.45,314.7,312.75,314.0,168426
2024-04-29 09:34:00,313.9,314.65,313.65,313.95,125734
2024-04-29 09:35:00,313.95,314.2,312.35,312.65,120050
2024-04-29 09:36:00,312.5,313.9,312.5,313.45,88858
2024-04-29 09:37:00,313.3,313.7,312.35,312.95,87509
2024-04-29 09:38:00,313.0,313.85,312.95,313.6,45967
2024-04-29 09:39:00,313.6,314.4,312.7,312.85,166235
2024-04-29 09:40:00,312.95,313.1,311.85,311.85,186187
2024-04-29 09:41:00,311.95,312.15,311.0,311.1,82124
2024-04-29 09:42:00,311.0,311.15,310.1,310.25,185655
2024-04-29 09:43:00,310.25,310.75,309.45,309.7,145666
2024-04-29 09:44:00,309.5,310.25,309.5,310.0,93123
2024-04-29 09:45:00,310.05,310.1,309.5,309.6,41864
2024-04-29 09:46:00,309.6,309.8,309.0,309.2,72376
2024-04-29 09:47:00,309.2,309.95,309.2,309.55,36920
2024-04-29 09:48:00,309.7,309.9,309.45,309.5,31902
