date,open,high,low,close,volume
2024-04-29 09:15:00,614.95,614.95,612.0,614.5,64626
2024-04-29 09:16:00,614.05,614.5,612.1,612.1,43493
2024-04-29 09:17:00,612.55,613.5,611.0,611.6,62571
2024-04-29 09:18:00,611.25,613.45,611.1,612.45,40967
2024-04-29 09:19:00,612.15,612.6,611.5,612.1,18303
2024-04-29 09:20:00,612.1,612.2,611.1,611.65,21938
2024-04-29 09:21:00,611.95,612.4,611.5,611.55,13534
2024-04-29 09:22:00,611.55,612.0,610.55,611.0,33876
2024-04-29 09:23:00,610.9,611.3,610.1,610.7,18434
2024-04-29 09:24:00,610.7,610.95,610.1,610.25,15118
2024-04-29 09:25:00,610.25,610.8,609.2,609.25,89824
2024-04-29 09:26:00,609.3,609.7,609.0,609.45,18413
2024-04-29 09:27:00,609.45,610.2,609.15,609.5,14963
2024-04-29 09:28:00,609.7,609.8,608.8,609.0,19363
2024-04-29 09:29:00,608.9,609.5,608.1,608.1,23420
2024-04-29 09:30:00,608.45,608.65,607.6,608.0,26729
2024-04-29 09:31:00,608.0,608.15,607.2,607.4,24295
2024-04-29 09:32:00,607.4,609.8,607.3,609.75,33157
2024-04-29 09:33:00,609.35,610.05,608.35,608.6,20123
2024-04-29 09:34:00,608.6,609.35,608.3,608.6,43252
2024-04-29 09:35:00,608.6,610.35,608.3,609.8,30899
2024-04-29 09:36:00,609.8,610.0,608.65,609.05,14658
2024-04-29 09:37:00,609.05,609.7,608.75,609.15,12305
2024-04-29 09:38:00,609.3,610.1,609.0,609.1,21488
2024-04-29 09:39:00,609.05,610.75,609.0,610.7,21464
2024-04-29 09:40:00,610.65,611.9,610.5,610.85,37363
2024-04-29 09:41:00,610.85,611.5,610.5,610.5,37492
2024-04-29 09:42:00,610.55,611.7,610.5,611.7,27242
2024-04-29 09:43:00,611.7,612.5,611.45,611.85,40048
2024-04-29 09:44:00,611.6,611.9,610.65,611.15,16292
2024-04-29 09:45:00,611.15,611.35,609.85,610.0,26701
2024-04-29 09:46:00,610.0,610.45,609.5,610.45,19303
2024-04-29 09:47:00,610.4,612.35,610.1,612.15,51219
2024-04-29 09:48:00,611.8,612.4,611.25,611.75,60035
