date,open,high,low,close,volume
2024-04-29 09:15:00,677.0,679.35,675.05,677.9,36412
2024-04-29 09:16:00,677.5,682.0,677.4,681.45,28872
2024-04-29 09:17:00,681.4,682.45,678.1,682.45,41578
2024-04-29 09:18:00,681.9,682.8,679.0,679.0,12741
2024-04-29 09:19:00,678.65,680.95,678.65,680.0,25574
2024-04-29 09:20:00,680.0,681.65,679.75,679.75,16358
2024-04-29 09:21:00,679.0,682.8,679.0,682.0,16641
2024-04-29 09:22:00,681.9,682.8,680.8,681.8,9252
2024-04-29 09:23:00,681.8,682.5,680.5,680.5,34489
2024-04-29 09:24:00,680.5,680.5,677.1,678.8,15182
2024-04-29 09:25:00,678.8,679.6,677.75,678.0,9188
2024-04-29 09:26:00,678.0,681.3,677.85,681.3,26013
2024-04-29 09:27:00,681.15,682.0,681.05,681.8,13378
2024-04-29 09:28:00,681.65,682.4,681.65,682.4,10976
2024-04-29 09:29:00,682.4,682.4,680.3,680.3,8126
2024-04-29 09:30:00,680.0,680.2,677.0,678.25,32955
2024-04-29 09:31:00,678.2,679.9,677.5,679.8,10531
2024-04-29 09:32:00,679.8,683.0,679.4,683.0,24767
2024-04-29 09:33:00,683.0,683.95,681.1,681.4,23501
2024-04-29 09:34:00,681.4,682.8,681.15,682.8,13878
2024-04-29 09:35:00,682.8,683.5,682.3,682.75,25268
2024-04-29 09:36:00,682.85,684.0,682.25,684.0,19700
2024-04-29 09:37:00,684.0,684.5,681.45,681.45,26330
2024-04-29 09:38:00,681.85,682.35,681.0,682.0,18214
2024-04-29 09:39:00,681.6,682.8,681.6,682.45,6375
2024-04-29 09:40:00,682.45,683.3,682.45,683.2,6508
2024-04-29 09:41:00,683.2,683.35,682.45,682.65,8264
2024-04-29 09:42:00,682.55,682.9,682.1,682.4,8657
2024-04-29 09:43:00,682.4,682.4,679.2,679.35,40482
2024-04-29 09:44:00,679.15,681.3,679.15,680.85,18881
2024-04-29 09:45:00,680.85,680.85,678.2,678.25,15685
2024-04-29 09:46:00,678.5,678.9,677.6,678.1,16946
2024-04-29 09:47:00,678.05,680.6,678.05,680.6,9300
2024-04-29 09:48:00,680.6,681.5,678.25,678.65,61553
2024-04-29 09:49:00,678.65,679.5,677.65,679.5,4561
2024-04-29 09:50:00,679.5,679.5,678.15,678.7,10422
2024-04-29 09:51:00,678.25,679.85,678.25,679.85,2682
2024-04-29 09:52:00,679.55,680.5,679.55,680.35,7063
2024-04-29 09:53:00,680.35,681.05,679.6,680.25,12197
2024-04-29 09:54:00,680.3,680.8,680.3,680.6,1887
2024-04-29 09:55:00,680.3,680.35,679.0,680.1,8359
2024-04-29 09:56:00,680.1,680.6,679.5,680.0,2646
2024-04-29 09:57:00,680.0,680.0,678.05,678.5,21680
2024-04-29 09:58:00,678.5,678.5,676.1,676.1,22333
2024-04-29 09:59:00,676.7,677.55,674.55,677.55,35352
2024-04-29 10:00:00,677.7,678.15,676.5,677.55,12987
2024-04-29 10:01:00,677.55,679.55,677.55,678.95,19900
2024-04-29 10:02:00,678.95,679.25,677.05,677.75,15135
2024-04-29 10:03:00,677.75,678.0,676.1,676.1,13820
2024-04-29 10:04:00,676.1,676.4,672.3,674.2,60258
2024-04-29 10:05:00,674.2,675.2,672.15,674.8,19575
2024-04-29 10:06:00,675.1,675.15,674.0,674.0,3768
2024-04-29 10:07:00,674.45,674.8,673.6,673.6,6876
2024-04-29 10:08:00,673.6,674.25,673.25,674.25,2829
2024-04-29 10:09:00,674.25,674.35,673.2,673.35,9255
2024-04-29 10:10:00,673.35,673.55,671.55,673.05,21105
2024-04-29 10:11:00,673.0,673.55,671.55,671.8,9043
2024-04-29 10:12:00,671.8,672.25,667.3,669.7,54524
2024-04-29 10:13:00,669.25,669.3,664.8,667.85,86600
2024-04-29 10:14:00,668.0,668.95,667.65,668.8,5857
2024-04-29 10:15:00,668.8,669.9,668.75,669.6,8053
2024-04-29 10:16:00,670.05,671.3,669.8,671.3,5478
2024-04-29 10:17:00,671.3,671.75,671.0,671.75,4289
2024-04-29 10:18:00,671.75,671.75,670.0,670.95,9544
2024-04-29 10:19:00,670.55,671.15,669.5,669.55,5791
2024-04-29 10:20:00,669.55,669.9,668.8,668.85,4087
2024-04-29 10:21:00,668.4,668.8,668.05,668.3,2691
2024-04-29 10:22:00,668.2,668.5,667.2,668.0,5318
2024-04-29 10:23:00,668.0,668.0,667.1,667.8,10237
2024-04-29 10:24:00,667.65,668.1,664.4,665.6,44905
2024-04-29 10:25:00,665.6,666.7,664.7,666.7,8423
2024-04-29 10:26:00,666.7,668.65,666.7,668.65,5419
2024-04-29 10:27:00,668.65,669.5,667.7,669.5,8338
2024-04-29 10:28:00,669.5,670.0,669.1,669.6,5136
2024-04-29 10:29:00,669.2,669.95,669.2,669.9,6731
2024-04-29 10:30:00,669.9,670.0,669.2,669.5,3374
2024-04-29 10:31:00,669.5,669.5,667.5,668.0,2419
2024-04-29 10:32:00,667.95,668.55,667.95,668.5,1978
2024-04-29 10:33:00,668.5,668.75,667.95,668.4,3862
2024-04-29 10:34:00,668.4,669.5,668.35,669.5,4885
2024-04-29 10:35:00,669.5,669.8,668.65,669.25,3892
2024-04-29 10:36:00,669.25,669.25,668.45,669.2,2864
2024-04-29 10:37:00,669.2,669.9,668.55,669.6,9521
2024-04-29 10:38:00,669.6,670.55,669.6,670.55,5873
2024-04-29 10:39:00,670.45,670.8,669.5,669.5,9732
2024-04-29 10:40:00,669.5,669.9,668.2,669.3,3423
2024-04-29 10:41:00,669.1,669.6,669.0,669.35,2458
2024-04-29 10:42:00,669.35,669.35,668.6,669.3,3942
2024-04-29 10:43:00,669.3,669.3,668.65,668.65,2384
2024-04-29 10:44:00,668.65,669.0,668.2,668.5,1358
2024-04-29 10:45:00,668.25,668.5,667.65,667.8,2796
2024-04-29 10:46:00,667.8,668.0,667.55,667.65,1586
2024-04-29 10:47:00,667.75,667.95,666.6,667.35,8799
2024-04-29 10:48:00,667.35,670.7,667.35,670.7,13490
2024-04-29 10:49:00,670.7,670.7,670.0,670.65,2123
