date,open,high,low,close,volume
2024-04-29 09:15:00,121.28,121.68,120.78,121.58,639185
2024-04-29 09:16:00,121.53,121.68,121.48,121.58,277435
2024-04-29 09:17:00,121.58,121.73,121.38,121.43,413975
2024-04-29 09:18:00,121.43,121.73,121.38,121.63,405155
2024-04-29 09:19:00,121.63,121.73,121.53,121.58,196035
2024-04-29 09:20:00,121.58,121.63,121.28,121.48,285720
2024-04-29 09:21:00,121.48,121.63,121.43,121.53,217425
2024-04-29 09:22:00,121.43,121.53,121.33,121.33,262135
2024-04-29 09:23:00,121.33,121.58,121.23,121.53,262970
2024-04-29 09:24:00,121.53,121.58,121.33,121.38,153010
2024-04-29 09:25:00,121.38,121.53,121.23,121.43,178860
2024-04-29 09:26:00,121.43,121.43,121.23,121.23,147270
2024-04-29 09:27:00,121.28,121.28,121.13,121.13,129170
2024-04-29 09:28:00,121.13,121.13,121.03,121.08,125645
2024-04-29 09:29:00,121.08,121.08,121.03,121.03,117650
2024-04-29 09:30:00,120.98,121.13,120.98,121.03,151205
2024-04-29 09:31:00,121.03,121.03,120.93,121.03,193695
2024-04-29 09:32:00,121.08,121.28,121.08,121.23,44240
2024-04-29 09:33:00,121.23,121.38,121.13,121.23,184290
2024-04-29 09:34:00,121.18,121.28,121.13,121.18,117345
2024-04-29 09:35:00,121.18,121.28,121.18,121.23,97830
2024-04-29 09:36:00,121.28,121.28,120.93,120.93,361915
2024-04-29 09:37:00,120.93,121.03,120.83,120.88,151805
2024-04-29 09:38:00,120.88,120.98,120.83,120.88,84690
2024-04-29 09:39:00,120.88,120.98,120.83,120.93,40160
2024-04-29 09:40:00,120.93,120.98,120.83,120.88,51725
2024-04-29 09:41:00,120.88,120.98,120.83,120.98,63820
2024-04-29 09:42:00,120.98,120.98,120.73,120.88,234735
2024-04-29 09:43:00,120.88,120.88,120.43,120.48,286315
2024-04-29 09:44:00,120.48,120.68,120.48,120.68,129845
2024-04-29 09:45:00,120.68,120.68,120.53,120.53,82920
2024-04-29 09:46:00,120.48,120.48,120.23,120.28,314455
2024-04-29 09:47:00,120.28,120.53,120.23,120.38,130860
2024-04-29 09:48:00,120.38,120.38,120.03,120.28,355720
2024-04-29 09:49:00,120.28,120.33,120.13,120.18,165430
2024-04-29 09:50:00,120.23,120.33,120.13,120.23,195990
2024-04-29 09:51:00,120.23,120.28,120.08,120.23,146695
2024-04-29 09:52:00,120.23,120.33,120.23,120.33,42445
2024-04-29 09:53:00,120.33,120.53,120.33,120.43,51125
2024-04-29 09:54:00,120.43,120.48,119.98,120.03,329470
2024-04-29 09:55:00,119.98,120.28,119.98,120.18,202210
2024-04-29 09:56:00,120.18,120.18,119.93,119.93,252560
2024-04-29 09:57:00,119.93,120.03,119.88,119.93,119400
2024-04-29 09:58:00,119.93,120.03,119.93,119.98,174285
2024-04-29 09:59:00,119.98,119.98,119.63,119.83,328415
2024-04-29 10:00:00,119.83,119.93,119.83,119.93,40670
2024-04-29 10:01:00,119.93,119.93,119.68,119.88,71715
2024-04-29 10:02:00,119.88,120.08,119.88,119.93,107280
2024-04-29 10:03:00,119.93,120.08,119.88,119.93,43310
2024-04-29 10:04:00,119.93,119.93,119.83,119.93,95155
2024-04-29 10:05:00,119.93,120.03,119.88,119.98,55570
2024-04-29 10:06:00,119.98,120.08,119.98,120.08,89010
2024-04-29 10:07:00,120.08,120.08,119.98,120.03,80150
2024-04-29 10:08:00,120.03,120.13,120.03,120.08,78295
2024-04-29 10:09:00,120.08,120.08,119.78,119.88,169530
2024-04-29 10:10:00,119.88,119.93,119.88,119.93,76630
2024-04-29 10:11:00,119.93,120.03,119.93,119.98,108620
2024-04-29 10:12:00,119.93,120.03,119.93,120.03,57845
2024-04-29 10:13:00,120.03,120.23,120.03,120.08,95485
2024-04-29 10:14:00,120.08,120.13,119.98,119.98,98515
2024-04-29 10:15:00,119.98,120.13,119.98,120.13,59860
2024-04-29 10:16:00,120.13,120.38,120.13,120.38,55050
2024-04-29 10:17:00,120.38,120.38,120.18,120.33,127625
2024-04-29 10:18:00,120.33,120.33,120.18,120.23,37285
2024-04-29 10:19:00,120.23,120.28,120.18,120.18,68755
2024-04-29 10:20:00,120.18,120.28,120.08,120.23,54710
2024-04-29 10:21:00,120.23,120.28,120.23,120.28,45500
2024-04-29 10:22:00,120.28,120.33,120.28,120.33,70670
2024-04-29 10:23:00,120.33,120.43,120.28,120.43,62330
2024-04-29 10:24:00,120.43,120.53,120.38,120.43,143595
2024-04-29 10:25:00,120.43,120.53,120.43,120.53,93095
2024-04-29 10:26:00,120.53,120.68,120.53,120.68,110300
