date,open,high,low,close,volume
2024-04-29 09:15:00,144.5,145.7,144.05,144.85,136441
2024-04-29 09:16:00,144.95,146.45,144.75,146.25,159028
2024-04-29 09:17:00,146.2,146.45,146.0,146.2,108329
2024-04-29 09:18:00,146.6,146.6,145.7,145.8,239197
2024-04-29 09:19:00,145.65,146.2,145.65,145.8,45131
2024-04-29 09:20:00,145.85,146.15,145.6,146.0,181729
2024-04-29 09:21:00,146.15,146.15,145.9,146.0,26909
2024-04-29 09:22:00,145.9,146.2,145.9,146.05,43849
2024-04-29 09:23:00,145.9,146.2,145.9,146.05,39953
2024-04-29 09:24:00,146.05,146.05,145.7,145.95,29102
2024-04-29 09:25:00,145.9,146.0,145.8,145.85,94931
2024-04-29 09:26:00,145.95,145.95,145.4,145.7,20493
2024-04-29 09:27:00,145.7,145.95,145.7,145.9,15897
2024-04-29 09:28:00,145.9,145.95,145.6,145.7,109429
2024-04-29 09:29:00,145.7,145.8,145.5,145.55,30197
2024-04-29 09:30:00,145.5,145.6,145.3,145.45,20410
2024-04-29 09:31:00,145.45,145.55,144.85,144.95,82846
2024-04-29 09:32:00,145.4,145.85,145.2,145.85,186753
2024-04-29 09:33:00,145.85,145.9,145.6,145.6,9956
2024-04-29 09:34:00,145.6,145.8,145.6,145.8,10173
2024-04-29 09:35:00,145.8,145.95,145.7,145.95,13477
2024-04-29 09:36:00,145.95,146.0,145.65,145.65,52439
2024-04-29 09:37:00,145.65,146.0,145.65,145.9,36594
2024-04-29 09:38:00,145.85,145.95,145.75,145.9,9574
2024-04-29 09:39:00,145.9,145.9,145.65,145.85,8747
2024-04-29 09:40:00,145.85,145.9,145.7,145.85,17183
2024-04-29 09:41:00,145.85,145.95,145.65,145.95,16084
2024-04-29 09:42:00,145.95,145.95,145.65,145.8,10701
2024-04-29 09:43:00,145.8,146.35,145.7,145.9,152360
2024-04-29 09:44:00,145.8,146.0,145.25,145.3,63946
2024-04-29 09:45:00,145.3,145.5,145.1,145.35,20470
2024-04-29 09:46:00,145.35,145.35,144.8,144.95,49097
2024-04-29 09:47:00,144.95,145.25,144.8,145.15,80310
2024-04-29 09:48:00,145.15,145.45,144.9,145.45,30504
2024-04-29 09:49:00,145.3,145.6,145.3,145.6,14113
2024-04-29 09:50:00,145.6,145.6,145.2,145.3,15255
2024-04-29 09:51:00,145.35,145.4,145.2,145.3,13277
2024-04-29 09:52:00,145.4,145.5,145.3,145.45,11379
2024-04-29 09:53:00,145.45,145.5,145.3,145.4,8475
2024-04-29 09:54:00,145.4,145.8,145.25,145.75,40000
2024-04-29 09:55:00,145.75,145.9,145.6,145.85,41041
2024-04-29 09:56:00,146.0,146.2,145.9,146.0,45916
2024-04-29 09:57:00,146.0,146.2,145.9,146.1,23117
2024-04-29 09:58:00,146.05,146.1,145.7,145.8,63887
2024-04-29 09:59:00,145.8,145.9,145.55,145.75,17647
2024-04-29 10:00:00,145.75,145.75,145.5,145.65,15108
2024-04-29 10:01:00,145.65,145.65,145.4,145.5,6456
2024-04-29 10:02:00,145.5,145.65,145.45,145.55,24226
2024-04-29 10:03:00,145.55,145.65,145.5,145.6,4207
2024-04-29 10:04:00,145.6,145.6,145.35,145.35,2862
2024-04-29 10:05:00,145.4,145.5,145.35,145.45,5065
2024-04-29 10:06:00,145.45,145.95,145.35,145.9,78347
2024-04-29 10:07:00,145.9,146.05,145.8,145.85,45588
2024-04-29 10:08:00,145.85,146.2,145.75,146.15,62201
2024-04-29 10:09:00,146.05,147.65,145.9,147.5,565468
2024-04-29 10:10:00,147.5,147.65,147.15,147.25,150434
2024-04-29 10:11:00,147.25,148.3,147.1,148.1,291920
2024-04-29 10:12:00,148.2,148.8,147.95,148.6,326055
2024-04-29 10:13:00,148.65,148.95,148.45,148.55,198736
2024-04-29 10:14:00,148.5,149.1,148.4,148.8,375426
2024-04-29 10:15:00,148.7,149.7,148.7,149.7,321019
2024-04-29 10:16:00,149.65,149.9,149.2,149.65,490336
2024-04-29 10:17:00,149.85,150.3,149.4,149.7,737769
2024-04-29 10:18:00,149.6,149.75,148.65,148.85,259085
2024-04-29 10:19:00,148.75,148.95,148.0,148.1,242676
2024-04-29 10:20:00,148.1,149.45,148.0,149.3,187172
2024-04-29 10:21:00,149.3,149.45,148.8,149.0,96355
2024-04-29 10:22:00,149.0,149.75,148.65,149.05,230389
2024-04-29 10:23:00,149.05,149.25,148.75,149.0,648785
2024-04-29 10:24:00,148.9,149.0,148.55,148.55,71101
2024-04-29 10:25:00,148.55,148.65,148.45,148.55,105643
