date,open,high,low,close,volume
2024-04-29 09:15:00,388.0,389.7,385.35,386.7,9518
2024-04-29 09:16:00,387.5,387.5,383.95,385.25,10717
2024-04-29 09:17:00,385.3,386.85,384.7,385.1,2537
2024-04-29 09:18:00,384.8,385.95,384.7,385.05,2041
2024-04-29 09:19:00,384.65,384.95,383.85,384.05,4726
2024-04-29 09:20:00,384.15,384.7,383.15,383.15,2065
2024-04-29 09:21:00,383.15,383.3,382.55,383.0,2805
2024-04-29 09:22:00,383.0,383.0,380.3,380.95,5700
2024-04-29 09:23:00,380.75,381.7,380.55,381.3,3041
2024-04-29 09:24:00,381.6,384.05,381.45,383.0,9323
2024-04-29 09:25:00,383.0,383.0,382.0,382.0,1758
2024-04-29 09:26:00,382.0,382.3,381.6,381.9,3096
2024-04-29 09:27:00,381.9,382.0,381.35,381.4,2554
2024-04-29 09:28:00,381.4,381.5,381.0,381.0,1246
2024-04-29 09:29:00,381.05,381.5,380.5,381.45,8008
2024-04-29 09:30:00,381.1,381.6,380.55,380.7,6985
2024-04-29 09:31:00,380.65,381.85,380.65,381.85,1368
2024-04-29 09:32:00,381.45,382.2,381.25,381.5,19645
2024-04-29 09:33:00,381.5,382.0,381.45,381.65,911
2024-04-29 09:34:00,381.65,382.0,381.0,381.4,1818
2024-04-29 09:35:00,381.4,381.5,380.6,380.8,1618
2024-04-29 09:36:00,380.8,381.1,380.7,380.8,330
2024-04-29 09:37:00,380.95,380.95,380.1,380.15,1408
2024-04-29 09:38:00,380.15,380.5,379.35,379.35,6560
2024-04-29 09:39:00,379.65,380.0,379.15,379.85,772
2024-04-29 09:40:00,379.95,379.95,378.15,378.45,3888
2024-04-29 09:41:00,378.45,378.95,378.1,378.8,2283
2024-04-29 09:42:00,378.95,378.95,378.35,378.95,1450
2024-04-29 09:43:00,378.95,379.0,378.35,378.35,1394
2024-04-29 09:44:00,378.6,379.5,378.6,379.05,4297
2024-04-29 09:45:00,379.1,379.8,379.0,379.3,988
2024-04-29 09:46:00,379.2,379.5,378.55,378.55,1315
2024-04-29 09:47:00,378.4,378.65,377.6,378.0,7112
2024-04-29 09:48:00,378.0,378.0,377.0,377.0,3185
2024-04-29 09:49:00,377.0,377.4,376.15,377.0,6074
2024-04-29 09:50:00,377.0,377.0,376.3,376.3,2115
2024-04-29 09:51:00,376.3,376.55,376.15,376.5,859
2024-04-29 09:52:00,376.2,376.7,376.15,376.2,711
2024-04-29 09:53:00,376.25,377.9,376.25,376.8,2313
2024-04-29 09:54:00,376.8,377.1,376.3,376.3,588
2024-04-29 09:55:00,376.3,377.05,376.3,376.75,1647
2024-04-29 09:56:00,376.75,376.9,376.3,376.35,619
2024-04-29 09:57:00,376.7,376.85,376.35,376.55,1555
2024-04-29 09:58:00,376.55,376.55,376.3,376.55,1461
2024-04-29 09:59:00,376.45,376.9,376.35,376.8,235
2024-04-29 10:00:00,376.9,376.9,376.0,376.0,7150
2024-04-29 10:01:00,376.0,376.0,375.3,375.65,3129
2024-04-29 10:02:00,375.65,376.3,375.65,375.65,545
2024-04-29 10:03:00,375.65,376.0,375.3,375.3,765
2024-04-29 10:04:00,375.3,375.35,374.0,374.55,11547
2024-04-29 10:05:00,374.55,374.7,374.0,374.05,2229
