date,open,high,low,close,volume
2024-04-29 09:15:00,512.4,512.45,510.75,511.15,23324
2024-04-29 09:16:00,511.15,511.55,510.9,511.3,6323
2024-04-29 09:17:00,511.3,511.35,510.9,511.2,5243
2024-04-29 09:18:00,511.0,512.0,511.0,511.9,8768
2024-04-29 09:19:00,511.9,511.95,511.55,511.85,3085
2024-04-29 09:20:00,511.0,511.65,511.0,511.4,4636
2024-04-29 09:21:00,511.4,511.7,511.1,511.45,6406
2024-04-29 09:22:00,511.45,511.95,511.4,511.95,3930
2024-04-29 09:23:00,511.95,511.95,511.6,511.8,1738
2024-04-29 09:24:00,511.6,511.85,511.6,511.85,2345
2024-04-29 09:25:00,511.85,512.0,511.8,511.95,5722
2024-04-29 09:26:00,511.95,512.25,511.85,511.95,11753
2024-04-29 09:27:00,511.95,512.2,511.95,512.0,4446
2024-04-29 09:28:00,512.1,512.1,511.95,512.0,2921
2024-04-29 09:29:00,512.0,512.25,512.0,512.0,8204
2024-04-29 09:30:00,511.8,512.05,511.35,511.4,7103
2024-04-29 09:31:00,511.6,511.6,510.95,511.45,16525
2024-04-29 09:32:00,511.45,512.0,511.05,512.0,2925
2024-04-29 09:33:00,512.0,512.1,511.55,512.05,5693
2024-04-29 09:34:00,511.6,512.2,511.6,511.8,6838
2024-04-29 09:35:00,511.8,512.25,511.8,512.0,2254
2024-04-29 09:36:00,512.25,512.5,512.1,512.45,11132
2024-04-29 09:37:00,512.4,512.8,512.1,512.4,11068
2024-04-29 09:38:00,512.4,512.4,512.1,512.4,1883
2024-04-29 09:39:00,512.4,512.4,511.95,511.95,3233
2024-04-29 09:40:00,511.95,512.1,511.8,511.9,821
2024-04-29 09:41:00,511.7,511.7,511.15,511.3,2480
2024-04-29 09:42:00,511.3,511.3,510.95,511.1,2933
2024-04-29 09:43:00,511.0,511.0,510.2,510.4,6493
2024-04-29 09:44:00,510.2,510.3,510.0,510.05,3293
2024-04-29 09:45:00,510.1,510.45,510.1,510.45,674
2024-04-29 09:46:00,510.45,510.45,510.1,510.1,356
2024-04-29 09:47:00,510.05,510.1,509.5,510.1,7046
2024-04-29 09:48:00,510.1,510.2,509.95,510.2,1219
2024-04-29 09:49:00,510.2,510.25,509.65,509.95,3837
2024-04-29 09:50:00,509.7,510.15,509.7,509.9,1539
2024-04-29 09:51:00,509.9,510.2,509.9,510.2,1741
2024-04-29 09:52:00,510.1,510.2,510.0,510.2,507
2024-04-29 09:53:00,510.2,510.55,510.2,510.55,2260
2024-04-29 09:54:00,510.25,510.35,509.95,510.2,2067
2024-04-29 09:55:00,510.2,510.65,510.0,510.6,1891
2024-04-29 09:56:00,510.6,510.65,510.35,510.55,1351
2024-04-29 09:57:00,510.55,510.55,509.95,509.95,980
2024-04-29 09:58:00,509.85,510.15,509.75,510.05,1171
2024-04-29 09:59:00,510.05,510.05,509.7,509.7,994
2024-04-29 10:00:00,510.0,510.1,509.7,509.75,594
2024-04-29 10:01:00,509.75,510.1,509.75,510.05,2324
2024-04-29 10:02:00,510.05,510.15,509.8,509.8,711
2024-04-29 10:03:00,509.9,509.95,509.55,509.55,1655
2024-04-29 10:04:00,509.6,509.6,509.35,509.45,2650
2024-04-29 10:05:00,509.45,509.45,509.15,509.4,750
2024-04-29 10:06:00,509.4,509.45,509.15,509.45,1733
2024-04-29 10:07:00,509.45,509.65,509.45,509.65,234
2024-04-29 10:08:00,509.65,509.85,509.65,509.7,883
2024-04-29 10:09:00,509.7,509.8,509.65,509.8,595
2024-04-29 10:10:00,509.8,509.85,509.8,509.8,645
2024-04-29 10:11:00,509.8,509.85,509.5,509.8,370
2024-04-29 10:12:00,509.75,509.75,509.05,509.05,2112
2024-04-29 10:13:00,509.15,509.2,509.05,509.15,638
2024-04-29 10:14:00,509.05,509.2,509.05,509.05,542
2024-04-29 10:15:00,509.0,509.45,509.0,509.45,3681
2024-04-29 10:16:00,509.1,509.45,509.1,509.45,1355
2024-04-29 10:17:00,509.45,509.45,509.0,509.25,2579
2024-04-29 10:18:00,509.3,509.5,509.0,509.3,2783
2024-04-29 10:19:00,509.3,509.6,509.25,509.55,221
2024-04-29 10:20:00,509.55,509.65,509.3,509.3,123
2024-04-29 10:21:00,509.6,509.6,509.3,509.3,416
2024-04-29 10:22:00,509.3,509.5,509.0,509.25,4338
2024-04-29 10:23:00,509.25,509.25,508.9,509.2,1516
2024-04-29 10:24:00,509.2,509.3,509.0,509.05,1148
