date,open,high,low,close,volume
2024-04-29 09:15:00,623.3,624.9,621.85,624.9,7773
2024-04-29 09:16:00,624.9,626.9,624.1,625.65,6545
2024-04-29 09:17:00,625.5,625.7,623.1,623.9,2986
2024-04-29 09:18:00,623.95,624.55,623.0,624.45,2238
2024-04-29 09:19:00,624.45,624.45,623.2,623.25,1668
2024-04-29 09:20:00,623.5,624.0,621.7,622.85,3352
2024-04-29 09:21:00,622.85,624.4,622.0,624.4,2394
2024-04-29 09:22:00,624.85,626.4,623.8,626.4,8027
2024-04-29 09:23:00,626.4,628.4,626.0,628.0,5180
2024-04-29 09:24:00,627.2,628.7,627.0,627.15,11573
2024-04-29 09:25:00,627.0,627.0,625.5,626.0,3107
2024-04-29 09:26:00,626.0,626.0,625.1,625.9,494
2024-04-29 09:27:00,625.9,626.65,625.45,625.65,2218
2024-04-29 09:28:00,626.0,626.55,625.05,625.6,3552
2024-04-29 09:29:00,626.45,626.8,625.25,626.4,1357
2024-04-29 09:30:00,626.5,626.5,625.05,626.0,2072
2024-04-29 09:31:00,625.2,626.0,623.7,624.0,3196
2024-04-29 09:32:00,624.0,626.0,623.0,626.0,2140
2024-04-29 09:33:00,626.0,628.0,625.75,628.0,6949
2024-04-29 09:34:00,627.35,628.35,627.35,628.0,2712
2024-04-29 09:35:00,627.85,628.7,627.45,628.25,4133
2024-04-29 09:36:00,628.25,628.4,627.95,628.3,2292
2024-04-29 09:37:00,628.3,629.65,628.0,628.9,10183
2024-04-29 09:38:00,628.4,628.95,628.3,628.3,1317
2024-04-29 09:39:00,628.3,628.95,627.45,628.0,2268
2024-04-29 09:40:00,628.0,628.75,628.0,628.45,1998
2024-04-29 09:41:00,628.45,628.85,628.1,628.4,1139
2024-04-29 09:42:00,628.8,628.85,627.55,628.0,12723
2024-04-29 09:43:00,628.0,628.7,627.7,628.0,10850
2024-04-29 09:44:00,628.5,628.5,627.4,628.0,16189
2024-04-29 09:45:00,628.5,628.8,627.1,628.0,43109
2024-04-29 09:46:00,628.0,629.9,627.65,628.0,37684
2024-04-29 09:47:00,627.55,628.95,627.55,628.0,9659
2024-04-29 09:48:00,627.9,628.0,627.1,627.1,8169
2024-04-29 09:49:00,627.1,627.4,625.4,626.4,8231
2024-04-29 09:50:00,626.1,626.1,624.1,624.6,3752
2024-04-29 09:51:00,624.6,626.65,624.1,625.95,6196
2024-04-29 09:52:00,625.95,628.15,625.45,625.45,22541
2024-04-29 09:53:00,625.45,626.0,625.4,625.8,300
2024-04-29 09:54:00,625.9,625.9,624.6,624.9,779
2024-04-29 09:55:00,624.9,625.0,624.65,625.0,1258
2024-04-29 09:56:00,625.0,625.0,621.7,621.95,7979
2024-04-29 09:57:00,621.5,621.5,617.0,617.0,9230
2024-04-29 09:58:00,617.0,618.75,617.0,618.05,1846
2024-04-29 09:59:00,618.45,618.55,617.55,618.0,3940
2024-04-29 10:00:00,618.0,624.9,617.35,620.25,24148
2024-04-29 10:01:00,620.15,621.3,619.65,620.4,2795
2024-04-29 10:02:00,620.4,620.4,619.3,619.5,2405
2024-04-29 10:03:00,620.0,620.0,617.05,619.0,5683
2024-04-29 10:04:00,619.0,619.0,618.55,618.55,361
2024-04-29 10:05:00,618.0,618.55,616.55,616.55,1399
2024-04-29 10:06:00,616.2,617.45,616.1,616.4,3936
2024-04-29 10:07:00,616.5,617.5,616.5,617.05,694
2024-04-29 10:08:00,617.0,617.0,616.0,616.0,956
2024-04-29 10:09:00,616.0,616.1,615.05,615.55,1085
2024-04-29 10:10:00,615.2,616.0,615.0,615.0,1538
2024-04-29 10:11:00,615.7,616.1,615.0,615.6,879
2024-04-29 10:12:00,616.1,616.1,614.75,615.0,6160
2024-04-29 10:13:00,615.0,615.35,614.5,614.5,1918
2024-04-29 10:14:00,614.5,614.5,612.0,612.0,16433
2024-04-29 10:15:00,611.85,612.65,611.0,611.9,6715
2024-04-29 10:16:00,611.85,612.0,611.05,611.6,3709
2024-04-29 10:17:00,611.5,612.0,611.2,611.75,1437
2024-04-29 10:18:00,611.85,611.85,610.25,610.55,7747
2024-04-29 10:19:00,611.0,611.4,610.6,611.4,380
2024-04-29 10:20:00,611.4,611.95,611.0,611.45,1821
2024-04-29 10:21:00,611.45,611.7,610.55,610.55,3852
2024-04-29 10:22:00,610.9,611.0,608.85,609.0,6632
2024-04-29 10:23:00,609.0,609.0,608.4,608.65,1754
2024-04-29 10:24:00,608.65,609.05,608.2,608.65,1663
2024-04-29 10:25:00,607.75,608.2,606.2,607.85,5325
