date,open,high,low,close,volume
2024-04-29 09:15:00,459.9,460.45,457.65,457.85,7314
2024-04-29 09:16:00,457.65,457.65,455.75,456.95,3885
2024-04-29 09:17:00,456.95,457.45,456.25,457.3,2006
2024-04-29 09:18:00,457.3,457.3,456.15,456.2,4180
2024-04-29 09:19:00,456.2,458.15,455.05,455.1,16123
2024-04-29 09:20:00,455.1,455.9,455.1,455.5,3272
2024-04-29 09:21:00,455.9,455.9,455.15,455.3,2242
2024-04-29 09:22:00,455.3,455.3,453.05,453.4,10916
2024-04-29 09:23:00,453.4,454.1,452.85,452.85,3375
2024-04-29 09:24:00,452.85,453.75,452.5,453.1,6854
2024-04-29 09:25:00,453.3,454.15,452.4,452.4,6728
2024-04-29 09:26:00,452.4,453.4,452.0,453.4,2809
2024-04-29 09:27:00,452.95,453.85,452.65,453.4,2985
2024-04-29 09:28:00,453.35,454.25,453.35,454.0,16832
2024-04-29 09:29:00,454.0,454.0,452.7,452.7,7409
2024-04-29 09:30:00,453.0,453.6,452.55,453.4,4195
2024-04-29 09:31:00,453.4,453.4,452.65,452.85,621
2024-04-29 09:32:00,453.05,454.35,452.9,453.7,3124
2024-04-29 09:33:00,453.7,453.7,452.9,453.0,5017
2024-04-29 09:34:00,453.0,453.2,451.6,451.9,23316
2024-04-29 09:35:00,451.9,451.9,451.3,451.3,5750
2024-04-29 09:36:00,451.55,452.15,451.3,451.35,3647
2024-04-29 09:37:00,451.4,451.7,451.25,451.65,1591
2024-04-29 09:38:00,451.65,451.7,451.25,451.25,3640
2024-04-29 09:39:00,451.45,451.45,450.5,450.5,5858
2024-04-29 09:40:00,450.7,451.0,450.5,450.95,3411
2024-04-29 09:41:00,450.95,451.05,450.55,451.0,2395
2024-04-29 09:42:00,451.0,451.1,450.6,450.6,2195
2024-04-29 09:43:00,450.75,451.0,450.55,450.55,2401
2024-04-29 09:44:00,450.8,450.8,450.5,450.5,3739
2024-04-29 09:45:00,450.7,450.75,450.5,450.7,1482
2024-04-29 09:46:00,451.0,451.0,450.5,450.95,1532
2024-04-29 09:47:00,450.95,451.45,450.5,451.1,1366
2024-04-29 09:48:00,451.1,452.4,451.1,452.0,1756
2024-04-29 09:49:00,452.25,452.25,451.5,451.85,3195
2024-04-29 09:50:00,451.85,452.65,451.5,452.0,2619
2024-04-29 09:51:00,452.4,452.45,452.0,452.3,612
2024-04-29 09:52:00,452.3,452.6,452.0,452.25,907
2024-04-29 09:53:00,452.25,452.55,451.85,452.55,544
2024-04-29 09:54:00,452.55,452.6,451.9,452.1,669
2024-04-29 09:55:00,452.1,452.35,452.1,452.35,110
2024-04-29 09:56:00,452.35,452.35,451.9,451.9,514
2024-04-29 09:57:00,451.9,452.05,451.6,451.6,2624
2024-04-29 09:58:00,451.6,451.95,451.6,451.9,147
2024-04-29 09:59:00,451.9,452.05,450.65,450.65,6092
2024-04-29 10:00:00,450.65,450.8,450.5,450.8,1017
2024-04-29 10:01:00,450.8,451.2,450.6,451.15,1415
2024-04-29 10:02:00,451.15,451.5,451.15,451.15,386
2024-04-29 10:03:00,451.15,451.55,451.15,451.2,1224
2024-04-29 10:04:00,451.2,451.35,451.05,451.35,755
2024-04-29 10:05:00,451.25,451.25,451.0,451.0,978
2024-04-29 10:06:00,451.15,451.15,451.0,451.0,79
2024-04-29 10:07:00,451.0,451.3,451.0,451.2,498
2024-04-29 10:08:00,451.2,451.5,451.2,451.45,516
2024-04-29 10:09:00,451.45,452.5,451.2,452.0,1856
2024-04-29 10:10:00,452.0,452.55,451.9,452.45,4937
2024-04-29 10:11:00,452.45,453.95,452.1,453.05,3619
2024-04-29 10:12:00,453.05,453.2,453.0,453.05,901
2024-04-29 10:13:00,453.05,453.65,453.0,453.3,789
2024-04-29 10:14:00,453.3,453.45,453.0,453.0,729
2024-04-29 10:15:00,453.0,453.6,452.8,452.9,4926
2024-04-29 10:16:00,452.9,453.35,452.9,453.3,477
2024-04-29 10:17:00,453.3,453.3,453.0,453.0,694
2024-04-29 10:18:00,453.0,453.25,453.0,453.25,352
2024-04-29 10:19:00,453.25,453.25,452.8,453.15,1528
2024-04-29 10:20:00,453.15,453.25,452.75,453.0,1074
2024-04-29 10:21:00,453.0,453.2,453.0,453.0,633
2024-04-29 10:22:00,453.0,453.2,453.0,453.2,169
2024-04-29 10:23:00,453.2,453.25,453.0,453.0,2861
2024-04-29 10:24:00,453.0,453.25,453.0,453.25,166
2024-04-29 10:25:00,453.25,454.15,453.25,453.55,6398
2024-04-29 10:26:00,453.55,454.0,453.25,453.85,1805
2024-04-29 10:27:00,453.85,454.0,453.5,453.85,3854
2024-04-29 10:28:00,453.45,453.8,453.3,453.4,706
2024-04-29 10:29:00,453.4,453.75,453.25,453.75,450
2024-04-29 10:30:00,453.45,453.75,453.1,453.15,782
2024-04-29 10:31:00,453.15,453.7,453.05,453.3,855
2024-04-29 10:32:00,453.3,453.7,453.3,453.65,1051
2024-04-29 10:33:00,453.65,453.75,453.65,453.75,173
2024-04-29 10:34:00,453.75,454.25,453.65,453.7,1378
2024-04-29 10:35:00,453.65,454.25,453.65,454.0,53
2024-04-29 10:36:00,454.0,454.35,453.65,453.9,1399
2024-04-29 10:37:00,453.9,454.05,453.65,454.05,470
2024-04-29 10:38:00,454.05,454.2,454.0,454.0,546
2024-04-29 10:39:00,454.0,454.2,454.0,454.0,184
2024-04-29 10:40:00,454.0,454.4,454.0,454.05,689
2024-04-29 10:41:00,454.05,454.3,454.0,454.05,192
2024-04-29 10:42:00,454.05,454.25,454.05,454.05,12
2024-04-29 10:43:00,454.05,454.25,454.0,454.0,742
2024-04-29 10:44:00,454.0,454.3,454.0,454.05,250
2024-04-29 10:45:00,454.05,454.25,454.05,454.05,209
2024-04-29 10:46:00,454.05,454.25,454.0,454.2,233
2024-04-29 10:47:00,454.2,454.2,454.0,454.2,1720
2024-04-29 10:48:00,454.2,454.25,454.0,454.25,457
2024-04-29 10:49:00,454.25,454.25,454.05,454.25,21
2024-04-29 10:50:00,454.25,454.25,454.0,454.0,1578
2024-04-29 10:51:00,454.0,454.0,452.95,453.0,3928
2024-04-29 10:52:00,453.0,453.25,453.0,453.0,200
2024-04-29 10:53:00,453.0,453.25,453.0,453.0,812
2024-04-29 10:54:00,453.0,453.45,453.0,453.45,63
2024-04-29 10:55:00,453.45,453.9,453.3,453.65,377
2024-04-29 10:56:00,453.65,453.95,453.55,453.55,762
2024-04-29 10:57:00,453.55,453.95,453.55,453.75,39
2024-04-29 10:58:00,453.75,453.95,453.55,453.85,445
2024-04-29 10:59:00,453.85,453.85,453.3,453.6,275
2024-04-29 11:00:00,453.6,453.6,453.0,453.3,455
2024-04-29 11:01:00,453.3,453.35,452.95,453.0,1361
