date,open,high,low,close,volume
2024-04-29 09:15:00,913.0,915.0,910.2,911.7,27632
2024-04-29 09:16:00,912.25,912.25,909.0,910.0,22716
2024-04-29 09:17:00,910.15,911.85,909.0,910.95,37511
2024-04-29 09:18:00,910.95,910.95,908.8,909.0,22762
2024-04-29 09:19:00,909.45,909.55,907.6,908.4,11570
2024-04-29 09:20:00,908.05,908.1,905.1,905.65,22578
2024-04-29 09:21:00,905.5,906.3,904.8,904.8,7752
2024-04-29 09:22:00,904.85,905.15,903.55,904.05,16713
2024-04-29 09:23:00,904.45,904.65,903.35,904.05,19041
2024-04-29 09:24:00,904.0,904.25,903.0,903.05,12365
2024-04-29 09:25:00,903.05,904.3,902.6,904.2,22391
2024-04-29 09:26:00,904.2,904.2,902.55,902.55,14199
2024-04-29 09:27:00,902.5,903.5,901.55,903.25,26205
2024-04-29 09:28:00,903.2,903.45,902.75,902.8,9387
2024-04-29 09:29:00,902.8,903.25,901.4,901.4,7912
2024-04-29 09:30:00,901.05,901.25,900.05,900.55,21468
2024-04-29 09:31:00,900.55,900.75,898.8,899.6,25413
2024-04-29 09:32:00,900.0,901.8,899.75,901.35,5358
2024-04-29 09:33:00,901.35,902.0,900.0,900.05,4320
2024-04-29 09:34:00,900.0,901.0,898.0,898.1,18585
2024-04-29 09:35:00,898.15,898.75,897.35,897.65,17924
2024-04-29 09:36:00,898.1,898.1,895.0,895.0,30543
2024-04-29 09:37:00,895.7,896.3,893.5,893.75,20321
2024-04-29 09:38:00,893.95,896.2,892.7,895.1,26176
2024-04-29 09:39:00,895.1,896.95,894.85,896.25,8791
2024-04-29 09:40:00,896.25,897.0,895.1,895.4,12248
2024-04-29 09:41:00,895.4,895.4,893.6,893.95,8926
2024-04-29 09:42:00,893.75,894.15,893.6,893.85,3828
2024-04-29 09:43:00,893.85,894.45,892.0,892.0,26121
2024-04-29 09:44:00,892.0,892.35,890.35,890.85,40523
2024-04-29 09:45:00,891.1,891.85,890.0,890.25,21498
2024-04-29 09:46:00,890.1,890.35,889.0,889.5,23187
2024-04-29 09:47:00,889.45,892.5,889.45,892.0,10763
2024-04-29 09:48:00,892.0,892.3,890.1,890.1,11034
2024-04-29 09:49:00,890.25,890.25,887.5,888.1,30877
2024-04-29 09:50:00,888.55,889.0,887.95,888.15,8360
2024-04-29 09:51:00,888.15,888.8,887.3,888.7,11557
2024-04-29 09:52:00,888.7,890.75,888.6,890.45,9908
2024-04-29 09:53:00,890.6,891.15,888.6,888.85,17927
2024-04-29 09:54:00,888.85,889.1,888.1,888.4,15199
2024-04-29 09:55:00,888.4,889.4,887.65,888.5,11276
2024-04-29 09:56:00,888.5,889.3,888.05,888.8,7453
2024-04-29 09:57:00,888.8,889.9,888.6,889.9,1945
2024-04-29 09:58:00,889.9,889.9,888.75,889.0,12800
2024-04-29 09:59:00,889.0,889.25,888.55,888.85,6691
2024-04-29 10:00:00,888.85,889.1,888.5,888.9,3558
2024-04-29 10:01:00,888.9,889.45,887.4,887.4,21686
2024-04-29 10:02:00,887.4,888.05,886.8,887.25,11855
2024-04-29 10:03:00,887.25,888.2,886.95,887.45,6590
2024-04-29 10:04:00,887.45,887.65,886.2,886.3,11031
2024-04-29 10:05:00,886.3,886.9,885.1,886.65,22301
2024-04-29 10:06:00,886.65,888.3,886.55,887.3,7756
2024-04-29 10:07:00,887.3,888.25,886.9,887.25,4774
2024-04-29 10:08:00,886.8,888.0,886.75,887.8,4621
2024-04-29 10:09:00,887.8,887.8,886.4,886.4,8017
2024-04-29 10:10:00,886.4,887.55,886.4,886.6,2923
2024-04-29 10:11:00,886.6,888.25,886.6,887.75,3511
2024-04-29 10:12:00,887.75,888.2,886.2,886.65,9235
2024-04-29 10:13:00,886.2,887.75,886.2,887.15,10999
2024-04-29 10:14:00,887.55,887.8,886.95,887.4,1811
2024-04-29 10:15:00,887.4,888.4,887.35,887.7,4195
2024-04-29 10:16:00,887.7,888.7,887.4,888.7,3568
2024-04-29 10:17:00,888.7,889.25,888.4,888.7,7096
2024-04-29 10:18:00,888.7,888.8,886.5,886.5,7806
2024-04-29 10:19:00,886.5,886.8,885.0,885.6,23425
2024-04-29 10:20:00,885.6,886.3,885.6,886.0,3723
2024-04-29 10:21:00,886.0,886.9,885.85,886.75,9389
2024-04-29 10:22:00,886.5,887.65,886.5,887.6,5877
2024-04-29 10:23:00,887.6,888.35,887.45,888.3,1588
2024-04-29 10:24:00,888.35,888.35,887.0,887.0,9952
2024-04-29 10:25:00,887.25,888.15,886.75,887.85,3666
2024-04-29 10:26:00,888.05,888.55,887.95,888.55,3618
2024-04-29 10:27:00,888.55,889.7,888.55,889.5,7812
2024-04-29 10:28:00,889.65,890.85,888.7,888.7,10611
2024-04-29 10:29:00,888.7,889.2,888.45,889.2,5275
2024-04-29 10:30:00,889.2,890.0,888.8,890.0,3200
2024-04-29 10:31:00,890.0,890.0,889.05,889.55,4215
2024-04-29 10:32:00,889.55,890.0,889.35,889.4,5902
2024-04-29 10:33:00,889.4,889.75,889.05,889.05,2458
2024-04-29 10:34:00,889.05,889.2,888.6,888.9,4857
2024-04-29 10:35:00,888.9,889.35,888.6,889.25,10519
2024-04-29 10:36:00,889.35,889.35,888.5,888.65,3044
2024-04-29 10:37:00,888.65,889.0,888.45,888.6,8613
2024-04-29 10:38:00,888.8,889.0,888.3,888.9,20785
2024-04-29 10:39:00,888.45,889.0,887.2,887.2,23576
2024-04-29 10:40:00,887.3,887.6,886.65,887.6,8630
2024-04-29 10:41:00,887.6,889.2,887.2,889.2,2762
2024-04-29 10:42:00,889.2,890.0,889.2,889.75,4126
2024-04-29 10:43:00,889.75,890.0,889.6,889.95,3226
2024-04-29 10:44:00,889.65,889.95,889.35,889.65,1569
2024-04-29 10:45:00,889.85,889.95,889.65,889.85,1758
2024-04-29 10:46:00,889.9,891.0,889.9,890.6,13061
2024-04-29 10:47:00,890.6,890.6,889.85,889.85,3215
2024-04-29 10:48:00,889.85,890.15,889.85,889.9,655
2024-04-29 10:49:00,889.9,889.9,889.05,889.05,1755
2024-04-29 10:50:00,889.05,889.2,887.3,887.4,5540
2024-04-29 10:51:00,887.6,888.05,887.25,887.35,3902
