date,open,high,low,close,volume
2024-04-29 09:15:00,476.0,479.25,475.8,479.0,3390
2024-04-29 09:16:00,478.45,479.9,478.0,479.0,5376
2024-04-29 09:17:00,479.0,479.0,478.15,478.35,648
2024-04-29 09:18:00,478.0,478.85,478.0,478.85,735
2024-04-29 09:19:00,478.85,480.95,478.85,480.8,787
2024-04-29 09:20:00,480.95,482.8,480.45,482.8,2433
2024-04-29 09:21:00,482.8,483.25,481.05,481.05,3073
2024-04-29 09:22:00,481.0,481.6,480.0,480.0,1181
2024-04-29 09:23:00,480.05,481.2,480.05,480.45,767
2024-04-29 09:24:00,480.0,480.0,479.25,479.8,1661
2024-04-29 09:25:00,479.8,480.5,479.8,480.45,999
2024-04-29 09:26:00,480.45,480.5,479.3,479.85,1129
2024-04-29 09:27:00,479.85,480.35,478.85,478.85,1884
2024-04-29 09:28:00,478.85,478.85,478.05,478.8,3764
2024-04-29 09:29:00,478.85,478.85,478.2,478.2,570
2024-04-29 09:30:00,478.7,479.0,478.2,479.0,11091
2024-04-29 09:31:00,479.0,479.0,478.6,479.0,1502
2024-04-29 09:32:00,478.65,479.0,478.6,479.0,567
2024-04-29 09:33:00,478.6,478.8,478.0,478.6,1663
2024-04-29 09:34:00,478.6,479.0,478.6,478.9,643
2024-04-29 09:35:00,478.9,479.0,478.8,478.8,811
2024-04-29 09:36:00,478.8,479.0,478.4,478.65,1042
2024-04-29 09:37:00,478.35,478.65,477.95,477.95,513
2024-04-29 09:38:00,478.15,478.4,478.1,478.4,2182
2024-04-29 09:39:00,478.4,478.4,477.6,477.6,154
2024-04-29 09:40:00,477.35,477.95,477.35,477.45,139
2024-04-29 09:41:00,477.45,477.9,477.45,477.7,177
2024-04-29 09:42:00,477.45,478.95,477.45,478.95,1740
2024-04-29 09:43:00,478.95,479.0,477.75,478.65,2211
2024-04-29 09:44:00,478.65,478.65,478.15,478.6,54
2024-04-29 09:45:00,478.2,478.6,477.85,477.85,391
2024-04-29 09:46:00,477.85,477.95,477.5,477.5,162
2024-04-29 09:47:00,477.5,477.75,477.5,477.75,440
2024-04-29 09:48:00,477.75,477.75,477.0,477.7,1492
2024-04-29 09:49:00,477.7,477.85,477.05,477.85,268
2024-04-29 09:50:00,477.85,477.9,477.0,477.0,2192
2024-04-29 09:51:00,477.0,477.0,476.0,476.0,1527
2024-04-29 09:52:00,476.0,476.7,476.0,476.7,606
2024-04-29 09:53:00,476.7,476.7,476.35,476.7,219
2024-04-29 09:54:00,476.7,476.95,476.15,476.7,932
2024-04-29 09:55:00,476.7,476.75,476.6,476.6,1136
