date,open,high,low,close,volume
2024-04-29 09:15:00,456.7,463.0,456.7,462.85,4050
2024-04-29 09:16:00,462.15,467.0,462.15,464.2,18330
2024-04-29 09:17:00,464.2,464.95,462.55,463.5,3949
2024-04-29 09:18:00,464.7,466.55,464.7,465.0,4789
2024-04-29 09:19:00,465.0,467.0,463.9,465.3,13312
2024-04-29 09:20:00,465.5,466.8,465.45,466.6,4155
2024-04-29 09:21:00,466.6,467.4,465.7,467.4,1579
2024-04-29 09:22:00,467.65,468.7,466.5,467.35,5065
2024-04-29 09:23:00,467.35,467.35,464.7,465.0,1137
2024-04-29 09:24:00,465.0,465.95,464.95,465.25,2669
2024-04-29 09:25:00,465.2,465.2,463.0,463.75,1257
2024-04-29 09:26:00,463.75,463.75,462.7,463.05,1837
2024-04-29 09:27:00,463.05,464.0,462.0,464.0,2322
2024-04-29 09:28:00,464.0,465.7,464.0,465.7,2591
2024-04-29 09:29:00,466.0,466.0,464.05,464.5,3940
2024-04-29 09:30:00,464.45,464.6,463.55,464.15,734
2024-04-29 09:31:00,464.15,464.15,463.6,463.65,488
2024-04-29 09:32:00,463.65,464.15,463.65,464.1,408
2024-04-29 09:33:00,464.1,464.45,463.6,463.6,628
2024-04-29 09:34:00,463.6,464.55,463.6,464.55,1208
2024-04-29 09:35:00,464.55,465.85,464.25,465.15,3523
2024-04-29 09:36:00,465.15,465.8,465.0,465.0,613
2024-04-29 09:37:00,465.0,465.0,464.25,465.0,933
2024-04-29 09:38:00,464.75,465.35,464.75,464.75,279
2024-04-29 09:39:00,464.75,465.25,463.65,465.0,1217
2024-04-29 09:40:00,465.0,465.0,464.0,464.7,717
2024-04-29 09:41:00,464.7,464.95,464.0,464.0,349
2024-04-29 09:42:00,464.0,464.5,463.85,464.25,329
2024-04-29 09:43:00,464.25,464.25,462.1,462.1,1456
2024-04-29 09:44:00,462.1,463.15,462.1,463.05,212
2024-04-29 09:45:00,463.05,463.2,462.55,462.55,650
2024-04-29 09:46:00,462.55,462.6,462.4,462.45,177
2024-04-29 09:47:00,462.45,462.95,461.65,462.15,348
2024-04-29 09:48:00,462.15,462.15,461.5,461.65,107
2024-04-29 09:49:00,461.3,462.15,461.3,462.15,1823
2024-04-29 09:50:00,462.15,462.95,462.15,462.95,386
2024-04-29 09:51:00,462.95,462.95,462.0,462.0,1171
2024-04-29 09:52:00,462.0,462.5,462.0,462.0,73
2024-04-29 09:53:00,462.0,462.4,462.0,462.35,122
2024-04-29 09:54:00,462.35,462.5,461.85,462.0,598
2024-04-29 09:55:00,462.0,462.5,461.9,462.0,502
2024-04-29 09:56:00,462.0,462.95,461.25,461.45,3235
2024-04-29 09:57:00,461.45,462.0,461.45,462.0,37
2024-04-29 09:58:00,462.0,462.0,461.45,461.45,288
