date,open,high,low,close,volume
2024-04-29 09:15:00,879.0,895.8,878.0,890.85,24470
2024-04-29 09:16:00,892.45,898.95,885.0,885.0,11671
2024-04-29 09:17:00,883.35,885.0,879.1,884.85,3672
2024-04-29 09:18:00,883.15,884.8,882.1,882.1,446
2024-04-29 09:19:00,880.75,883.45,878.15,879.15,2666
2024-04-29 09:20:00,879.15,879.15,875.7,875.7,1262
2024-04-29 09:21:00,875.8,877.55,875.0,876.8,1695
2024-04-29 09:22:00,876.8,876.8,874.05,874.05,1440
2024-04-29 09:23:00,874.05,875.5,874.05,875.15,1265
2024-04-29 09:24:00,873.55,875.15,873.55,873.7,477
2024-04-29 09:25:00,873.35,874.7,872.5,872.5,352
2024-04-29 09:26:00,873.15,873.15,872.05,873.15,519
2024-04-29 09:27:00,873.15,873.3,872.0,873.0,1383
2024-04-29 09:28:00,873.0,873.9,872.45,873.9,405
2024-04-29 09:29:00,873.9,874.45,873.05,874.45,253
2024-04-29 09:30:00,874.45,874.55,873.0,873.0,344
2024-04-29 09:31:00,873.0,873.0,871.0,871.0,2462
2024-04-29 09:32:00,871.0,871.0,870.05,870.55,358
2024-04-29 09:33:00,870.55,870.55,868.55,869.65,288
2024-04-29 09:34:00,869.65,869.8,867.85,868.45,741
2024-04-29 09:35:00,868.45,868.45,865.0,865.0,4193
2024-04-29 09:36:00,865.8,868.35,864.6,865.9,6140
2024-04-29 09:37:00,865.9,865.9,863.7,865.0,3009
2024-04-29 09:38:00,865.0,867.45,865.0,866.4,2708
2024-04-29 09:39:00,866.4,866.95,864.0,864.0,1986
2024-04-29 09:40:00,863.2,865.55,862.8,864.05,2488
2024-04-29 09:41:00,864.05,865.0,864.0,864.0,404
2024-04-29 09:42:00,864.0,864.6,862.1,863.75,1681
2024-04-29 09:43:00,864.0,864.9,864.0,864.3,329
2024-04-29 09:44:00,863.1,865.0,863.1,864.15,217
2024-04-29 09:45:00,864.1,864.1,863.7,863.7,136
2024-04-29 09:46:00,863.7,864.1,863.0,864.1,128
2024-04-29 09:47:00,864.1,864.2,863.6,863.6,104
2024-04-29 09:48:00,864.2,864.25,864.2,864.25,23
2024-04-29 09:49:00,864.25,864.7,864.25,864.7,112
2024-04-29 09:50:00,864.7,864.7,864.0,864.0,71
2024-04-29 09:51:00,864.0,870.05,864.0,870.0,1122
2024-04-29 09:52:00,870.0,870.15,870.0,870.0,414
2024-04-29 09:53:00,870.0,870.1,870.0,870.0,190
2024-04-29 09:54:00,870.0,870.0,870.0,870.0,100
