date,open,high,low,close,volume
2024-04-29 09:15:00,889.1,894.5,883.4,892.9,2320
2024-04-29 09:16:00,892.9,894.5,891.25,892.5,1424
2024-04-29 09:17:00,892.5,892.5,890.0,890.95,558
2024-04-29 09:18:00,889.05,890.65,887.3,887.3,1894
2024-04-29 09:19:00,887.05,888.45,885.75,886.25,1198
2024-04-29 09:20:00,886.25,886.65,885.0,886.25,3708
2024-04-29 09:21:00,885.95,885.95,883.5,883.5,595
2024-04-29 09:22:00,883.5,885.55,883.5,884.35,1614
2024-04-29 09:23:00,884.15,885.15,883.55,884.7,890
2024-04-29 09:24:00,884.7,884.7,882.95,883.35,1823
2024-04-29 09:25:00,882.95,883.0,880.0,880.6,21933
2024-04-29 09:26:00,881.95,883.95,880.2,883.95,1465
2024-04-29 09:27:00,883.95,884.7,883.35,884.7,190
2024-04-29 09:28:00,883.7,884.8,883.7,884.75,78
2024-04-29 09:29:00,884.75,884.95,883.1,884.35,3022
2024-04-29 09:30:00,884.35,886.25,883.55,885.0,1860
2024-04-29 09:31:00,885.9,887.45,885.0,887.45,1753
2024-04-29 09:32:00,887.45,891.0,887.45,891.0,2681
2024-04-29 09:33:00,891.0,891.5,889.9,890.95,825
2024-04-29 09:34:00,890.95,892.0,890.25,892.0,530
2024-04-29 09:35:00,891.9,891.9,890.55,890.95,295
2024-04-29 09:36:00,890.95,893.1,890.95,893.1,718
2024-04-29 09:37:00,893.1,893.15,892.0,892.0,975
2024-04-29 09:38:00,892.0,892.0,891.0,891.25,241
2024-04-29 09:39:00,891.25,891.25,887.8,888.7,3348
2024-04-29 09:40:00,888.7,889.45,888.1,888.1,361
2024-04-29 09:41:00,888.1,889.6,888.1,889.35,456
2024-04-29 09:42:00,889.4,889.4,888.4,889.1,156
2024-04-29 09:43:00,889.1,889.4,887.0,887.8,3059
2024-04-29 09:44:00,887.8,888.5,887.0,887.2,181
2024-04-29 09:45:00,887.2,888.25,887.0,887.95,355
2024-04-29 09:46:00,887.95,888.0,887.0,887.2,3696
2024-04-29 09:47:00,887.1,887.5,886.3,886.95,202
2024-04-29 09:48:00,886.95,888.0,886.95,887.35,849
2024-04-29 09:49:00,887.9,887.9,887.35,887.85,56
2024-04-29 09:50:00,887.85,887.9,886.3,886.85,1188
2024-04-29 09:51:00,886.85,887.0,886.15,886.15,153
2024-04-29 09:52:00,886.15,887.0,886.0,886.1,260
2024-04-29 09:53:00,886.0,887.0,886.0,886.95,1515
2024-04-29 09:54:00,886.95,887.0,885.8,885.8,328
2024-04-29 09:55:00,886.75,887.0,885.75,887.0,265
2024-04-29 09:56:00,887.0,887.0,886.0,887.0,85
2024-04-29 09:57:00,887.0,887.0,886.1,886.55,665
2024-04-29 09:58:00,886.55,886.7,886.55,886.7,70
2024-04-29 09:59:00,886.7,886.7,885.05,885.95,378
2024-04-29 10:00:00,885.95,886.9,885.95,886.85,94
2024-04-29 10:01:00,886.9,886.9,885.5,886.4,187
2024-04-29 10:02:00,886.75,887.0,885.05,885.7,723
2024-04-29 10:03:00,885.7,886.6,885.1,886.6,277
