date,open,high,low,close,volume
2024-04-29 09:15:00,1009.35,1017.65,1008.85,1012.75,31148
2024-04-29 09:16:00,1012.95,1012.95,1006.15,1010.1,7207
2024-04-29 09:17:00,1010.1,1010.4,1003.45,1005.0,18849
2024-04-29 09:18:00,1005.3,1006.0,1005.0,1006.0,5802
2024-04-29 09:19:00,1006.0,1006.75,1003.0,1003.95,16727
2024-04-29 09:20:00,1004.0,1005.0,1003.0,1004.15,7844
2024-04-29 09:21:00,1003.7,1006.0,1003.25,1004.05,3154
2024-04-29 09:22:00,1004.0,1004.0,1000.2,1000.9,3316
2024-04-29 09:23:00,1000.25,1001.05,996.45,998.15,10690
2024-04-29 09:24:00,998.15,998.45,993.15,994.0,15117
2024-04-29 09:25:00,994.2,995.85,990.5,990.5,8813
2024-04-29 09:26:00,991.0,995.8,989.45,995.0,8943
2024-04-29 09:27:00,995.0,998.75,994.0,998.75,3579
2024-04-29 09:28:00,998.75,1000.05,997.85,998.75,8783
2024-04-29 09:29:00,998.9,998.9,993.15,994.0,4040
2024-04-29 09:30:00,993.95,996.85,993.0,993.0,11051
2024-04-29 09:31:00,993.95,994.55,992.15,993.8,5873
2024-04-29 09:32:00,993.8,999.0,993.8,998.85,3306
2024-04-29 09:33:00,998.95,1000.0,998.05,999.25,5089
2024-04-29 09:34:00,999.25,1001.0,998.5,1000.1,3758
2024-04-29 09:35:00,1000.1,1000.35,999.0,999.85,2256
2024-04-29 09:36:00,999.85,999.85,995.0,995.6,2938
2024-04-29 09:37:00,995.95,996.0,994.9,995.0,2438
2024-04-29 09:38:00,994.45,995.0,990.9,991.75,7567
2024-04-29 09:39:00,991.05,992.9,990.65,991.0,5008
2024-04-29 09:40:00,991.7,993.3,991.05,993.3,3940
2024-04-29 09:41:00,993.05,993.3,991.0,992.55,3217
2024-04-29 09:42:00,992.55,994.9,992.0,994.85,2364
2024-04-29 09:43:00,994.85,994.95,988.75,989.65,8094
2024-04-29 09:44:00,990.0,992.0,990.0,990.25,4654
2024-04-29 09:45:00,990.65,991.15,988.05,989.65,4747
2024-04-29 09:46:00,989.05,990.35,988.3,989.65,2138
2024-04-29 09:47:00,989.8,991.6,989.15,990.0,4512
2024-04-29 09:48:00,990.0,991.45,989.6,990.9,1430
2024-04-29 09:49:00,990.15,992.2,990.1,991.15,1477
