date,open,high,low,close,volume
2024-04-29 09:15:00,654.95,654.95,651.0,654.0,47917
2024-04-29 09:16:00,654.0,654.5,652.95,653.8,37147
2024-04-29 09:17:00,653.8,653.8,650.9,651.75,60008
2024-04-29 09:18:00,651.75,651.95,650.65,651.8,24782
2024-04-29 09:19:00,651.8,653.0,651.0,652.5,20322
2024-04-29 09:20:00,652.45,653.4,651.9,652.95,17306
2024-04-29 09:21:00,652.85,654.0,652.7,653.2,31432
2024-04-29 09:22:00,653.25,655.4,653.25,653.45,51217
2024-04-29 09:23:00,653.55,653.9,651.75,651.75,35800
2024-04-29 09:24:00,651.7,651.85,650.25,650.75,23685
2024-04-29 09:25:00,650.65,651.35,650.4,651.1,13944
2024-04-29 09:26:00,651.1,651.3,650.35,651.0,22331
2024-04-29 09:27:00,651.0,651.05,649.95,650.35,20206
2024-04-29 09:28:00,650.1,651.25,649.8,650.9,18508
2024-04-29 09:29:00,651.25,651.8,650.1,650.1,10800
2024-04-29 09:30:00,650.45,650.5,649.4,649.75,11780
2024-04-29 09:31:00,650.05,650.2,648.75,649.7,17200
2024-04-29 09:32:00,649.9,652.0,649.65,651.8,15797
2024-04-29 09:33:00,652.0,652.95,650.85,651.25,18617
2024-04-29 09:34:00,651.15,652.85,651.15,652.85,18832
2024-04-29 09:35:00,652.85,652.85,651.7,651.85,11313
2024-04-29 09:36:00,652.25,652.25,650.25,650.35,6491
2024-04-29 09:37:00,650.8,651.25,650.65,650.75,43668
2024-04-29 09:38:00,650.75,651.0,649.5,649.7,22672
2024-04-29 09:39:00,649.7,650.75,649.5,649.9,7913
2024-04-29 09:40:00,649.95,650.9,649.9,650.6,18523
2024-04-29 09:41:00,650.65,650.7,650.2,650.7,5440
2024-04-29 09:42:00,650.55,650.8,649.65,650.8,7403
2024-04-29 09:43:00,650.65,650.8,649.05,649.05,15646
2024-04-29 09:44:00,649.5,649.9,649.2,649.75,8158
2024-04-29 09:45:00,649.75,649.75,648.3,648.3,20739
2024-04-29 09:46:00,648.35,648.4,647.4,647.75,23773
2024-04-29 09:47:00,647.75,649.2,647.75,648.1,8406
2024-04-29 09:48:00,648.1,648.35,646.75,646.75,16241
2024-04-29 09:49:00,646.9,648.0,646.9,647.9,19798
2024-04-29 09:50:00,647.9,647.9,647.35,647.8,8463
2024-04-29 09:51:00,647.7,647.7,647.15,647.5,9636
2024-04-29 09:52:00,647.45,647.65,647.0,647.05,8288
2024-04-29 09:53:00,647.25,648.1,647.1,648.0,10574
2024-04-29 09:54:00,647.95,648.75,647.9,648.2,7805
2024-04-29 09:55:00,648.1,649.4,648.1,648.65,38312
2024-04-29 09:56:00,648.5,648.75,647.05,647.6,49507
2024-04-29 09:57:00,647.7,648.1,646.9,647.3,16460
2024-04-29 09:58:00,647.3,647.5,645.45,645.55,15258
2024-04-29 09:59:00,645.75,646.7,645.4,646.35,29992
2024-04-29 10:00:00,646.35,647.2,646.25,647.0,10286
2024-04-29 10:01:00,647.0,647.0,645.8,646.55,31443
2024-04-29 10:02:00,647.0,647.1,646.55,647.0,18139
2024-04-29 10:03:00,647.0,647.8,646.75,647.2,11781
2024-04-29 10:04:00,647.2,647.2,646.55,646.95,7530
2024-04-29 10:05:00,646.95,647.45,646.2,647.05,6755
2024-04-29 10:06:00,647.05,647.05,646.05,646.6,6337
2024-04-29 10:07:00,646.35,646.7,645.35,645.35,12379
2024-04-29 10:08:00,645.45,645.7,645.1,645.15,17201
2024-04-29 10:09:00,645.15,645.6,644.35,644.75,20907
2024-04-29 10:10:00,644.65,645.0,643.7,643.8,9682
2024-04-29 10:11:00,643.8,645.0,643.8,644.45,7565
2024-04-29 10:12:00,644.2,644.35,643.1,643.3,37457
2024-04-29 10:13:00,643.3,643.6,642.6,642.6,20090
2024-04-29 10:14:00,642.6,643.25,641.65,642.05,17905
2024-04-29 10:15:00,641.7,642.5,641.35,641.65,13422
2024-04-29 10:16:00,641.65,642.5,641.2,641.85,51944
2024-04-29 10:17:00,642.3,642.6,641.6,641.85,16743
2024-04-29 10:18:00,641.85,642.9,641.75,642.3,19385
2024-04-29 10:19:00,642.3,643.6,642.3,643.0,39616
2024-04-29 10:20:00,643.0,643.35,642.15,643.25,14505
2024-04-29 10:21:00,643.25,644.6,643.15,644.1,18441
2024-04-29 10:22:00,644.1,644.65,643.25,643.85,12267
