date,open,high,low,close,volume
2024-04-29 09:15:00,395.0,396.2,393.55,395.25,291638
2024-04-29 09:16:00,395.25,395.85,394.25,395.5,127201
2024-04-29 09:17:00,395.5,395.5,394.4,394.8,123650
2024-04-29 09:18:00,394.6,395.4,394.5,394.8,148639
2024-04-29 09:19:00,395.05,396.0,394.0,396.0,126807
2024-04-29 09:20:00,396.5,398.7,396.35,398.6,320977
2024-04-29 09:21:00,398.45,400.9,398.45,399.25,439645
2024-04-29 09:22:00,399.5,400.75,398.9,400.45,309648
2024-04-29 09:23:00,400.4,401.65,399.7,400.75,436043
2024-04-29 09:24:00,400.9,401.0,399.7,400.0,289669
2024-04-29 09:25:00,400.0,400.0,399.25,399.55,136922
2024-04-29 09:26:00,399.55,400.5,399.3,399.75,192008
2024-04-29 09:27:00,399.75,399.9,398.8,399.15,133229
2024-04-29 09:28:00,399.4,399.5,399.0,399.5,96094
2024-04-29 09:29:00,399.55,399.9,398.2,398.35,132598
2024-04-29 09:30:00,398.2,398.35,396.85,396.9,147528
2024-04-29 09:31:00,396.9,397.7,395.75,397.5,186222
2024-04-29 09:32:00,397.5,399.0,397.15,398.6,80951
2024-04-29 09:33:00,398.85,399.2,398.5,398.6,70479
2024-04-29 09:34:00,398.65,399.65,398.55,399.65,158776
2024-04-29 09:35:00,399.5,400.3,399.45,399.55,149857
2024-04-29 09:36:00,399.75,400.4,399.25,399.6,123121
2024-04-29 09:37:00,399.85,400.4,399.65,400.0,68333
2024-04-29 09:38:00,400.0,400.0,399.4,399.4,50330
2024-04-29 09:39:00,399.4,399.75,399.1,399.2,48442
2024-04-29 09:40:00,399.5,400.35,398.6,398.85,152335
2024-04-29 09:41:00,398.75,399.35,398.5,398.7,46712
2024-04-29 09:42:00,398.95,398.95,398.1,398.3,43022
2024-04-29 09:43:00,398.3,398.65,396.85,396.85,94599
2024-04-29 09:44:00,396.6,397.5,396.5,397.25,85809
2024-04-29 09:45:00,397.25,397.45,396.5,397.0,114922
2024-04-29 09:46:00,397.0,397.0,396.0,396.2,137512
2024-04-29 09:47:00,396.2,397.0,396.0,396.15,75103
2024-04-29 09:48:00,396.3,396.7,396.1,396.5,48856
2024-04-29 09:49:00,396.5,396.9,396.1,396.25,56174
2024-04-29 09:50:00,396.2,396.6,396.2,396.55,28309
2024-04-29 09:51:00,396.55,397.0,396.4,396.85,26519
2024-04-29 09:52:00,396.65,396.75,396.25,396.55,82878
2024-04-29 09:53:00,396.6,397.95,396.6,397.25,47230
2024-04-29 09:54:00,397.25,397.45,396.85,397.25,21054
2024-04-29 09:55:00,397.25,397.35,396.75,397.0,17753
2024-04-29 09:56:00,397.2,397.25,396.3,396.35,25110
2024-04-29 09:57:00,396.6,396.7,396.4,396.5,8018
2024-04-29 09:58:00,396.5,396.8,394.85,395.0,297865
2024-04-29 09:59:00,395.0,396.2,394.95,395.9,32929
2024-04-29 10:00:00,396.1,396.1,395.25,395.65,48774
2024-04-29 10:01:00,395.65,396.0,395.55,395.9,18278
2024-04-29 10:02:00,395.9,396.15,395.7,396.0,25768
2024-04-29 10:03:00,396.05,396.5,394.7,394.9,212051
2024-04-29 10:04:00,395.0,395.5,394.75,395.45,95229
2024-04-29 10:05:00,395.25,396.0,395.1,395.7,40111
2024-04-29 10:06:00,395.65,395.85,395.1,395.45,28930
2024-04-29 10:07:00,395.5,395.5,394.9,394.95,62997
2024-04-29 10:08:00,394.75,394.75,394.5,394.7,50557
2024-04-29 10:09:00,394.75,394.8,394.1,394.5,38956
2024-04-29 10:10:00,394.5,394.8,394.1,394.1,33180
2024-04-29 10:11:00,394.1,394.55,394.1,394.55,10716
2024-04-29 10:12:00,394.55,394.55,394.05,394.35,27596
2024-04-29 10:13:00,394.4,394.55,394.25,394.5,10784
2024-04-29 10:14:00,394.4,394.5,394.15,394.15,22310
2024-04-29 10:15:00,394.25,394.35,393.3,393.8,89339
2024-04-29 10:16:00,393.65,393.7,393.15,393.4,33195
2024-04-29 10:17:00,393.4,393.45,392.2,392.25,80682
2024-04-29 10:18:00,392.2,392.7,391.2,391.5,148464
2024-04-29 10:19:00,391.7,392.15,391.5,391.8,85739
2024-04-29 10:20:00,391.9,392.5,391.75,392.3,51494
2024-04-29 10:21:00,392.5,393.45,392.3,393.3,53756
2024-04-29 10:22:00,393.3,393.6,392.85,393.45,55316
2024-04-29 10:23:00,393.35,393.85,393.25,393.85,18866
2024-04-29 10:24:00,393.8,393.85,393.35,393.55,30693
2024-04-29 10:25:00,393.55,393.55,392.5,393.0,47776
2024-04-29 10:26:00,393.0,393.6,392.85,393.6,12049
2024-04-29 10:27:00,393.65,394.0,393.55,393.95,26019
2024-04-29 10:28:00,393.85,394.45,393.7,393.95,42569
2024-04-29 10:29:00,393.8,393.95,393.6,393.85,27977
2024-04-29 10:30:00,393.85,393.85,393.6,393.7,18680
2024-04-29 10:31:00,393.85,393.85,393.0,393.75,22586
2024-04-29 10:32:00,393.75,393.8,393.2,393.4,8929
2024-04-29 10:33:00,393.5,393.65,393.4,393.5,11211
2024-04-29 10:34:00,393.5,393.5,393.15,393.4,7205
2024-04-29 10:35:00,393.35,393.4,393.1,393.2,12635
2024-04-29 10:36:00,393.2,393.4,392.9,393.25,57339
2024-04-29 10:37:00,393.25,393.25,391.7,392.05,88775
2024-04-29 10:38:00,392.1,392.65,391.8,392.65,29977
2024-04-29 10:39:00,392.6,392.9,392.6,392.9,11225
2024-04-29 10:40:00,392.7,392.85,392.5,392.8,20238
2024-04-29 10:41:00,392.8,393.3,392.8,393.3,11769
2024-04-29 10:42:00,393.15,393.5,393.05,393.2,12420
2024-04-29 10:43:00,393.2,393.5,393.05,393.05,18767
2024-04-29 10:44:00,393.25,393.25,392.7,392.9,12430
2024-04-29 10:45:00,392.75,393.0,392.75,393.0,24088
