date,open,high,low,close,volume
2024-04-29 09:15:00,352.0,354.35,351.2,354.05,82653
2024-04-29 09:16:00,354.1,354.9,353.85,354.05,82721
2024-04-29 09:17:00,354.05,354.7,353.1,353.8,77956
2024-04-29 09:18:00,353.6,354.25,353.2,354.25,84191
2024-04-29 09:19:00,354.05,354.35,353.8,354.25,69334
2024-04-29 09:20:00,354.05,354.25,351.65,351.95,140557
2024-04-29 09:21:00,351.9,353.5,351.9,353.2,108446
2024-04-29 09:22:00,353.2,353.2,352.45,352.85,47678
2024-04-29 09:23:00,352.85,353.25,352.3,352.8,58555
2024-04-29 09:24:00,352.65,352.9,351.5,352.15,123100
2024-04-29 09:25:00,351.85,351.95,350.0,350.55,168018
2024-04-29 09:26:00,350.55,350.95,349.95,350.8,153159
2024-04-29 09:27:00,350.75,351.55,350.75,351.3,35474
2024-04-29 09:28:00,351.3,351.85,351.05,351.55,29938
2024-04-29 09:29:00,351.55,351.6,350.8,350.8,89464
2024-04-29 09:30:00,351.0,351.2,350.65,350.7,34621
2024-04-29 09:31:00,350.8,350.85,350.2,350.3,37192
2024-04-29 09:32:00,350.65,351.3,350.4,351.3,12688
2024-04-29 09:33:00,351.3,351.4,351.0,351.2,23070
2024-04-29 09:34:00,351.15,351.45,350.7,351.0,34140
2024-04-29 09:35:00,351.0,351.2,350.8,351.05,22628
2024-04-29 09:36:00,351.2,352.0,350.9,351.55,42006
2024-04-29 09:37:00,351.6,352.05,351.45,351.65,23077
2024-04-29 09:38:00,351.65,352.95,351.45,352.4,68138
2024-04-29 09:39:00,352.4,353.2,352.2,353.05,22284
2024-04-29 09:40:00,353.2,354.0,353.0,353.8,52755
2024-04-29 09:41:00,353.8,354.4,353.5,353.7,69444
2024-04-29 09:42:00,353.7,353.95,353.3,353.65,35943
2024-04-29 09:43:00,353.85,353.85,352.3,352.7,47322
2024-04-29 09:44:00,352.55,353.0,352.2,352.6,48499
2024-04-29 09:45:00,352.6,352.6,352.3,352.4,7388
2024-04-29 09:46:00,352.4,352.45,351.9,352.0,31463
2024-04-29 09:47:00,352.0,353.0,352.0,352.85,40420
2024-04-29 09:48:00,352.85,353.0,352.35,352.65,28315
2024-04-29 09:49:00,352.55,352.65,352.25,352.6,27283
2024-04-29 09:50:00,352.4,352.9,352.4,352.85,20259
2024-04-29 09:51:00,352.9,353.5,352.7,353.05,78410
2024-04-29 09:52:00,352.75,352.9,352.45,352.5,25026
2024-04-29 09:53:00,352.5,353.0,352.0,352.2,24195
2024-04-29 09:54:00,352.0,352.15,351.55,351.65,14050
2024-04-29 09:55:00,351.65,351.75,351.3,351.75,25535
2024-04-29 09:56:00,351.45,351.65,351.05,351.1,40022
2024-04-29 09:57:00,351.15,351.25,351.0,351.25,18735
2024-04-29 09:58:00,351.25,351.55,350.7,350.75,57192
2024-04-29 09:59:00,350.95,351.35,350.85,351.1,18271
2024-04-29 10:00:00,351.1,351.65,351.1,351.55,14356
2024-04-29 10:01:00,351.6,351.6,351.1,351.35,18921
2024-04-29 10:02:00,351.3,351.45,351.05,351.05,11165
2024-04-29 10:03:00,351.1,351.4,351.05,351.15,7107
2024-04-29 10:04:00,351.15,351.55,351.15,351.55,8752
2024-04-29 10:05:00,351.4,351.5,351.05,351.4,20092
2024-04-29 10:06:00,351.4,351.4,351.0,351.0,20306
