date,open,high,low,close,volume
2024-04-29 09:15:00,173.0,173.4,172.2,173.0,324145
2024-04-29 09:16:00,173.0,173.2,172.8,172.85,271533
2024-04-29 09:17:00,172.95,173.1,172.7,172.9,212058
2024-04-29 09:18:00,172.95,173.25,172.85,172.95,154279
2024-04-29 09:19:00,172.95,173.0,172.75,172.85,97821
2024-04-29 09:20:00,172.8,172.9,172.6,172.7,115505
2024-04-29 09:21:00,172.65,172.85,172.65,172.7,39268
2024-04-29 09:22:00,172.75,172.85,172.3,172.4,178294
2024-04-29 09:23:00,172.55,172.75,172.4,172.7,55099
2024-04-29 09:24:00,172.7,172.8,172.6,172.65,54377
2024-04-29 09:25:00,172.65,172.75,172.6,172.7,63104
2024-04-29 09:26:00,172.7,172.75,172.55,172.75,84193
2024-04-29 09:27:00,172.75,172.9,172.65,172.7,53817
2024-04-29 09:28:00,172.7,172.9,172.65,172.7,54460
2024-04-29 09:29:00,172.75,172.9,172.55,172.6,60758
2024-04-29 09:30:00,172.6,172.6,172.45,172.55,75758
2024-04-29 09:31:00,172.55,172.6,172.35,172.6,107786
2024-04-29 09:32:00,172.55,173.25,172.55,173.1,286435
2024-04-29 09:33:00,173.15,173.25,172.8,172.9,149155
2024-04-29 09:34:00,172.9,173.0,172.7,172.85,45857
2024-04-29 09:35:00,172.9,173.0,172.8,173.0,62503
2024-04-29 09:36:00,173.05,173.05,172.85,172.85,29688
2024-04-29 09:37:00,172.85,172.95,172.7,172.8,62531
2024-04-29 09:38:00,172.7,173.0,172.6,172.8,59414
2024-04-29 09:39:00,172.75,173.0,172.7,173.0,86095
2024-04-29 09:40:00,173.0,173.5,173.0,173.1,238780
2024-04-29 09:41:00,173.15,173.25,172.9,173.0,96549
2024-04-29 09:42:00,173.0,173.2,172.95,173.2,41566
2024-04-29 09:43:00,173.2,173.3,173.1,173.1,57038
2024-04-29 09:44:00,173.1,173.25,172.9,172.9,93463
2024-04-29 09:45:00,173.0,173.05,172.65,172.75,69524
2024-04-29 09:46:00,172.75,172.95,172.6,172.95,58746
2024-04-29 09:47:00,172.85,173.75,172.8,173.75,319466
2024-04-29 09:48:00,173.8,173.85,173.55,173.6,167019
2024-04-29 09:49:00,173.65,173.7,173.45,173.45,75018
2024-04-29 09:50:00,173.5,173.65,173.3,173.3,54034
2024-04-29 09:51:00,173.3,173.55,173.25,173.5,35539
2024-04-29 09:52:00,173.55,173.9,173.5,173.9,183737
2024-04-29 09:53:00,173.85,174.3,173.85,174.2,406464
2024-04-29 09:54:00,174.2,174.35,174.0,174.05,190198
2024-04-29 09:55:00,174.05,174.25,174.0,174.15,83115
2024-04-29 09:56:00,174.1,174.2,173.8,173.95,128702
2024-04-29 09:57:00,173.95,174.0,173.6,173.95,146246
2024-04-29 09:58:00,173.85,174.05,173.85,174.05,98652
2024-04-29 09:59:00,174.05,174.15,173.9,174.15,157489
2024-04-29 10:00:00,174.2,174.95,174.2,174.95,625852
2024-04-29 10:01:00,174.9,175.0,174.5,174.55,292298
