date,open,high,low,close,volume
2024-04-29 09:15:00,734.85,734.85,730.3,730.9,9695
2024-04-29 09:16:00,732.0,733.0,730.55,730.55,8592
2024-04-29 09:17:00,730.6,732.95,730.6,731.55,5446
2024-04-29 09:18:00,731.8,732.9,731.25,731.3,2601
2024-04-29 09:19:00,731.3,731.3,730.0,730.2,692
2024-04-29 09:20:00,730.1,733.0,730.1,733.0,8739
2024-04-29 09:21:00,732.55,734.0,732.55,733.65,8402
2024-04-29 09:22:00,734.05,735.45,733.9,735.45,12772
2024-04-29 09:23:00,735.1,735.5,735.1,735.45,3832
2024-04-29 09:24:00,735.45,736.4,735.25,736.35,12003
2024-04-29 09:25:00,736.5,737.5,736.1,736.1,8385
2024-04-29 09:26:00,736.5,737.5,736.0,737.5,4650
2024-04-29 09:27:00,737.5,737.5,736.4,736.4,7134
2024-04-29 09:28:00,736.85,737.0,736.6,736.7,3632
2024-04-29 09:29:00,737.0,738.45,737.0,738.1,3289
2024-04-29 09:30:00,738.4,738.85,735.05,736.0,3545
2024-04-29 09:31:00,736.0,736.0,734.7,734.7,75277
2024-04-29 09:32:00,734.7,736.0,734.7,735.5,9305
2024-04-29 09:33:00,735.5,735.8,735.3,735.5,1813
2024-04-29 09:34:00,735.5,736.0,735.1,735.1,2269
2024-04-29 09:35:00,735.05,735.1,734.35,734.85,4146
2024-04-29 09:36:00,734.9,735.35,734.45,735.05,8303
2024-04-29 09:37:00,735.05,736.0,734.6,735.45,12058
2024-04-29 09:38:00,735.55,736.0,735.35,736.0,23757
2024-04-29 09:39:00,736.0,736.0,735.65,736.0,12611
2024-04-29 09:40:00,736.0,736.0,735.55,735.85,1166
2024-04-29 09:41:00,735.85,735.85,734.9,735.0,923
2024-04-29 09:42:00,734.85,735.0,734.4,734.75,3118
2024-04-29 09:43:00,735.05,735.9,734.95,735.5,5487
2024-04-29 09:44:00,735.5,736.0,735.4,735.6,1974
2024-04-29 09:45:00,735.6,736.0,735.6,735.6,3354
2024-04-29 09:46:00,735.6,736.0,735.0,735.75,8945
2024-04-29 09:47:00,735.75,735.75,735.05,735.5,230
2024-04-29 09:48:00,735.1,735.75,735.1,735.75,4855
2024-04-29 09:49:00,735.25,736.0,735.25,735.8,7426
2024-04-29 09:50:00,735.8,736.0,735.55,735.55,2033
2024-04-29 09:51:00,735.95,736.25,735.95,736.0,15484
2024-04-29 09:52:00,736.0,736.25,735.0,735.3,13690
2024-04-29 09:53:00,735.6,735.95,735.6,735.6,2454
2024-04-29 09:54:00,735.6,736.0,735.6,735.65,388
2024-04-29 09:55:00,735.65,736.0,735.6,736.0,2510
2024-04-29 09:56:00,736.0,736.25,735.6,736.25,1926
2024-04-29 09:57:00,736.2,736.2,735.05,735.8,15201
2024-04-29 09:58:00,735.8,735.8,734.65,734.8,9708
2024-04-29 09:59:00,734.8,734.95,734.3,734.3,4407
2024-04-29 10:00:00,734.3,735.15,734.2,734.95,1970
2024-04-29 10:01:00,734.95,734.95,733.4,733.5,904
2024-04-29 10:02:00,733.5,734.6,733.5,734.45,410
2024-04-29 10:03:00,734.45,734.45,733.3,733.35,68
2024-04-29 10:04:00,733.35,734.05,733.3,733.3,185
2024-04-29 10:05:00,734.0,735.3,733.35,734.5,4802
2024-04-29 10:06:00,734.5,735.75,734.5,735.5,5349
2024-04-29 10:07:00,735.5,736.0,735.5,736.0,34337
2024-04-29 10:08:00,735.65,736.0,734.85,735.35,12769
2024-04-29 10:09:00,735.35,736.0,735.0,735.8,8549
2024-04-29 10:10:00,735.35,735.9,735.35,735.9,2995
2024-04-29 10:11:00,735.4,736.0,735.4,736.0,14778
2024-04-29 10:12:00,736.0,736.0,735.95,736.0,8645
2024-04-29 10:13:00,736.0,736.0,735.35,735.35,7687
2024-04-29 10:14:00,735.35,735.95,735.2,735.95,2302
2024-04-29 10:15:00,735.9,735.9,734.95,734.95,119
2024-04-29 10:16:00,734.6,735.75,734.6,735.75,958
2024-04-29 10:17:00,735.75,736.0,735.55,735.95,10524
2024-04-29 10:18:00,735.95,736.0,735.65,736.0,8738
2024-04-29 10:19:00,736.0,737.0,735.7,735.7,31767
2024-04-29 10:20:00,735.7,736.0,735.55,735.65,9199
2024-04-29 10:21:00,735.6,736.0,735.1,735.45,7423
2024-04-29 10:22:00,735.05,735.75,735.05,735.1,430
2024-04-29 10:23:00,735.1,735.75,735.1,735.55,1521
2024-04-29 10:24:00,735.55,735.55,735.15,735.4,1215
2024-04-29 10:25:00,735.4,735.4,735.1,735.4,115
2024-04-29 10:26:00,735.4,735.75,735.35,735.35,3010
2024-04-29 10:27:00,735.7,735.7,735.4,735.7,37
2024-04-29 10:28:00,735.7,735.7,735.35,735.7,1255
2024-04-29 10:29:00,735.7,735.7,735.7,735.7,1049
2024-04-29 10:30:00,735.7,736.35,735.7,736.0,36652
2024-04-29 10:31:00,736.0,736.6,735.8,736.25,52339
2024-04-29 10:32:00,736.2,737.75,736.2,737.0,2228
2024-04-29 10:33:00,737.0,737.5,736.95,737.0,1686
2024-04-29 10:34:00,737.0,737.75,737.0,737.3,3841
2024-04-29 10:35:00,737.3,737.5,736.7,737.5,2145
2024-04-29 10:36:00,737.5,737.5,737.0,737.5,256
2024-04-29 10:37:00,737.5,737.5,736.7,736.95,2860
2024-04-29 10:38:00,736.95,736.95,736.5,736.6,130
2024-04-29 10:39:00,736.6,736.95,736.25,736.5,180
2024-04-29 10:40:00,736.5,736.95,736.5,736.75,788
2024-04-29 10:41:00,736.8,737.35,736.8,737.35,1049
2024-04-29 10:42:00,737.35,737.4,736.6,737.0,97
2024-04-29 10:43:00,737.0,737.0,735.9,735.9,2045
2024-04-29 10:44:00,735.9,735.95,735.6,735.95,152
2024-04-29 10:45:00,735.95,735.95,735.65,735.95,21
2024-04-29 10:46:00,735.95,735.95,735.9,735.9,3
2024-04-29 10:47:00,735.9,735.9,735.2,735.9,5030
2024-04-29 10:48:00,735.9,735.9,735.1,735.1,1778
2024-04-29 10:49:00,735.1,735.45,735.05,735.45,535
2024-04-29 10:50:00,735.05,735.45,734.45,735.0,2163
2024-04-29 10:51:00,735.0,735.05,734.5,735.05,171
2024-04-29 10:52:00,735.05,735.8,734.55,735.8,1017
2024-04-29 10:53:00,735.8,735.8,734.8,734.95,791
2024-04-29 10:54:00,734.95,734.95,734.25,734.25,214
2024-04-29 10:55:00,734.25,734.7,734.1,734.7,164
2024-04-29 10:56:00,734.7,734.7,734.15,734.45,67
2024-04-29 10:57:00,734.45,734.7,734.15,734.7,592
2024-04-29 10:58:00,734.65,735.0,734.65,734.9,81
2024-04-29 10:59:00,734.9,735.45,734.9,735.45,723
2024-04-29 11:00:00,735.55,735.75,735.2,735.65,844
2024-04-29 11:01:00,735.55,735.55,734.8,735.2,1176
2024-04-29 11:02:00,735.2,735.3,734.9,735.0,164
2024-04-29 11:03:00,735.0,735.0,734.9,734.9,121
2024-04-29 11:04:00,734.95,734.95,734.3,734.65,313
2024-04-29 11:05:00,734.65,735.0,734.55,734.95,387
2024-04-29 11:06:00,734.95,734.95,734.45,734.65,195
2024-04-29 11:07:00,734.6,734.75,734.2,734.6,184
2024-04-29 11:08:00,734.6,735.95,734.6,735.9,4832
2024-04-29 11:09:00,735.9,736.5,735.9,736.4,4422
2024-04-29 11:10:00,736.4,736.4,735.95,735.95,158
2024-04-29 11:11:00,735.95,735.95,735.4,735.85,599
2024-04-29 11:12:00,735.85,735.85,735.3,735.3,31
2024-04-29 11:13:00,735.3,735.65,735.1,735.5,279
2024-04-29 11:14:00,735.5,735.5,735.25,735.5,265
2024-04-29 11:15:00,735.5,735.5,735.35,735.35,16
2024-04-29 11:16:00,735.35,735.5,735.0,735.25,311
2024-04-29 11:17:00,735.25,736.25,735.25,736.2,1465
2024-04-29 11:18:00,736.2,736.3,735.35,735.85,977
2024-04-29 11:19:00,735.85,736.55,735.45,736.55,3137
2024-04-29 11:20:00,737.0,737.0,736.5,736.8,2080
2024-04-29 11:21:00,736.8,736.8,736.25,736.6,69
2024-04-29 11:22:00,736.6,737.1,736.35,737.1,765
2024-04-29 11:23:00,737.1,737.3,737.0,737.1,3971
2024-04-29 11:24:00,737.1,737.2,736.35,736.35,277
2024-04-29 11:25:00,736.6,736.85,736.4,736.85,225
2024-04-29 11:26:00,736.75,736.75,736.3,736.65,1803
2024-04-29 11:27:00,736.65,736.75,736.2,736.65,283
2024-04-29 11:28:00,736.65,736.65,736.35,736.65,97
2024-04-29 11:29:00,736.65,736.75,736.55,736.7,733
2024-04-29 11:30:00,736.75,737.5,736.75,737.15,1341
2024-04-29 11:31:00,737.15,737.5,737.0,737.5,646
2024-04-29 11:32:00,737.5,737.65,737.15,737.15,1195
2024-04-29 11:33:00,737.15,737.45,737.1,737.45,474
2024-04-29 11:34:00,737.45,737.6,737.1,737.6,452
2024-04-29 11:35:00,737.6,737.6,737.15,737.5,713
2024-04-29 11:36:00,737.5,737.5,736.6,736.6,4585
2024-04-29 11:37:00,736.6,737.5,736.45,737.4,1745
2024-04-29 11:38:00,737.4,737.5,736.85,737.5,723
2024-04-29 11:39:00,737.5,737.5,736.85,737.2,1196
2024-04-29 11:40:00,737.2,737.5,737.2,737.5,534
2024-04-29 11:41:00,737.5,738.0,737.45,738.0,14679
2024-04-29 11:42:00,738.0,738.0,737.55,737.55,3687
2024-04-29 11:43:00,737.55,738.5,737.55,738.05,2301
2024-04-29 11:44:00,738.05,738.4,738.05,738.4,52
2024-04-29 11:45:00,738.4,738.4,738.1,738.3,194
2024-04-29 11:46:00,738.3,738.3,738.05,738.05,380
2024-04-29 11:47:00,738.05,738.1,737.5,737.65,16451
2024-04-29 11:48:00,737.65,738.25,737.55,738.2,548
2024-04-29 11:49:00,738.2,738.2,737.45,737.95,1143
2024-04-29 11:50:00,737.95,737.95,737.55,737.55,52
2024-04-29 11:51:00,737.5,737.8,737.35,737.8,145
2024-04-29 11:52:00,737.8,737.8,737.35,737.75,375
2024-04-29 11:53:00,737.8,738.0,737.5,737.95,888
2024-04-29 11:54:00,737.95,738.15,737.55,737.75,682
2024-04-29 11:55:00,737.75,738.4,737.75,738.25,128
2024-04-29 11:56:00,738.35,738.35,737.5,737.75,937
2024-04-29 11:57:00,737.75,738.4,737.55,738.4,1310
2024-04-29 11:58:00,738.2,739.0,737.9,738.6,5167
2024-04-29 11:59:00,738.65,738.85,738.25,738.85,546
2024-04-29 12:00:00,738.85,738.95,738.65,738.95,4
2024-04-29 12:01:00,738.95,738.95,738.2,738.85,6837
2024-04-29 12:02:00,738.85,739.85,738.6,739.85,2227
2024-04-29 12:03:00,740.0,740.0,739.2,739.25,8882
2024-04-29 12:04:00,739.45,739.7,739.3,739.35,1655
2024-04-29 12:05:00,739.35,739.9,739.3,739.8,2177
2024-04-29 12:06:00,739.85,739.9,739.35,739.35,1672
2024-04-29 12:07:00,739.7,739.7,739.25,739.45,1166
2024-04-29 12:08:00,739.2,739.9,739.2,739.9,3612
2024-04-29 12:09:00,739.9,739.95,739.65,739.95,3195
2024-04-29 12:10:00,739.95,739.95,739.45,739.85,2947
2024-04-29 12:11:00,739.85,739.95,739.8,739.8,1616
2024-04-29 12:12:00,739.8,739.85,739.65,739.85,775
2024-04-29 12:13:00,739.85,739.9,739.85,739.9,187
2024-04-29 12:14:00,739.9,740.0,739.7,740.0,1692
2024-04-29 12:15:00,740.0,740.0,739.55,739.55,1674
2024-04-29 12:16:00,739.55,739.75,739.4,739.75,2348
2024-04-29 12:17:00,739.4,740.0,739.4,740.0,2646
2024-04-29 12:18:00,740.0,740.05,740.0,740.0,1885
2024-04-29 12:19:00,740.0,740.35,740.0,740.35,773
2024-04-29 12:20:00,740.35,741.25,740.05,741.25,4713
2024-04-29 12:21:00,741.05,742.0,740.05,740.25,12643
2024-04-29 12:22:00,740.25,741.2,740.25,741.0,1871
2024-04-29 12:23:00,741.0,742.35,741.0,742.1,5112
2024-04-29 12:24:00,742.1,742.35,742.0,742.35,1471
2024-04-29 12:25:00,742.35,743.0,742.1,742.8,2801
2024-04-29 12:26:00,743.0,744.1,742.7,743.7,23698
2024-04-29 12:27:00,743.7,744.9,743.25,744.0,11467
2024-04-29 12:28:00,744.0,746.3,744.0,745.0,106164
2024-04-29 12:29:00,745.0,746.05,744.55,745.45,21425
2024-04-29 12:30:00,745.45,745.45,744.8,744.8,1135
2024-04-29 12:31:00,745.15,745.15,744.1,744.1,4893
2024-04-29 12:32:00,744.1,745.0,744.1,744.9,4912
2024-04-29 12:33:00,744.9,744.9,743.95,744.4,1635
2024-04-29 12:34:00,744.4,744.4,743.9,743.9,1019
2024-04-29 12:35:00,743.6,743.95,742.55,742.95,1652
2024-04-29 12:36:00,742.95,744.3,742.5,744.0,8049
2024-04-29 12:37:00,744.1,746.85,744.0,746.0,88184
