date,open,high,low,close,volume
2024-04-29 09:15:00,565.0,567.6,564.0,566.3,12752
2024-04-29 09:16:00,567.0,569.0,565.55,565.95,19338
2024-04-29 09:17:00,565.85,568.8,565.25,568.75,18433
2024-04-29 09:18:00,569.8,575.0,569.55,575.0,55010
2024-04-29 09:19:00,574.2,575.85,572.5,573.0,43011
2024-04-29 09:20:00,572.75,575.0,572.55,572.7,20707
2024-04-29 09:21:00,572.7,573.1,571.3,571.3,15508
2024-04-29 09:22:00,571.3,572.0,570.05,570.6,11127
2024-04-29 09:23:00,570.1,570.1,565.9,565.95,22622
2024-04-29 09:24:00,566.55,566.7,563.3,564.45,16582
2024-04-29 09:25:00,564.45,564.45,562.05,563.9,9016
2024-04-29 09:26:00,563.9,566.0,563.9,566.0,19253
2024-04-29 09:27:00,565.6,566.0,563.9,564.2,14298
2024-04-29 09:28:00,564.2,567.0,564.0,565.7,22201
2024-04-29 09:29:00,565.7,566.7,564.95,566.05,7762
2024-04-29 09:30:00,566.25,566.25,564.8,566.25,7626
2024-04-29 09:31:00,566.0,567.05,565.0,567.0,7568
2024-04-29 09:32:00,566.65,568.45,566.65,568.45,2748
2024-04-29 09:33:00,568.45,568.45,567.25,567.75,2412
2024-04-29 09:34:00,567.75,568.4,567.35,568.1,7064
2024-04-29 09:35:00,568.1,570.5,568.1,570.25,16892
2024-04-29 09:36:00,570.4,572.25,570.05,572.25,12020
2024-04-29 09:37:00,571.85,573.25,571.85,573.1,19044
2024-04-29 09:38:00,572.8,573.25,570.15,570.15,7648
2024-04-29 09:39:00,570.15,571.0,569.5,569.5,4947
2024-04-29 09:40:00,570.15,570.15,568.0,568.0,2828
2024-04-29 09:41:00,568.5,568.5,567.1,567.65,5831
2024-04-29 09:42:00,567.85,568.0,567.0,567.0,2912
2024-04-29 09:43:00,567.0,567.45,567.0,567.4,2363
2024-04-29 09:44:00,567.0,567.0,565.8,566.35,7529
2024-04-29 09:45:00,565.9,566.9,565.9,566.0,6867
2024-04-29 09:46:00,566.0,566.25,564.1,564.85,4381
2024-04-29 09:47:00,564.85,566.5,564.4,566.5,11978
