date,open,high,low,close,volume
2024-04-29 09:15:00,898.4,899.85,895.2,896.25,52648
2024-04-29 09:16:00,896.75,896.75,893.3,894.6,22618
2024-04-29 09:17:00,894.9,895.05,890.5,892.0,21626
2024-04-29 09:18:00,892.55,892.55,890.6,891.4,12973
2024-04-29 09:19:00,891.4,892.15,890.5,891.45,14709
2024-04-29 09:20:00,891.05,892.0,890.6,891.9,15662
2024-04-29 09:21:00,891.4,893.6,891.4,892.4,16515
2024-04-29 09:22:00,892.4,893.2,891.5,891.85,14530
2024-04-29 09:23:00,891.95,892.3,889.4,890.15,27041
2024-04-29 09:24:00,889.85,889.85,888.3,889.3,10073
2024-04-29 09:25:00,888.75,889.6,888.3,888.35,9274
2024-04-29 09:26:00,888.95,889.95,887.85,889.05,11256
2024-04-29 09:27:00,888.6,889.2,888.05,889.2,5196
2024-04-29 09:28:00,888.6,889.9,888.6,889.45,6488
2024-04-29 09:29:00,889.45,889.95,889.1,889.4,5984
2024-04-29 09:30:00,889.05,889.05,887.85,887.85,10452
2024-04-29 09:31:00,887.85,887.9,886.15,886.25,16956
2024-04-29 09:32:00,886.25,889.6,886.2,889.6,13708
2024-04-29 09:33:00,889.4,889.95,888.3,889.15,8360
2024-04-29 09:34:00,889.65,890.95,889.5,890.1,7967
2024-04-29 09:35:00,890.1,892.8,890.1,891.9,13567
2024-04-29 09:36:00,892.3,892.35,890.05,890.5,8423
2024-04-29 09:37:00,891.0,891.65,889.6,890.2,13453
2024-04-29 09:38:00,890.2,891.8,890.05,890.7,5904
2024-04-29 09:39:00,890.2,890.55,889.65,890.55,4898
2024-04-29 09:40:00,890.55,891.55,890.55,891.35,3151
2024-04-29 09:41:00,891.3,891.5,890.5,891.5,3894
2024-04-29 09:42:00,891.5,891.5,890.5,891.5,1666
2024-04-29 09:43:00,891.5,891.9,889.95,890.0,9211
2024-04-29 09:44:00,890.0,891.5,890.0,891.45,3265
2024-04-29 09:45:00,891.45,891.45,889.65,890.15,2637
2024-04-29 09:46:00,890.6,890.6,888.0,888.45,18876
2024-04-29 09:47:00,888.45,890.9,888.4,890.2,5037
2024-04-29 09:48:00,890.2,890.4,889.1,889.75,3259
2024-04-29 09:49:00,889.75,890.2,889.15,889.45,2635
2024-04-29 09:50:00,889.45,889.9,889.0,889.5,2195
2024-04-29 09:51:00,889.6,890.3,888.85,889.85,5436
2024-04-29 09:52:00,890.35,890.5,889.55,890.05,2635
2024-04-29 09:53:00,890.05,891.4,890.0,891.35,2613
2024-04-29 09:54:00,891.35,891.75,891.1,891.45,3334
2024-04-29 09:55:00,891.45,893.0,891.15,892.65,12017
2024-04-29 09:56:00,892.65,893.0,891.6,892.1,8823
2024-04-29 09:57:00,892.05,892.9,892.0,892.7,5996
2024-04-29 09:58:00,892.85,892.95,890.9,891.35,7146
2024-04-29 09:59:00,891.35,892.5,890.85,892.5,6176
2024-04-29 10:00:00,892.55,894.35,892.2,894.35,13346
2024-04-29 10:01:00,895.05,896.2,893.6,895.3,26154
2024-04-29 10:02:00,895.3,896.5,895.0,895.3,11494
2024-04-29 10:03:00,895.0,895.5,894.45,894.6,12744
2024-04-29 10:04:00,894.6,897.3,894.6,896.25,25709
2024-04-29 10:05:00,896.25,898.0,896.0,897.2,28343
2024-04-29 10:06:00,897.7,897.75,896.55,897.35,11855
2024-04-29 10:07:00,897.2,897.95,896.85,897.15,21352
2024-04-29 10:08:00,897.15,898.0,897.0,898.0,21762
2024-04-29 10:09:00,897.7,898.45,897.05,898.15,32323
2024-04-29 10:10:00,898.15,899.5,897.9,897.95,19721
2024-04-29 10:11:00,897.95,899.05,897.95,898.65,10924
2024-04-29 10:12:00,898.65,898.8,897.75,898.8,12482
2024-04-29 10:13:00,898.8,898.8,898.0,898.25,6511
2024-04-29 10:14:00,898.25,898.55,897.05,897.5,7377
2024-04-29 10:15:00,897.15,898.2,897.15,898.05,7912
2024-04-29 10:16:00,898.05,899.95,898.05,899.1,21218
2024-04-29 10:17:00,899.1,899.75,899.1,899.5,7487
2024-04-29 10:18:00,899.5,899.7,898.25,899.5,10293
2024-04-29 10:19:00,899.5,899.95,899.05,899.25,11386
2024-04-29 10:20:00,899.25,900.8,899.1,900.8,19936
2024-04-29 10:21:00,900.8,902.5,900.8,901.5,26278
2024-04-29 10:22:00,901.5,901.5,900.0,901.05,18087
2024-04-29 10:23:00,901.05,901.5,900.6,901.0,4676
2024-04-29 10:24:00,901.0,901.5,898.55,898.95,21402
2024-04-29 10:25:00,898.5,898.85,897.5,898.35,14384
2024-04-29 10:26:00,898.35,900.2,898.35,900.05,8164
2024-04-29 10:27:00,900.05,901.5,899.95,901.2,7171
2024-04-29 10:28:00,900.7,901.3,899.7,900.0,7983
2024-04-29 10:29:00,900.0,901.45,899.95,900.75,13474
2024-04-29 10:30:00,900.5,901.5,899.6,901.05,11854
2024-04-29 10:31:00,901.05,901.05,899.05,900.7,5713
2024-04-29 10:32:00,900.2,900.8,899.05,899.75,5139
2024-04-29 10:33:00,899.75,899.95,899.1,899.5,2581
2024-04-29 10:34:00,899.5,900.0,899.3,899.85,1815
2024-04-29 10:35:00,899.85,899.85,899.0,899.1,2777
2024-04-29 10:36:00,899.5,899.65,898.25,898.25,4035
2024-04-29 10:37:00,898.05,898.7,898.0,898.05,8185
2024-04-29 10:38:00,898.05,899.0,897.95,898.8,3967
2024-04-29 10:39:00,899.0,899.65,895.7,898.0,30245
2024-04-29 10:40:00,898.0,898.0,897.05,897.65,3185
2024-04-29 10:41:00,897.8,898.0,897.15,897.2,3430
2024-04-29 10:42:00,897.2,898.0,897.1,897.65,1514
2024-04-29 10:43:00,898.0,898.4,897.65,898.0,1438
2024-04-29 10:44:00,898.0,899.2,898.0,899.2,8823
2024-04-29 10:45:00,899.65,899.65,898.8,899.35,9045
2024-04-29 10:46:00,899.4,899.55,898.25,898.85,9951
2024-04-29 10:47:00,898.85,899.15,898.0,898.7,4403
2024-04-29 10:48:00,898.7,898.9,898.1,898.7,2097
2024-04-29 10:49:00,898.7,898.85,898.3,898.35,826
2024-04-29 10:50:00,898.35,898.6,897.1,897.55,7572
2024-04-29 10:51:00,898.0,898.5,896.6,896.6,5685
2024-04-29 10:52:00,896.6,897.0,896.1,897.0,4718
2024-04-29 10:53:00,897.0,897.0,896.5,896.9,1571
2024-04-29 10:54:00,896.6,897.0,896.55,897.0,1466
2024-04-29 10:55:00,897.0,897.0,896.55,897.0,2848
2024-04-29 10:56:00,897.0,897.0,896.6,897.0,2241
2024-04-29 10:57:00,896.6,897.2,896.0,896.0,6126
2024-04-29 10:58:00,896.3,896.3,895.35,895.95,5209
2024-04-29 10:59:00,895.95,896.3,895.5,896.3,6044
2024-04-29 11:00:00,896.3,896.3,895.55,895.7,2228
2024-04-29 11:01:00,895.55,896.0,895.5,895.75,4063
2024-04-29 11:02:00,895.55,896.0,895.3,895.5,1013
2024-04-29 11:03:00,895.5,896.0,895.3,895.6,1531
2024-04-29 11:04:00,895.25,895.6,894.1,894.55,12906
2024-04-29 11:05:00,894.55,894.6,893.35,894.6,24966
2024-04-29 11:06:00,894.6,894.95,893.1,893.2,8448
2024-04-29 11:07:00,893.2,894.85,893.1,894.85,5657
2024-04-29 11:08:00,894.85,895.2,894.05,894.8,3090
2024-04-29 11:09:00,894.8,894.9,893.7,894.3,2569
2024-04-29 11:10:00,893.8,894.4,893.55,894.3,1167
2024-04-29 11:11:00,894.25,894.35,893.8,894.35,2161
2024-04-29 11:12:00,894.35,895.0,894.0,894.95,2234
2024-04-29 11:13:00,894.95,895.0,894.5,894.95,714
2024-04-29 11:14:00,894.95,895.95,894.55,895.9,4758
2024-04-29 11:15:00,895.5,896.3,895.4,896.1,6004
2024-04-29 11:16:00,896.1,896.3,895.65,896.0,1410
2024-04-29 11:17:00,896.0,896.35,895.7,896.2,2371
2024-04-29 11:18:00,896.0,896.25,895.75,896.15,2709
2024-04-29 11:19:00,896.0,896.3,895.5,895.9,2603
2024-04-29 11:20:00,895.9,895.95,895.0,895.3,3309
2024-04-29 11:21:00,895.0,895.3,894.25,894.65,2219
2024-04-29 11:22:00,894.65,895.0,894.3,894.6,1018
2024-04-29 11:23:00,894.2,894.7,893.3,893.7,8385
2024-04-29 11:24:00,893.7,893.7,893.3,893.7,2683
2024-04-29 11:25:00,893.7,894.75,893.4,894.35,8039
2024-04-29 11:26:00,894.35,894.55,893.9,894.5,1724
2024-04-29 11:27:00,894.5,894.8,894.45,894.8,786
2024-04-29 11:28:00,894.8,895.35,894.7,895.35,1927
2024-04-29 11:29:00,895.35,895.35,894.5,895.0,2336
2024-04-29 11:30:00,895.0,895.25,894.35,894.5,979
2024-04-29 11:31:00,894.5,894.5,894.05,894.45,638
2024-04-29 11:32:00,894.45,894.5,894.0,894.5,519
2024-04-29 11:33:00,894.5,894.6,894.1,894.55,343
2024-04-29 11:34:00,894.55,894.6,894.1,894.5,447
2024-04-29 11:35:00,894.5,894.5,894.05,894.3,593
2024-04-29 11:36:00,894.3,894.6,894.0,894.1,1231
2024-04-29 11:37:00,894.0,894.1,893.75,894.0,378
2024-04-29 11:38:00,894.0,894.0,893.55,894.0,1633
2024-04-29 11:39:00,894.05,894.85,893.55,894.2,2631
2024-04-29 11:40:00,894.2,894.3,893.65,894.3,1872
2024-04-29 11:41:00,894.3,894.3,893.95,894.3,1297
2024-04-29 11:42:00,894.3,894.3,893.9,894.3,669
2024-04-29 11:43:00,894.3,894.75,894.0,894.75,1395
2024-04-29 11:44:00,894.75,894.8,894.4,894.4,882
2024-04-29 11:45:00,894.4,895.0,894.15,894.95,896
2024-04-29 11:46:00,894.95,895.0,894.5,894.9,1709
2024-04-29 11:47:00,894.9,895.0,894.5,894.85,2400
2024-04-29 11:48:00,894.85,895.0,894.55,895.0,2654
2024-04-29 11:49:00,895.0,895.0,894.55,895.0,1210
2024-04-29 11:50:00,895.0,895.95,894.7,895.95,3177
2024-04-29 11:51:00,895.5,895.95,895.0,895.2,2693
2024-04-29 11:52:00,895.2,895.25,894.65,895.1,753
2024-04-29 11:53:00,895.1,895.2,894.55,894.85,3113
2024-04-29 11:54:00,894.8,895.15,894.7,895.0,358
2024-04-29 11:55:00,895.0,895.55,894.75,895.35,2666
2024-04-29 11:56:00,895.1,895.35,894.1,894.8,2152
2024-04-29 11:57:00,894.8,894.85,894.25,894.85,369
2024-04-29 11:58:00,894.85,894.9,894.5,894.9,1320
2024-04-29 11:59:00,894.9,894.9,894.5,894.5,1034
2024-04-29 12:00:00,894.5,894.9,894.5,894.9,4537
2024-04-29 12:01:00,894.9,895.5,894.55,895.5,2760
2024-04-29 12:02:00,895.5,895.9,894.8,894.8,722
2024-04-29 12:03:00,895.0,895.45,894.5,895.45,950
2024-04-29 12:04:00,895.45,895.45,894.8,895.2,173
2024-04-29 12:05:00,895.2,895.4,894.75,894.75,1150
2024-04-29 12:06:00,894.95,895.0,894.6,895.0,1221
2024-04-29 12:07:00,895.0,895.0,894.5,895.0,660
2024-04-29 12:08:00,894.55,895.0,894.55,895.0,1706
2024-04-29 12:09:00,895.0,895.65,894.95,895.2,4256
2024-04-29 12:10:00,895.15,895.6,895.1,895.3,1186
2024-04-29 12:11:00,895.3,895.55,894.8,895.5,1009
2024-04-29 12:12:00,895.5,895.65,895.05,895.5,1478
2024-04-29 12:13:00,895.5,895.8,895.15,895.75,1916
2024-04-29 12:14:00,895.35,895.55,894.8,895.1,3199
2024-04-29 12:15:00,895.1,895.45,894.4,895.0,2132
2024-04-29 12:16:00,895.0,895.2,895.0,895.2,257
2024-04-29 12:17:00,895.0,895.4,895.0,895.3,833
2024-04-29 12:18:00,895.3,895.45,894.8,894.95,491
2024-04-29 12:19:00,894.95,895.55,894.8,895.2,1354
2024-04-29 12:20:00,894.8,895.2,894.5,895.0,305
2024-04-29 12:21:00,894.65,895.0,894.65,895.0,793
2024-04-29 12:22:00,895.0,895.0,894.6,895.0,582
2024-04-29 12:23:00,894.65,895.0,894.6,895.0,450
2024-04-29 12:24:00,895.0,895.2,894.7,895.2,1231
2024-04-29 12:25:00,895.2,895.85,894.65,895.85,1958
2024-04-29 12:26:00,895.6,896.5,895.6,896.2,4528
2024-04-29 12:27:00,896.2,896.4,895.75,896.25,1478
2024-04-29 12:28:00,896.25,896.4,896.0,896.4,497
2024-04-29 12:29:00,896.4,896.95,896.05,896.9,2766
2024-04-29 12:30:00,896.9,896.9,896.0,896.55,1894
2024-04-29 12:31:00,896.6,896.95,896.4,896.9,627
2024-04-29 12:32:00,896.9,897.5,896.5,897.35,5944
2024-04-29 12:33:00,897.5,897.5,896.65,897.15,2106
2024-04-29 12:34:00,897.15,897.2,896.55,896.85,3239
2024-04-29 12:35:00,896.85,897.2,896.75,897.1,1445
2024-04-29 12:36:00,897.1,897.1,896.0,896.9,1814
2024-04-29 12:37:00,896.9,896.95,896.4,896.9,312
2024-04-29 12:38:00,896.9,896.9,896.5,896.5,288
2024-04-29 12:39:00,896.5,896.9,896.45,896.6,4099
2024-04-29 12:40:00,896.6,896.6,895.9,896.45,1915
2024-04-29 12:41:00,896.45,896.45,895.85,896.3,320
2024-04-29 12:42:00,896.3,896.3,896.0,896.3,711
2024-04-29 12:43:00,896.3,896.3,895.6,895.95,845
2024-04-29 12:44:00,895.6,895.95,895.0,895.45,1534
2024-04-29 12:45:00,895.45,895.45,894.7,895.1,1117
2024-04-29 12:46:00,895.1,895.1,893.2,893.25,6873
2024-04-29 12:47:00,893.35,894.45,892.55,894.4,5938
2024-04-29 12:48:00,894.4,894.4,893.8,893.9,1335
2024-04-29 12:49:00,893.8,894.7,893.45,894.7,2734
2024-04-29 12:50:00,894.7,894.9,894.6,894.9,1043
2024-04-29 12:51:00,894.6,894.8,894.2,894.8,1468
2024-04-29 12:52:00,894.8,896.0,894.8,895.7,2565
2024-04-29 12:53:00,895.7,895.9,895.35,895.85,839
2024-04-29 12:54:00,895.85,895.9,895.3,895.6,717
2024-04-29 12:55:00,895.6,895.95,895.3,895.55,471
2024-04-29 12:56:00,895.55,895.95,895.4,895.4,768
2024-04-29 12:57:00,895.85,895.85,895.0,895.3,2692
2024-04-29 12:58:00,895.3,895.75,895.0,895.55,734
2024-04-29 12:59:00,895.55,895.65,895.0,895.6,933
2024-04-29 13:00:00,895.5,895.6,895.0,895.5,437
2024-04-29 13:01:00,895.5,895.55,894.35,894.85,1648
2024-04-29 13:02:00,894.5,894.9,894.4,894.9,3092
2024-04-29 13:03:00,894.9,895.5,894.9,895.35,1461
2024-04-29 13:04:00,895.35,895.4,894.75,895.15,724
2024-04-29 13:05:00,895.0,895.0,894.2,894.6,481
2024-04-29 13:06:00,894.6,894.65,894.1,894.65,3170
2024-04-29 13:07:00,894.65,895.2,894.15,895.15,1275
2024-04-29 13:08:00,895.15,895.35,894.6,895.35,1103
2024-04-29 13:09:00,895.35,895.35,894.8,895.35,1288
2024-04-29 13:10:00,895.35,895.35,894.85,895.2,1408
2024-04-29 13:11:00,895.2,895.2,894.85,895.15,95
2024-04-29 13:12:00,894.85,895.15,894.65,895.1,773
2024-04-29 13:13:00,895.1,895.1,894.65,894.9,234
2024-04-29 13:14:00,894.9,894.9,894.25,894.4,643
2024-04-29 13:15:00,894.4,894.4,893.75,893.75,1564
2024-04-29 13:16:00,893.75,894.35,893.5,894.35,4058
2024-04-29 13:17:00,893.9,894.4,893.9,894.35,172
2024-04-29 13:18:00,894.35,894.4,893.75,894.25,1534
2024-04-29 13:19:00,894.25,895.1,893.85,895.1,1622
2024-04-29 13:20:00,895.1,895.1,894.5,895.1,668
2024-04-29 13:21:00,895.1,895.1,894.2,894.3,1537
2024-04-29 13:22:00,894.3,894.8,894.15,894.8,1677
2024-04-29 13:23:00,894.8,895.15,894.5,895.0,877
2024-04-29 13:24:00,895.0,895.5,894.65,895.5,752
2024-04-29 13:25:00,895.5,895.55,895.05,895.55,1990
2024-04-29 13:26:00,895.55,895.55,894.5,894.9,1257
2024-04-29 13:27:00,894.9,895.1,894.5,895.1,186
2024-04-29 13:28:00,895.1,895.5,894.8,895.5,811
2024-04-29 13:29:00,895.5,895.6,894.8,895.2,1831
2024-04-29 13:30:00,895.2,895.2,894.05,894.45,663
2024-04-29 13:31:00,894.45,894.55,894.0,894.2,2725
2024-04-29 13:32:00,894.55,894.55,894.15,894.45,1077
2024-04-29 13:33:00,894.15,895.4,894.15,895.0,1057
2024-04-29 13:34:00,895.35,895.5,895.0,895.4,521
2024-04-29 13:35:00,895.4,895.45,894.7,895.05,289
2024-04-29 13:36:00,895.05,895.05,894.3,894.6,922
2024-04-29 13:37:00,894.6,894.6,894.3,894.6,383
2024-04-29 13:38:00,894.6,895.0,894.3,895.0,2445
2024-04-29 13:39:00,894.4,894.95,894.35,894.85,1520
2024-04-29 13:40:00,894.85,895.0,894.15,894.75,1661
2024-04-29 13:41:00,894.4,894.75,894.35,894.6,217
2024-04-29 13:42:00,894.6,894.6,894.1,894.6,704
2024-04-29 13:43:00,894.6,894.75,894.1,894.75,2664
2024-04-29 13:44:00,894.75,895.0,894.45,895.0,1250
2024-04-29 13:45:00,895.0,895.0,894.1,894.5,560
2024-04-29 13:46:00,894.5,894.5,893.65,894.0,440
2024-04-29 13:47:00,893.65,894.0,893.5,893.9,764
2024-04-29 13:48:00,893.55,893.9,892.8,893.1,2442
2024-04-29 13:49:00,893.1,893.5,892.85,893.15,1397
2024-04-29 13:50:00,893.15,893.35,892.65,893.3,2261
2024-04-29 13:51:00,893.0,893.95,892.7,893.9,2175
2024-04-29 13:52:00,893.9,894.8,893.4,893.95,3546
2024-04-29 13:53:00,893.95,894.0,893.45,893.95,1781
2024-04-29 13:54:00,893.95,894.0,893.5,894.0,1520
2024-04-29 13:55:00,894.0,894.0,893.5,893.8,658
2024-04-29 13:56:00,893.65,893.75,893.05,893.55,487
2024-04-29 13:57:00,893.55,893.55,893.1,893.55,1119
2024-04-29 13:58:00,893.55,893.65,893.2,893.65,3549
2024-04-29 13:59:00,893.25,894.05,893.25,893.95,853
2024-04-29 14:00:00,893.95,893.95,893.0,893.5,1776
