date,open,high,low,close,volume
2024-04-29 09:15:00,729.8,730.0,727.2,729.0,818
2024-04-29 09:16:00,729.0,730.4,728.1,730.4,1262
2024-04-29 09:17:00,729.5,732.95,729.5,732.2,792
2024-04-29 09:18:00,732.15,732.95,731.45,732.2,637
2024-04-29 09:19:00,732.2,732.95,731.35,732.95,1397
2024-04-29 09:20:00,732.95,732.95,732.9,732.9,138
2024-04-29 09:21:00,732.1,732.85,730.55,730.55,642
2024-04-29 09:22:00,730.55,731.0,730.5,731.0,31
2024-04-29 09:23:00,731.0,731.0,730.5,730.5,842
2024-04-29 09:24:00,730.5,730.5,730.5,730.5,1
2024-04-29 09:25:00,730.5,731.2,729.75,730.5,80
2024-04-29 09:26:00,730.5,730.5,728.6,728.6,861
2024-04-29 09:27:00,729.25,730.45,728.95,730.4,255
2024-04-29 09:28:00,730.4,730.4,729.35,729.5,507
2024-04-29 09:29:00,729.5,730.0,729.0,729.0,180
2024-04-29 09:30:00,729.0,729.0,728.95,728.95,484
2024-04-29 09:31:00,728.95,729.0,728.6,728.8,129
2024-04-29 09:32:00,730.05,730.45,730.05,730.45,1810
2024-04-29 09:33:00,730.45,731.0,730.05,730.5,20
2024-04-29 09:34:00,730.8,730.8,730.0,730.0,490
2024-04-29 09:35:00,729.65,729.65,729.05,729.45,138
2024-04-29 09:36:00,729.45,729.6,728.6,728.6,46
2024-04-29 09:37:00,728.6,728.6,728.4,728.4,50
2024-04-29 09:38:00,729.3,729.55,729.3,729.55,86
2024-04-29 09:39:00,729.55,729.55,729.55,729.55,100
2024-04-29 09:40:00,728.95,730.05,728.25,730.05,1000
2024-04-29 09:41:00,730.05,731.0,730.05,730.1,329
2024-04-29 09:42:00,730.1,730.9,730.1,730.1,147
2024-04-29 09:43:00,730.1,730.15,730.1,730.15,28
2024-04-29 09:44:00,730.15,730.95,730.15,730.95,284
2024-04-29 09:45:00,730.95,730.95,730.9,730.9,161
2024-04-29 09:46:00,730.9,731.35,730.05,731.05,1299
2024-04-29 09:47:00,731.05,732.0,730.15,732.0,168
2024-04-29 09:48:00,732.0,732.0,731.5,732.0,113
2024-04-29 09:49:00,732.0,732.55,731.5,732.55,335
2024-04-29 09:50:00,732.25,732.85,732.2,732.2,245
2024-04-29 09:51:00,732.2,732.2,731.5,731.5,3884
2024-04-29 09:52:00,731.5,731.5,730.9,730.9,40
2024-04-29 09:53:00,730.9,732.3,730.9,732.3,87
2024-04-29 09:54:00,732.3,732.3,731.5,731.6,152
2024-04-29 09:55:00,731.6,731.6,731.6,731.6,0
2024-04-29 09:56:00,731.6,731.6,730.8,731.5,12
2024-04-29 09:57:00,731.5,731.55,731.5,731.55,7
2024-04-29 09:58:00,731.55,731.55,731.35,731.5,35
2024-04-29 09:59:00,731.5,731.5,730.75,730.95,81
2024-04-29 10:00:00,730.95,731.5,730.95,731.5,500
2024-04-29 10:01:00,731.5,731.5,730.7,731.4,75
2024-04-29 10:02:00,731.35,731.35,731.0,731.0,30
2024-04-29 10:03:00,731.0,731.3,730.25,730.25,205
2024-04-29 10:04:00,730.25,731.5,730.25,731.45,113
2024-04-29 10:05:00,731.45,731.45,731.45,731.45,5
2024-04-29 10:06:00,731.45,731.45,730.5,730.5,2038
2024-04-29 10:07:00,730.5,731.95,730.5,731.95,1416
2024-04-29 10:08:00,731.95,731.95,731.2,731.2,31
2024-04-29 10:09:00,731.95,731.95,731.95,731.95,82
2024-04-29 10:10:00,731.95,732.0,731.95,732.0,92
2024-04-29 10:11:00,731.95,731.95,731.95,731.95,44
2024-04-29 10:12:00,731.95,732.0,731.05,731.05,356
2024-04-29 10:13:00,731.05,731.05,731.05,731.05,10
2024-04-29 10:14:00,731.05,731.05,730.65,730.65,331
2024-04-29 10:15:00,730.65,731.4,730.6,731.4,2
2024-04-29 10:16:00,731.4,731.4,730.5,730.5,127
2024-04-29 10:17:00,730.5,731.4,730.5,730.6,102
2024-04-29 10:18:00,730.6,730.6,730.6,730.6,21
2024-04-29 10:19:00,730.6,730.6,730.6,730.6,0
2024-04-29 10:20:00,730.6,731.0,730.3,731.0,109
