date,open,high,low,close,volume
2024-04-29 09:15:00,437.5,438.9,435.4,436.95,36297
2024-04-29 09:16:00,436.9,439.85,436.65,439.1,51765
2024-04-29 09:17:00,438.8,438.85,435.8,436.2,18081
2024-04-29 09:18:00,435.8,437.45,435.45,436.8,17098
2024-04-29 09:19:00,436.65,438.0,436.15,437.45,15317
2024-04-29 09:20:00,437.15,438.75,437.0,438.1,10568
2024-04-29 09:21:00,438.0,439.1,437.5,438.5,10462
2024-04-29 09:22:00,438.4,440.45,438.25,440.45,20393
2024-04-29 09:23:00,440.5,442.65,440.45,440.7,26617
2024-04-29 09:24:00,441.25,441.65,440.5,440.8,35708
2024-04-29 09:25:00,441.0,441.25,440.25,440.85,15722
2024-04-29 09:26:00,440.8,440.9,440.05,440.55,9768
2024-04-29 09:27:00,440.55,440.7,438.0,438.55,20167
2024-04-29 09:28:00,438.55,439.15,438.25,438.6,4804
2024-04-29 09:29:00,438.6,439.45,438.6,439.25,2659
2024-04-29 09:30:00,438.6,439.25,437.95,438.25,17774
2024-04-29 09:31:00,438.25,438.95,437.75,438.7,2379
2024-04-29 09:32:00,438.7,440.55,438.7,440.55,2187
2024-04-29 09:33:00,440.5,440.65,439.2,439.6,1914
2024-04-29 09:34:00,439.6,440.0,439.05,439.4,3094
2024-04-29 09:35:00,439.4,439.8,439.1,439.5,1995
2024-04-29 09:36:00,439.5,439.8,438.75,438.9,5060
2024-04-29 09:37:00,438.7,439.2,438.6,439.05,16963
2024-04-29 09:38:00,438.7,439.5,438.3,438.55,14523
2024-04-29 09:39:00,438.55,438.9,438.45,438.65,1601
2024-04-29 09:40:00,438.95,439.05,438.6,438.9,1581
2024-04-29 09:41:00,438.9,438.9,438.3,438.35,2951
2024-04-29 09:42:00,438.35,438.75,437.65,438.1,9450
2024-04-29 09:43:00,438.1,438.3,437.6,437.8,3935
2024-04-29 09:44:00,437.6,438.0,437.05,437.45,11641
2024-04-29 09:45:00,437.45,437.45,436.8,436.8,23583
2024-04-29 09:46:00,436.85,436.85,435.9,436.3,19633
2024-04-29 09:47:00,436.3,436.75,436.3,436.7,2502
2024-04-29 09:48:00,436.7,437.6,436.15,436.4,7617
2024-04-29 09:49:00,436.4,436.85,435.75,436.05,10013
2024-04-29 09:50:00,436.05,436.05,435.25,435.4,4183
2024-04-29 09:51:00,435.4,435.6,435.25,435.6,2720
2024-04-29 09:52:00,435.6,436.3,435.4,435.85,17221
2024-04-29 09:53:00,435.85,436.2,435.75,436.0,5451
2024-04-29 09:54:00,436.0,436.1,435.0,435.45,19192
2024-04-29 09:55:00,435.45,435.6,433.7,434.1,28946
2024-04-29 09:56:00,434.1,434.1,433.45,433.95,4109
2024-04-29 09:57:00,433.95,433.95,433.65,433.65,11158
2024-04-29 09:58:00,433.65,434.0,433.5,434.0,11197
2024-04-29 09:59:00,433.95,433.95,433.05,433.6,5972
2024-04-29 10:00:00,433.6,434.25,432.6,432.6,17446
2024-04-29 10:01:00,432.9,432.9,430.45,430.8,32332
2024-04-29 10:02:00,431.15,432.0,431.15,431.8,6603
2024-04-29 10:03:00,431.8,432.75,431.7,432.75,10093
2024-04-29 10:04:00,432.55,432.75,432.0,432.35,1914
2024-04-29 10:05:00,432.35,432.55,432.05,432.2,1408
2024-04-29 10:06:00,432.2,432.55,432.05,432.4,3364
2024-04-29 10:07:00,432.4,432.55,432.1,432.1,1182
2024-04-29 10:08:00,432.1,432.35,431.7,432.0,5541
2024-04-29 10:09:00,432.0,432.25,431.75,431.95,5315
2024-04-29 10:10:00,431.95,432.25,431.9,432.15,1629
2024-04-29 10:11:00,432.15,432.35,431.9,432.35,2164
2024-04-29 10:12:00,432.35,432.35,431.9,431.95,1621
2024-04-29 10:13:00,431.95,432.45,431.9,432.2,806
2024-04-29 10:14:00,432.2,432.7,431.6,432.1,7059
2024-04-29 10:15:00,432.1,433.7,431.95,433.7,12601
2024-04-29 10:16:00,433.7,433.9,433.35,433.6,1251
2024-04-29 10:17:00,433.6,433.95,433.4,433.65,1081
2024-04-29 10:18:00,433.65,433.7,433.15,433.4,1691
2024-04-29 10:19:00,433.4,433.9,433.25,433.6,2958
2024-04-29 10:20:00,433.6,433.6,433.0,433.45,1538
2024-04-29 10:21:00,433.45,433.85,433.3,433.7,1962
2024-04-29 10:22:00,433.7,433.75,433.2,433.65,2553
2024-04-29 10:23:00,433.5,434.7,433.45,434.35,3350
2024-04-29 10:24:00,434.35,434.95,434.05,434.35,4993
2024-04-29 10:25:00,434.35,434.35,434.05,434.35,602
2024-04-29 10:26:00,434.15,434.4,434.1,434.15,2019
2024-04-29 10:27:00,434.15,434.4,434.15,434.4,746
2024-04-29 10:28:00,434.4,434.8,434.3,434.8,9091
2024-04-29 10:29:00,434.8,434.9,434.25,434.45,7602
2024-04-29 10:30:00,434.2,434.5,434.15,434.15,7943
2024-04-29 10:31:00,434.15,434.3,433.6,434.2,2617
2024-04-29 10:32:00,433.85,434.2,433.6,433.9,2345
2024-04-29 10:33:00,433.9,434.2,433.9,434.15,191
