date,open,high,low,close,volume
2024-04-29 09:15:00,520.5,521.0,519.05,520.5,10294
2024-04-29 09:16:00,520.7,521.6,520.25,521.05,14641
2024-04-29 09:17:00,521.55,522.0,520.95,521.65,15909
2024-04-29 09:18:00,521.95,523.65,521.7,523.65,9082
2024-04-29 09:19:00,523.7,524.0,522.35,522.35,11301
2024-04-29 09:20:00,522.45,523.4,522.15,523.0,7261
2024-04-29 09:21:00,522.95,523.3,520.05,520.9,16585
2024-04-29 09:22:00,520.6,521.0,520.05,521.0,3830
2024-04-29 09:23:00,520.65,521.0,520.3,520.5,2856
2024-04-29 09:24:00,520.5,521.0,520.3,520.65,6922
2024-04-29 09:25:00,520.65,521.0,520.65,520.95,1808
2024-04-29 09:26:00,521.0,521.0,520.9,520.95,4491
2024-04-29 09:27:00,520.95,520.95,520.65,520.7,1485
2024-04-29 09:28:00,520.7,521.0,520.55,520.8,1914
2024-04-29 09:29:00,520.8,521.0,520.4,520.4,2448
2024-04-29 09:30:00,520.0,520.4,519.7,520.35,5161
2024-04-29 09:31:00,520.4,520.85,520.0,520.85,2115
2024-04-29 09:32:00,520.5,521.0,520.45,520.85,10830
2024-04-29 09:33:00,520.85,521.0,520.75,520.9,4015
2024-04-29 09:34:00,520.75,521.0,520.75,521.0,5016
2024-04-29 09:35:00,521.0,521.0,520.8,521.0,2753
2024-04-29 09:36:00,520.9,521.0,520.8,520.85,2207
2024-04-29 09:37:00,520.85,520.85,520.5,520.5,981
2024-04-29 09:38:00,520.75,520.9,520.45,520.45,564
2024-04-29 09:39:00,520.45,520.7,520.0,520.0,3474
2024-04-29 09:40:00,520.0,520.15,520.0,520.15,1886
2024-04-29 09:41:00,520.15,520.25,519.55,519.75,2876
2024-04-29 09:42:00,519.75,520.0,519.25,519.45,1817
2024-04-29 09:43:00,519.05,519.35,519.0,519.2,2071
2024-04-29 09:44:00,519.2,519.4,519.0,519.1,419
2024-04-29 09:45:00,519.1,519.2,518.95,519.05,1597
2024-04-29 09:46:00,519.05,519.05,518.45,518.95,2472
2024-04-29 09:47:00,518.95,519.1,518.5,518.8,785
2024-04-29 09:48:00,518.8,519.2,518.8,518.85,779
2024-04-29 09:49:00,518.85,519.0,518.85,518.85,961
2024-04-29 09:50:00,518.85,519.75,518.85,519.75,172110
2024-04-29 09:51:00,519.75,519.85,519.3,519.75,1465
2024-04-29 09:52:00,519.75,519.95,519.75,519.95,340
2024-04-29 09:53:00,519.95,519.95,519.6,519.8,700
2024-04-29 09:54:00,519.45,519.7,519.35,519.35,295
2024-04-29 09:55:00,519.35,520.65,519.35,520.65,2617
2024-04-29 09:56:00,520.2,520.7,520.2,520.3,1058
2024-04-29 09:57:00,520.25,520.25,520.2,520.25,321
2024-04-29 09:58:00,520.25,520.5,520.2,520.2,364
2024-04-29 09:59:00,520.2,520.3,520.05,520.3,186
2024-04-29 10:00:00,520.3,520.3,520.05,520.2,361
2024-04-29 10:01:00,520.2,520.45,520.05,520.3,2409
2024-04-29 10:02:00,520.45,520.6,520.05,520.05,2178
2024-04-29 10:03:00,520.0,520.3,519.4,519.7,3673
2024-04-29 10:04:00,519.4,519.4,519.2,519.2,418
2024-04-29 10:05:00,519.4,519.65,519.05,519.65,2111
