date,open,high,low,close,volume
2024-04-29 09:15:00,450.0,451.0,441.95,443.75,39171
2024-04-29 09:16:00,444.3,445.45,440.5,441.15,36232
2024-04-29 09:17:00,442.0,442.7,438.6,439.3,34908
2024-04-29 09:18:00,439.3,443.0,438.2,442.75,26587
2024-04-29 09:19:00,442.75,443.05,439.5,440.45,31804
2024-04-29 09:20:00,440.45,442.1,438.55,442.0,15408
2024-04-29 09:21:00,442.0,442.7,440.25,440.95,19798
2024-04-29 09:22:00,440.95,441.0,439.4,440.0,4928
2024-04-29 09:23:00,440.0,440.0,438.0,439.0,15221
2024-04-29 09:24:00,439.0,439.0,437.1,437.95,7567
2024-04-29 09:25:00,437.5,438.8,437.1,438.35,6210
2024-04-29 09:26:00,438.4,438.5,437.5,438.2,8536
2024-04-29 09:27:00,438.2,438.5,436.8,437.85,11843
2024-04-29 09:28:00,438.1,439.85,437.35,439.4,5497
2024-04-29 09:29:00,439.4,439.7,438.1,438.4,5651
2024-04-29 09:30:00,438.4,438.4,437.05,437.05,1771
2024-04-29 09:31:00,437.05,438.0,437.05,437.1,3836
2024-04-29 09:32:00,437.0,437.85,436.75,437.85,4937
2024-04-29 09:33:00,437.85,437.85,437.25,437.85,1164
2024-04-29 09:34:00,437.85,437.85,435.85,436.25,11675
2024-04-29 09:35:00,436.25,436.6,435.0,435.9,23831
2024-04-29 09:36:00,435.9,436.95,435.9,436.45,3784
2024-04-29 09:37:00,436.45,437.5,435.45,437.0,2718
2024-04-29 09:38:00,437.0,437.45,436.15,436.95,2452
2024-04-29 09:39:00,436.95,437.0,436.15,436.15,1917
2024-04-29 09:40:00,436.15,436.55,435.3,436.15,1526
2024-04-29 09:41:00,436.15,436.55,436.15,436.5,2140
2024-04-29 09:42:00,436.5,436.5,436.2,436.5,344
2024-04-29 09:43:00,436.5,436.5,435.95,436.0,3132
2024-04-29 09:44:00,436.0,436.4,435.0,436.4,5190
2024-04-29 09:45:00,436.4,436.4,435.0,435.0,3715
2024-04-29 09:46:00,435.0,436.1,434.0,434.45,8763
2024-04-29 09:47:00,434.45,435.6,434.0,435.2,4843
2024-04-29 09:48:00,435.2,436.25,435.2,435.75,2990
2024-04-29 09:49:00,435.75,435.75,434.75,435.0,2861
2024-04-29 09:50:00,435.0,435.25,434.4,434.85,823
2024-04-29 09:51:00,434.85,435.6,434.55,435.6,5277
2024-04-29 09:52:00,435.6,435.6,435.0,435.2,2882
2024-04-29 09:53:00,435.2,436.5,435.2,436.45,3130
2024-04-29 09:54:00,436.45,436.5,436.0,436.5,1211
2024-04-29 09:55:00,436.5,439.7,436.5,438.85,17822
2024-04-29 09:56:00,438.85,439.1,438.0,438.0,3873
2024-04-29 09:57:00,438.0,438.5,437.4,437.4,2977
2024-04-29 09:58:00,437.65,438.0,437.35,437.75,505
2024-04-29 09:59:00,437.75,438.0,437.5,437.7,1172
2024-04-29 10:00:00,438.0,438.0,437.7,438.0,207
2024-04-29 10:01:00,438.0,438.0,437.0,437.0,1401
2024-04-29 10:02:00,437.0,437.1,436.55,436.6,1066
2024-04-29 10:03:00,436.6,437.1,436.0,436.85,1935
