date,open,high,low,close,volume
2024-04-29 09:15:00,76.55,77.35,76.55,77.2,95898
2024-04-29 09:16:00,77.3,77.5,77.1,77.35,59360
2024-04-29 09:17:00,77.45,78.0,77.3,77.8,90603
2024-04-29 09:18:00,77.8,78.0,77.6,77.65,50771
2024-04-29 09:19:00,77.5,77.5,77.2,77.2,19514
2024-04-29 09:20:00,77.25,77.4,77.05,77.25,21677
2024-04-29 09:21:00,77.25,77.35,77.15,77.2,7384
2024-04-29 09:22:00,77.2,77.2,76.85,77.0,29609
2024-04-29 09:23:00,77.0,77.0,76.85,76.9,20904
2024-04-29 09:24:00,76.9,77.3,76.85,77.0,51490
2024-04-29 09:25:00,77.0,77.05,76.85,77.05,19674
2024-04-29 09:26:00,77.05,77.1,77.0,77.0,10792
2024-04-29 09:27:00,77.1,77.2,77.0,77.2,7632
2024-04-29 09:28:00,77.2,77.25,77.1,77.15,8803
2024-04-29 09:29:00,77.15,77.25,76.85,76.85,22721
2024-04-29 09:30:00,76.85,76.95,76.8,76.8,18080
2024-04-29 09:31:00,76.75,76.85,76.5,76.5,27160
2024-04-29 09:32:00,76.55,76.75,76.45,76.6,22189
2024-04-29 09:33:00,76.55,76.7,76.45,76.5,22721
2024-04-29 09:34:00,76.6,76.75,76.5,76.75,22650
2024-04-29 09:35:00,76.8,76.85,76.7,76.85,15169
2024-04-29 09:36:00,76.8,76.85,76.5,76.5,28091
2024-04-29 09:37:00,76.6,76.7,76.5,76.65,14671
2024-04-29 09:38:00,76.7,76.7,76.5,76.5,10801
2024-04-29 09:39:00,76.5,76.65,76.5,76.6,7136
2024-04-29 09:40:00,76.6,76.7,76.55,76.65,8498
2024-04-29 09:41:00,76.65,76.7,76.55,76.7,3525
2024-04-29 09:42:00,76.7,76.7,76.65,76.7,2496
2024-04-29 09:43:00,76.7,76.7,76.55,76.55,6600
2024-04-29 09:44:00,76.6,76.65,76.35,76.45,24905
2024-04-29 09:45:00,76.45,76.55,76.45,76.55,6349
2024-04-29 09:46:00,76.5,76.5,76.3,76.4,15289
2024-04-29 09:47:00,76.4,76.8,76.3,76.8,33033
2024-04-29 09:48:00,76.8,76.8,76.65,76.7,3814
2024-04-29 09:49:00,76.7,76.7,76.5,76.65,12310
2024-04-29 09:50:00,76.65,76.8,76.6,76.75,4662
2024-04-29 09:51:00,76.8,76.8,76.6,76.7,8241
2024-04-29 09:52:00,76.7,76.8,76.65,76.8,4478
2024-04-29 09:53:00,76.8,76.8,76.7,76.8,1944
2024-04-29 09:54:00,76.8,76.8,76.7,76.75,4598
2024-04-29 09:55:00,76.75,76.8,76.65,76.7,2257
2024-04-29 09:56:00,76.75,76.75,76.6,76.7,4971
2024-04-29 09:57:00,76.7,76.7,76.55,76.6,1964
2024-04-29 09:58:00,76.55,76.6,76.45,76.55,7926
2024-04-29 09:59:00,76.55,76.6,76.2,76.4,23244
2024-04-29 10:00:00,76.4,76.5,76.35,76.45,2608
2024-04-29 10:01:00,76.4,76.6,76.4,76.5,7959
2024-04-29 10:02:00,76.5,76.55,76.45,76.5,901
2024-04-29 10:03:00,76.5,76.55,76.4,76.5,7328
2024-04-29 10:04:00,76.5,76.5,76.35,76.35,2249
2024-04-29 10:05:00,76.35,76.45,76.3,76.35,5174
2024-04-29 10:06:00,76.35,76.35,76.2,76.3,4628
2024-04-29 10:07:00,76.3,76.3,76.0,76.1,22508
2024-04-29 10:08:00,76.1,76.2,76.1,76.2,2538
2024-04-29 10:09:00,76.15,76.25,76.05,76.15,12034
2024-04-29 10:10:00,76.15,76.25,76.05,76.05,7656
2024-04-29 10:11:00,76.05,76.05,75.95,76.0,40442
2024-04-29 10:12:00,76.0,76.05,76.0,76.05,2432
2024-04-29 10:13:00,76.05,76.25,76.0,76.0,8526
2024-04-29 10:14:00,76.1,76.15,76.0,76.0,2404
2024-04-29 10:15:00,76.1,76.1,76.0,76.0,5721
2024-04-29 10:16:00,76.0,76.1,76.0,76.1,2166
2024-04-29 10:17:00,76.05,76.2,76.05,76.2,3556
2024-04-29 10:18:00,76.1,76.25,76.05,76.05,4863
2024-04-29 10:19:00,76.05,76.15,76.05,76.1,5206
2024-04-29 10:20:00,76.1,76.1,75.9,75.95,20940
2024-04-29 10:21:00,75.95,76.15,75.95,76.05,1828
2024-04-29 10:22:00,76.05,76.1,76.0,76.05,1659
2024-04-29 10:23:00,76.1,76.15,76.0,76.15,1528
2024-04-29 10:24:00,76.2,76.25,76.1,76.2,5859
2024-04-29 10:25:00,76.2,76.25,76.1,76.2,1956
2024-04-29 10:26:00,76.2,76.2,75.95,76.0,9846
2024-04-29 10:27:00,76.0,76.2,76.0,76.2,1206
2024-04-29 10:28:00,76.2,76.2,76.1,76.15,2012
2024-04-29 10:29:00,76.2,76.2,76.1,76.2,1889
2024-04-29 10:30:00,76.2,76.2,76.05,76.05,9939
2024-04-29 10:31:00,76.1,76.2,76.05,76.1,9174
2024-04-29 10:32:00,76.1,76.2,76.1,76.2,201
2024-04-29 10:33:00,76.2,76.3,76.1,76.1,13226
2024-04-29 10:34:00,76.1,76.2,76.1,76.15,6015
2024-04-29 10:35:00,76.15,76.2,76.1,76.2,930
2024-04-29 10:36:00,76.2,76.2,76.1,76.1,1419
2024-04-29 10:37:00,76.2,76.2,76.1,76.2,4135
2024-04-29 10:38:00,76.1,76.25,76.1,76.2,3080
2024-04-29 10:39:00,76.2,76.2,76.1,76.2,307
2024-04-29 10:40:00,76.15,76.25,76.1,76.15,5897
2024-04-29 10:41:00,76.15,76.25,76.15,76.25,3389
2024-04-29 10:42:00,76.25,76.25,76.2,76.2,861
2024-04-29 10:43:00,76.25,76.25,76.15,76.15,4219
2024-04-29 10:44:00,76.25,76.25,76.1,76.1,9308
2024-04-29 10:45:00,76.1,76.2,76.1,76.1,2359
2024-04-29 10:46:00,76.2,76.2,76.1,76.1,1633
2024-04-29 10:47:00,76.1,76.15,76.05,76.05,8546
2024-04-29 10:48:00,76.1,76.15,75.85,76.0,76076
2024-04-29 10:49:00,76.0,76.05,75.9,76.05,3523
2024-04-29 10:50:00,76.0,76.0,75.8,75.85,8660
2024-04-29 10:51:00,75.85,75.95,75.8,75.95,3026
2024-04-29 10:52:00,75.95,75.95,75.8,75.95,6891
2024-04-29 10:53:00,75.95,75.95,75.85,75.95,1031
2024-04-29 10:54:00,75.95,76.0,75.9,75.95,2516
2024-04-29 10:55:00,75.95,76.0,75.9,75.95,5392
2024-04-29 10:56:00,75.95,76.0,75.95,76.0,734
2024-04-29 10:57:00,76.0,76.0,75.95,75.95,729
2024-04-29 10:58:00,76.0,76.0,75.9,75.9,1938
2024-04-29 10:59:00,75.9,76.0,75.85,75.9,9220
2024-04-29 11:00:00,75.9,76.0,75.9,75.95,1007
2024-04-29 11:01:00,75.95,75.95,75.85,75.95,3197
2024-04-29 11:02:00,75.95,75.95,75.9,75.95,892
2024-04-29 11:03:00,75.95,76.0,75.9,76.0,3881
2024-04-29 11:04:00,76.0,76.0,75.9,76.0,2258
2024-04-29 11:05:00,76.0,76.0,75.9,75.9,1462
2024-04-29 11:06:00,75.9,76.0,75.9,76.0,1847
2024-04-29 11:07:00,76.0,76.0,75.85,75.85,8036
2024-04-29 11:08:00,75.9,75.95,75.85,75.95,3551
2024-04-29 11:09:00,75.95,76.0,75.9,75.95,3039
2024-04-29 11:10:00,75.95,76.0,75.9,75.9,1201
2024-04-29 11:11:00,75.9,75.95,75.9,75.95,1059
2024-04-29 11:12:00,75.95,76.0,75.9,76.0,4228
2024-04-29 11:13:00,76.0,76.05,75.9,76.05,2565
2024-04-29 11:14:00,76.0,76.2,76.0,76.05,61075
2024-04-29 11:15:00,76.05,76.15,76.05,76.1,519
2024-04-29 11:16:00,76.1,76.1,76.05,76.05,922
2024-04-29 11:17:00,76.1,76.2,76.1,76.2,3124
2024-04-29 11:18:00,76.2,76.2,76.15,76.2,1438
2024-04-29 11:19:00,76.2,76.2,76.1,76.1,9470
2024-04-29 11:20:00,76.1,76.15,76.1,76.1,475
2024-04-29 11:21:00,76.1,76.2,76.05,76.15,6706
2024-04-29 11:22:00,76.15,76.15,76.05,76.1,727
2024-04-29 11:23:00,76.1,76.15,76.0,76.1,3609
2024-04-29 11:24:00,76.1,76.15,76.05,76.15,2091
2024-04-29 11:25:00,76.1,76.15,76.05,76.05,404
2024-04-29 11:26:00,76.1,76.15,76.05,76.05,699
2024-04-29 11:27:00,76.05,76.15,76.05,76.15,1538
2024-04-29 11:28:00,76.15,76.15,76.1,76.15,1648
2024-04-29 11:29:00,76.15,76.15,76.1,76.1,163
2024-04-29 11:30:00,76.1,76.15,76.1,76.1,3442
2024-04-29 11:31:00,76.1,76.2,76.1,76.2,4179
2024-04-29 11:32:00,76.2,76.2,76.15,76.2,217
2024-04-29 11:33:00,76.2,76.25,76.2,76.25,6130
2024-04-29 11:34:00,76.25,76.25,76.15,76.15,880
2024-04-29 11:35:00,76.2,76.25,76.2,76.25,5549
2024-04-29 11:36:00,76.25,76.25,76.2,76.25,1585
2024-04-29 11:37:00,76.25,76.3,76.2,76.2,8456
2024-04-29 11:38:00,76.15,76.15,76.1,76.1,6289
2024-04-29 11:39:00,76.15,76.15,76.1,76.1,1021
2024-04-29 11:40:00,76.1,76.15,76.1,76.15,1486
2024-04-29 11:41:00,76.15,76.15,76.1,76.15,1524
2024-04-29 11:42:00,76.1,76.15,76.05,76.05,3181
2024-04-29 11:43:00,76.15,76.15,76.05,76.15,1939
2024-04-29 11:44:00,76.15,76.15,76.1,76.1,869
2024-04-29 11:45:00,76.1,76.1,75.9,75.95,15769
2024-04-29 11:46:00,75.95,76.0,75.9,76.0,246
2024-04-29 11:47:00,76.0,76.0,75.95,75.95,2465
2024-04-29 11:48:00,75.95,75.95,75.9,75.95,517
2024-04-29 11:49:00,75.95,76.0,75.9,76.0,647
2024-04-29 11:50:00,75.9,76.0,75.9,75.95,3190
2024-04-29 11:51:00,75.95,75.95,75.95,75.95,1217
2024-04-29 11:52:00,75.95,76.05,75.95,76.05,3580
2024-04-29 11:53:00,76.05,76.05,76.0,76.0,993
2024-04-29 11:54:00,76.0,76.05,75.95,76.0,2019
2024-04-29 11:55:00,76.05,76.05,76.0,76.05,298
2024-04-29 11:56:00,76.05,76.05,76.0,76.0,1138
2024-04-29 11:57:00,76.0,76.0,75.9,76.0,5876
2024-04-29 11:58:00,76.0,76.0,75.95,75.95,457
2024-04-29 11:59:00,75.95,76.0,75.95,76.0,1336
2024-04-29 12:00:00,76.0,76.0,75.95,75.95,1863
2024-04-29 12:01:00,76.0,76.0,75.95,76.0,352
2024-04-29 12:02:00,76.0,76.0,75.95,76.0,1734
2024-04-29 12:03:00,76.0,76.0,75.9,76.0,2688
2024-04-29 12:04:00,76.0,76.0,75.9,75.95,7685
2024-04-29 12:05:00,75.95,75.95,75.9,75.95,463
2024-04-29 12:06:00,75.95,75.95,75.9,75.95,4291
2024-04-29 12:07:00,75.9,76.0,75.85,75.9,9823
2024-04-29 12:08:00,75.9,75.95,75.8,75.8,11849
2024-04-29 12:09:00,75.8,75.9,75.75,75.85,15136
2024-04-29 12:10:00,75.8,75.9,75.75,75.9,6630
2024-04-29 12:11:00,75.9,76.0,75.8,75.95,2738
2024-04-29 12:12:00,75.95,75.95,75.85,75.9,1151
