date,open,high,low,close,volume
2024-04-29 09:15:00,70.0,70.1,69.75,70.0,62858
2024-04-29 09:16:00,70.0,70.35,69.95,70.2,110967
2024-04-29 09:17:00,70.2,70.4,70.1,70.35,57955
2024-04-29 09:18:00,70.35,70.4,70.25,70.3,47270
2024-04-29 09:19:00,70.3,70.3,70.15,70.2,20282
2024-04-29 09:20:00,70.15,70.2,70.0,70.1,39448
2024-04-29 09:21:00,70.05,70.1,69.95,70.0,55530
2024-04-29 09:22:00,70.0,70.05,69.95,70.0,10369
2024-04-29 09:23:00,70.0,70.1,69.95,70.1,9385
2024-04-29 09:24:00,70.15,70.15,70.0,70.0,15809
2024-04-29 09:25:00,70.0,70.05,69.85,70.0,20697
2024-04-29 09:26:00,70.0,70.0,69.95,69.95,13578
2024-04-29 09:27:00,69.95,70.0,69.9,69.9,14005
2024-04-29 09:28:00,69.85,69.95,69.85,69.85,11055
2024-04-29 09:29:00,69.85,69.95,69.85,69.95,4416
2024-04-29 09:30:00,69.95,70.0,69.85,69.85,20193
2024-04-29 09:31:00,69.9,69.95,69.85,69.85,10038
2024-04-29 09:32:00,69.85,70.0,69.85,69.9,8982
2024-04-29 09:33:00,69.9,70.0,69.85,69.9,10254
2024-04-29 09:34:00,69.9,69.95,69.85,69.95,2768
2024-04-29 09:35:00,69.9,69.95,69.9,69.9,8337
2024-04-29 09:36:00,69.95,69.95,69.85,69.85,18832
2024-04-29 09:37:00,69.85,69.95,69.85,69.9,5900
2024-04-29 09:38:00,69.9,69.95,69.85,69.85,40898
2024-04-29 09:39:00,69.85,69.9,69.8,69.85,5401
2024-04-29 09:40:00,69.9,69.9,69.85,69.85,1890
2024-04-29 09:41:00,69.9,69.95,69.85,69.9,4851
2024-04-29 09:42:00,69.95,69.95,69.85,69.9,10760
2024-04-29 09:43:00,69.9,69.9,69.75,69.8,6459
2024-04-29 09:44:00,69.75,69.85,69.75,69.75,31321
2024-04-29 09:45:00,69.75,69.8,69.75,69.75,3967
2024-04-29 09:46:00,69.75,69.8,69.75,69.8,9945
2024-04-29 09:47:00,69.75,69.85,69.75,69.75,7196
2024-04-29 09:48:00,69.75,69.85,69.75,69.8,8120
2024-04-29 09:49:00,69.85,69.85,69.8,69.85,3168
2024-04-29 09:50:00,69.85,69.85,69.8,69.85,2013
2024-04-29 09:51:00,69.85,69.95,69.8,69.85,4958
2024-04-29 09:52:00,69.95,69.95,69.85,69.9,3473
2024-04-29 09:53:00,69.95,70.0,69.9,69.95,10993
2024-04-29 09:54:00,69.95,69.95,69.9,69.9,3346
2024-04-29 09:55:00,69.9,69.95,69.9,69.9,1486
