date,open,high,low,close,volume
2024-04-29 09:15:00,93.45,93.5,93.1,93.3,1055004
2024-04-29 09:16:00,93.25,93.45,93.1,93.45,524153
2024-04-29 09:17:00,93.4,93.55,93.25,93.45,526751
2024-04-29 09:18:00,93.45,93.5,93.3,93.4,488338
2024-04-29 09:19:00,93.35,93.4,93.25,93.25,329294
2024-04-29 09:20:00,93.25,93.25,93.05,93.2,272824
2024-04-29 09:21:00,93.15,93.2,93.0,93.1,378556
2024-04-29 09:22:00,93.15,93.15,92.85,92.9,589535
2024-04-29 09:23:00,92.95,93.1,92.9,93.05,161993
2024-04-29 09:24:00,93.05,93.15,92.95,93.05,254182
2024-04-29 09:25:00,93.05,93.1,92.9,93.1,238890
2024-04-29 09:26:00,93.0,93.05,92.9,93.0,156923
2024-04-29 09:27:00,92.95,93.0,92.85,92.85,118989
2024-04-29 09:28:00,92.95,92.95,92.85,92.9,234215
2024-04-29 09:29:00,92.85,92.9,92.75,92.8,308128
2024-04-29 09:30:00,92.85,92.85,92.8,92.85,116202
2024-04-29 09:31:00,92.8,92.85,92.7,92.8,277553
2024-04-29 09:32:00,92.85,92.95,92.7,92.9,192057
2024-04-29 09:33:00,93.0,93.0,92.8,92.8,351834
2024-04-29 09:34:00,92.8,92.95,92.75,92.9,138537
2024-04-29 09:35:00,92.95,93.0,92.9,93.0,120535
2024-04-29 09:36:00,93.0,93.0,92.75,92.8,201077
2024-04-29 09:37:00,92.8,93.1,92.8,93.0,423773
2024-04-29 09:38:00,92.95,93.0,92.8,92.9,128288
2024-04-29 09:39:00,92.85,92.85,92.75,92.8,104057
2024-04-29 09:40:00,92.8,92.8,92.7,92.75,118910
2024-04-29 09:41:00,92.8,92.8,92.75,92.75,87969
2024-04-29 09:42:00,92.75,92.9,92.7,92.9,130123
2024-04-29 09:43:00,92.9,92.95,92.8,92.85,141345
2024-04-29 09:44:00,92.85,92.9,92.75,92.8,127704
2024-04-29 09:45:00,92.75,92.9,92.75,92.85,70656
2024-04-29 09:46:00,92.9,92.9,92.75,92.75,70658
2024-04-29 09:47:00,92.8,93.0,92.75,93.0,360301
2024-04-29 09:48:00,92.95,93.85,92.95,93.65,1870037
2024-04-29 09:49:00,93.7,94.4,93.6,94.0,2965756
2024-04-29 09:50:00,94.05,94.15,93.65,93.65,1020371
2024-04-29 09:51:00,93.65,93.75,93.55,93.65,429871
2024-04-29 09:52:00,93.75,93.8,93.65,93.75,741930
2024-04-29 09:53:00,93.8,94.15,93.65,94.0,1032983
2024-04-29 09:54:00,94.0,94.15,93.95,94.05,718520
2024-04-29 09:55:00,94.1,94.15,94.0,94.05,497516
2024-04-29 09:56:00,94.05,94.1,94.0,94.0,254377
2024-04-29 09:57:00,94.05,94.05,93.85,93.85,436837
2024-04-29 09:58:00,93.9,93.9,93.75,93.75,312657
