date,open,high,low,close,volume
2024-04-29 09:15:00,260.75,261.5,259.5,260.65,330999
2024-04-29 09:16:00,260.55,260.65,259.9,260.0,202719
2024-04-29 09:17:00,259.75,260.1,259.3,259.4,99717
2024-04-29 09:18:00,259.45,259.65,258.8,258.9,108215
2024-04-29 09:19:00,258.95,259.55,258.5,259.35,73573
2024-04-29 09:20:00,259.2,259.4,259.0,259.25,80304
2024-04-29 09:21:00,259.4,259.75,259.25,259.5,40653
2024-04-29 09:22:00,259.35,259.6,259.05,259.15,57716
2024-04-29 09:23:00,259.15,259.15,258.55,258.95,170884
2024-04-29 09:24:00,258.95,258.95,258.3,258.4,79524
2024-04-29 09:25:00,258.5,258.65,258.15,258.4,61314
2024-04-29 09:26:00,258.4,258.5,258.1,258.3,51414
2024-04-29 09:27:00,258.4,258.55,258.3,258.4,33638
2024-04-29 09:28:00,258.45,259.2,258.45,259.0,121204
2024-04-29 09:29:00,259.15,259.45,258.05,258.15,107133
2024-04-29 09:30:00,258.05,258.05,257.35,257.5,133198
2024-04-29 09:31:00,257.5,257.5,256.6,257.0,80149
2024-04-29 09:32:00,257.15,258.2,257.0,258.2,68116
2024-04-29 09:33:00,258.2,258.2,257.25,257.4,32755
2024-04-29 09:34:00,257.5,257.85,257.15,257.45,51585
2024-04-29 09:35:00,257.45,257.85,257.45,257.45,29418
2024-04-29 09:36:00,257.5,257.5,256.4,256.6,73485
2024-04-29 09:37:00,256.6,256.85,256.1,256.3,45147
2024-04-29 09:38:00,256.15,256.45,256.0,256.1,55245
2024-04-29 09:39:00,256.15,256.3,255.8,255.95,65964
2024-04-29 09:40:00,256.0,256.7,256.0,256.65,52457
2024-04-29 09:41:00,256.65,256.65,256.3,256.35,28430
2024-04-29 09:42:00,256.35,256.5,256.15,256.5,27641
2024-04-29 09:43:00,256.5,256.6,255.8,255.85,33790
2024-04-29 09:44:00,255.9,255.95,255.7,255.7,27226
2024-04-29 09:45:00,255.7,255.85,255.0,255.0,124554
2024-04-29 09:46:00,255.1,255.1,254.65,254.85,103560
2024-04-29 09:47:00,254.95,255.5,254.8,255.25,49753
2024-04-29 09:48:00,255.35,255.5,254.85,255.2,33418
2024-04-29 09:49:00,255.1,255.35,254.85,254.85,48181
2024-04-29 09:50:00,254.85,255.15,254.8,255.1,26924
2024-04-29 09:51:00,255.0,255.15,254.95,255.0,18168
2024-04-29 09:52:00,255.1,255.35,255.05,255.3,19800
2024-04-29 09:53:00,255.3,255.85,255.3,255.65,44134
2024-04-29 09:54:00,255.7,256.0,255.55,255.7,29968
2024-04-29 09:55:00,255.7,255.85,255.5,255.7,28186
2024-04-29 09:56:00,255.7,255.8,255.05,255.15,38924
2024-04-29 09:57:00,255.1,255.25,255.1,255.1,15187
2024-04-29 09:58:00,255.1,255.15,254.7,254.7,27045
2024-04-29 09:59:00,254.65,254.9,254.65,254.9,41088
2024-04-29 10:00:00,254.8,255.5,254.8,255.5,35053
2024-04-29 10:01:00,255.5,255.6,254.25,254.65,89289
2024-04-29 10:02:00,254.65,255.3,254.65,255.15,20864
2024-04-29 10:03:00,255.15,255.7,255.15,255.3,254317
2024-04-29 10:04:00,255.35,255.35,254.85,255.15,21962
2024-04-29 10:05:00,255.15,255.4,254.9,255.3,18877
2024-04-29 10:06:00,255.3,255.45,254.95,255.1,48370
2024-04-29 10:07:00,255.1,255.2,254.7,254.8,36248
2024-04-29 10:08:00,254.65,254.9,254.65,254.65,11934
2024-04-29 10:09:00,254.65,254.75,254.45,254.6,56175
2024-04-29 10:10:00,254.6,254.85,254.5,254.6,19817
2024-04-29 10:11:00,254.6,255.1,254.6,255.0,60890
