date,open,high,low,close,volume
2024-04-29 09:15:00,312.0,312.55,310.05,311.5,73535
2024-04-29 09:16:00,311.3,311.35,310.5,310.5,39689
2024-04-29 09:17:00,310.6,310.7,309.7,309.85,28901
2024-04-29 09:18:00,309.85,310.9,309.85,310.5,33138
2024-04-29 09:19:00,310.7,310.7,309.95,310.05,27046
2024-04-29 09:20:00,309.75,310.25,309.65,309.85,20361
2024-04-29 09:21:00,309.75,310.7,309.75,310.35,40848
2024-04-29 09:22:00,310.1,310.2,309.5,309.65,24899
2024-04-29 09:23:00,309.65,310.1,309.35,310.0,18521
2024-04-29 09:24:00,310.0,310.1,309.0,309.25,32723
2024-04-29 09:25:00,309.3,310.2,309.15,309.45,35020
2024-04-29 09:26:00,309.55,309.75,309.3,309.7,20645
2024-04-29 09:27:00,309.75,309.75,309.25,309.4,8929
2024-04-29 09:28:00,309.35,309.55,309.05,309.2,20004
2024-04-29 09:29:00,309.3,309.85,308.5,308.5,35188
2024-04-29 09:30:00,308.35,308.6,307.9,308.15,50811
2024-04-29 09:31:00,308.15,308.35,307.8,308.1,12091
2024-04-29 09:32:00,308.1,309.9,308.1,309.45,63385
2024-04-29 09:33:00,309.45,309.45,308.9,309.05,9281
2024-04-29 09:34:00,309.15,309.25,308.9,309.05,13598
2024-04-29 09:35:00,309.1,309.3,309.05,309.1,4473
2024-04-29 09:36:00,309.0,309.1,308.25,308.25,9638
2024-04-29 09:37:00,308.55,308.55,308.0,308.0,16709
2024-04-29 09:38:00,308.1,308.7,308.1,308.5,11107
2024-04-29 09:39:00,308.5,308.6,308.4,308.45,4801
2024-04-29 09:40:00,308.7,308.95,308.5,308.7,6170
2024-04-29 09:41:00,308.7,308.7,308.1,308.1,15442
2024-04-29 09:42:00,308.2,308.2,307.7,307.85,10092
2024-04-29 09:43:00,307.95,308.0,307.35,307.35,14296
2024-04-29 09:44:00,307.4,307.55,307.0,307.1,33715
2024-04-29 09:45:00,307.05,307.5,306.7,306.7,56329
2024-04-29 09:46:00,306.85,306.85,305.6,306.05,26147
2024-04-29 09:47:00,306.05,306.65,305.8,306.65,23099
2024-04-29 09:48:00,306.65,306.9,306.4,306.75,11288
2024-04-29 09:49:00,306.85,307.05,306.75,307.0,5074
2024-04-29 09:50:00,307.0,307.25,306.45,306.45,3190
2024-04-29 09:51:00,306.7,306.7,306.25,306.25,14076
2024-04-29 09:52:00,306.25,307.2,306.25,307.2,6183
