date,open,high,low,close,volume
2024-04-29 09:15:00,800.0,803.0,800.0,801.95,951
2024-04-29 09:16:00,801.95,802.35,801.05,801.05,247
2024-04-29 09:17:00,801.3,802.05,800.6,801.6,1867
2024-04-29 09:18:00,801.55,803.05,801.55,803.05,774
2024-04-29 09:19:00,802.8,803.75,802.8,802.85,2053
2024-04-29 09:20:00,802.55,803.15,800.85,801.85,1859
2024-04-29 09:21:00,802.55,803.15,802.35,802.65,607
2024-04-29 09:22:00,802.6,804.0,802.6,804.0,1081
2024-04-29 09:23:00,804.0,804.55,803.45,804.05,4381
2024-04-29 09:24:00,804.0,804.45,803.5,804.05,1229
2024-04-29 09:25:00,804.0,804.8,804.0,804.6,995
2024-04-29 09:26:00,804.6,804.6,803.0,803.85,2017
2024-04-29 09:27:00,803.85,804.85,803.2,804.1,2000
2024-04-29 09:28:00,804.1,806.0,804.1,806.0,5353
2024-04-29 09:29:00,805.7,805.75,805.0,805.35,9410
2024-04-29 09:30:00,804.85,804.9,803.75,803.75,3698
2024-04-29 09:31:00,804.0,804.75,802.2,804.15,4251
2024-04-29 09:32:00,804.15,805.3,803.5,804.9,1531
2024-04-29 09:33:00,804.9,804.9,803.2,803.25,1854
2024-04-29 09:34:00,803.7,804.2,803.2,803.95,720
2024-04-29 09:35:00,803.95,804.35,803.25,803.65,1115
2024-04-29 09:36:00,803.65,803.95,803.2,803.2,670
2024-04-29 09:37:00,803.5,803.65,803.0,803.6,863
2024-04-29 09:38:00,803.6,803.6,803.0,803.35,330
2024-04-29 09:39:00,803.35,803.35,801.65,801.65,1365
2024-04-29 09:40:00,801.65,802.75,801.6,801.6,1141
2024-04-29 09:41:00,801.6,802.0,801.6,802.0,91
2024-04-29 09:42:00,802.0,802.0,801.5,801.55,79
2024-04-29 09:43:00,801.95,802.0,801.0,801.35,576
2024-04-29 09:44:00,801.35,801.35,801.1,801.35,426
2024-04-29 09:45:00,801.35,801.35,799.95,799.95,1408
2024-04-29 09:46:00,800.0,800.5,799.5,799.5,1400
