date,open,high,low,close,volume
2024-04-29 09:15:00,101.4,101.7,101.3,101.7,24190
2024-04-29 09:16:00,101.7,101.7,101.5,101.7,1400
2024-04-29 09:17:00,101.7,101.8,101.7,101.75,2907
2024-04-29 09:18:00,101.8,101.8,101.5,101.6,28244
2024-04-29 09:19:00,101.6,101.65,101.6,101.6,8746
2024-04-29 09:20:00,101.65,101.75,101.65,101.75,2705
2024-04-29 09:21:00,101.7,101.7,101.6,101.7,1418
2024-04-29 09:22:00,101.7,101.7,101.55,101.65,16251
2024-04-29 09:23:00,101.65,101.65,101.6,101.6,1336
2024-04-29 09:24:00,101.6,101.6,101.45,101.5,39966
2024-04-29 09:25:00,101.5,101.5,101.3,101.3,4756
2024-04-29 09:26:00,101.4,101.4,101.15,101.25,21478
2024-04-29 09:27:00,101.25,101.25,101.1,101.15,6134
2024-04-29 09:28:00,101.15,101.15,101.05,101.05,1387
2024-04-29 09:29:00,101.05,101.15,101.05,101.15,10274
2024-04-29 09:30:00,101.15,101.3,101.1,101.2,12598
2024-04-29 09:31:00,101.2,101.3,101.15,101.25,2338
2024-04-29 09:32:00,101.3,101.55,101.3,101.45,8461
2024-04-29 09:33:00,101.45,101.6,101.45,101.55,1134
2024-04-29 09:34:00,101.55,101.55,101.45,101.5,959
2024-04-29 09:35:00,101.5,101.5,101.25,101.25,8367
2024-04-29 09:36:00,101.25,101.25,101.15,101.2,1565
2024-04-29 09:37:00,101.2,101.4,101.15,101.4,8527
2024-04-29 09:38:00,101.4,101.4,100.85,101.0,22430
2024-04-29 09:39:00,101.0,101.0,100.8,100.95,9647
2024-04-29 09:40:00,100.9,101.0,100.85,100.9,12398
2024-04-29 09:41:00,100.9,101.0,100.9,100.95,314
2024-04-29 09:42:00,100.95,101.0,100.95,101.0,670
2024-04-29 09:43:00,101.0,101.0,100.9,100.9,4656
2024-04-29 09:44:00,100.9,100.95,100.9,100.9,2618
2024-04-29 09:45:00,100.95,100.95,100.75,100.75,11600
2024-04-29 09:46:00,100.75,100.85,100.65,100.65,4564
2024-04-29 09:47:00,100.65,100.8,100.65,100.8,732
2024-04-29 09:48:00,100.8,100.8,100.75,100.75,1310
2024-04-29 09:49:00,100.75,100.8,100.7,100.75,2591
2024-04-29 09:50:00,100.75,100.8,100.7,100.75,3124
2024-04-29 09:51:00,100.75,100.75,100.7,100.75,3668
2024-04-29 09:52:00,100.7,100.75,100.7,100.7,1330
2024-04-29 09:53:00,100.7,100.7,100.65,100.65,1607
2024-04-29 09:54:00,100.65,100.7,100.65,100.7,3438
2024-04-29 09:55:00,100.7,100.7,100.65,100.65,10511
2024-04-29 09:56:00,100.7,100.7,100.6,100.7,4287
2024-04-29 09:57:00,100.7,100.7,100.55,100.55,1408
