date,open,high,low,close,volume
2024-04-29 09:15:00,269.0,269.0,265.0,265.95,892292
2024-04-29 09:16:00,265.65,267.55,264.6,267.3,358327
2024-04-29 09:17:00,267.0,267.5,265.4,265.7,333540
2024-04-29 09:18:00,265.8,266.4,265.5,266.0,144201
2024-04-29 09:19:00,265.95,266.0,264.8,265.4,254308
2024-04-29 09:20:00,265.5,266.0,264.6,265.15,216496
2024-04-29 09:21:00,265.15,265.3,264.7,264.95,137796
2024-04-29 09:22:00,264.95,265.35,264.75,265.3,107200
2024-04-29 09:23:00,265.3,266.2,265.0,266.1,101092
2024-04-29 09:24:00,266.1,266.25,265.15,265.35,112179
2024-04-29 09:25:00,265.35,266.9,265.35,266.2,109950
2024-04-29 09:26:00,266.35,266.55,265.15,265.9,58995
2024-04-29 09:27:00,265.9,266.2,265.4,265.6,79402
2024-04-29 09:28:00,265.6,265.85,264.0,264.2,150617
2024-04-29 09:29:00,264.1,264.4,263.75,264.05,115906
2024-04-29 09:30:00,264.05,264.3,262.8,263.05,175663
2024-04-29 09:31:00,263.05,264.25,262.75,263.95,169727
2024-04-29 09:32:00,264.0,264.25,263.75,264.2,101835
2024-04-29 09:33:00,264.2,264.2,263.15,263.5,52096
2024-04-29 09:34:00,263.3,263.5,262.85,263.25,77133
2024-04-29 09:35:00,263.35,263.75,263.0,263.15,111538
2024-04-29 09:36:00,263.15,263.15,261.25,261.25,234912
2024-04-29 09:37:00,261.3,262.4,261.0,261.4,487230
2024-04-29 09:38:00,261.4,261.95,261.4,261.85,130983
2024-04-29 09:39:00,261.85,261.9,261.4,261.45,100946
2024-04-29 09:40:00,261.45,261.6,261.0,261.0,71420
2024-04-29 09:41:00,261.05,261.45,260.5,260.8,106610
2024-04-29 09:42:00,260.8,261.1,260.6,261.0,42787
2024-04-29 09:43:00,261.05,261.05,259.7,259.9,249054
2024-04-29 09:44:00,259.75,260.15,259.3,259.65,163990
2024-04-29 09:45:00,259.8,260.05,259.55,259.55,125653
2024-04-29 09:46:00,259.6,259.8,258.85,259.75,205413
2024-04-29 09:47:00,259.65,260.25,258.9,259.05,160656
2024-04-29 09:48:00,258.85,259.05,258.0,258.5,256147
2024-04-29 09:49:00,258.55,258.6,258.0,258.55,110756
2024-04-29 09:50:00,258.5,258.6,258.05,258.55,56073
2024-04-29 09:51:00,258.5,258.9,258.45,258.9,57416
2024-04-29 09:52:00,258.9,259.35,258.75,258.85,65860
2024-04-29 09:53:00,258.85,259.55,258.7,258.75,152533
2024-04-29 09:54:00,258.25,258.4,257.25,257.55,343898
2024-04-29 09:55:00,257.6,258.0,257.6,257.75,97844
2024-04-29 09:56:00,257.85,257.85,257.4,257.6,116154
2024-04-29 09:57:00,257.6,257.95,257.45,257.65,104143
2024-04-29 09:58:00,257.8,257.85,257.15,257.2,98508
2024-04-29 09:59:00,257.1,257.55,257.0,257.5,122667
2024-04-29 10:00:00,257.7,258.15,257.5,258.15,63110
2024-04-29 10:01:00,258.05,258.2,257.25,257.65,51199
2024-04-29 10:02:00,257.75,258.2,257.5,257.7,42816
2024-04-29 10:03:00,257.8,258.0,257.65,258.0,30444
2024-04-29 10:04:00,258.0,258.45,257.9,258.15,53339
2024-04-29 10:05:00,258.2,258.3,257.75,257.9,126548
2024-04-29 10:06:00,257.9,258.3,257.75,258.15,43551
2024-04-29 10:07:00,258.15,258.85,258.15,258.75,74303
2024-04-29 10:08:00,258.8,259.1,258.5,258.65,56923
2024-04-29 10:09:00,258.65,258.65,257.8,258.3,70286
2024-04-29 10:10:00,258.25,258.35,257.7,257.7,51694
2024-04-29 10:11:00,257.8,258.1,257.65,258.05,59476
2024-04-29 10:12:00,258.0,258.1,257.75,257.9,67522
2024-04-29 10:13:00,257.9,258.1,257.7,257.85,46443
2024-04-29 10:14:00,257.85,257.85,257.3,257.5,49808
2024-04-29 10:15:00,257.5,257.6,257.2,257.55,23111
2024-04-29 10:16:00,257.55,258.25,257.4,258.25,33652
2024-04-29 10:17:00,258.25,258.45,258.0,258.3,17376
2024-04-29 10:18:00,258.3,258.3,257.9,258.1,15277
2024-04-29 10:19:00,258.1,258.15,257.75,257.75,26522
2024-04-29 10:20:00,257.8,257.95,257.55,257.85,20325
2024-04-29 10:21:00,257.85,258.2,257.85,258.15,15037
2024-04-29 10:22:00,258.15,258.3,257.8,258.25,58443
2024-04-29 10:23:00,258.25,258.6,258.2,258.6,26838
2024-04-29 10:24:00,258.6,258.65,258.05,258.1,27587
2024-04-29 10:25:00,258.1,258.1,257.6,257.65,34781
2024-04-29 10:26:00,257.8,257.95,257.7,257.9,11049
2024-04-29 10:27:00,257.9,257.95,257.85,257.9,7348
2024-04-29 10:28:00,257.9,257.95,257.7,257.9,26482
2024-04-29 10:29:00,257.75,258.1,257.75,258.0,21397
2024-04-29 10:30:00,258.0,258.15,257.85,258.15,49903
2024-04-29 10:31:00,258.15,258.55,258.05,258.3,23680
2024-04-29 10:32:00,258.45,258.75,258.3,258.7,46528
2024-04-29 10:33:00,258.7,259.2,258.7,259.2,66934
2024-04-29 10:34:00,259.2,259.35,258.9,259.35,87736
2024-04-29 10:35:00,259.35,260.3,259.25,259.9,166699
2024-04-29 10:36:00,260.0,260.0,259.65,259.9,37586
2024-04-29 10:37:00,259.8,260.1,259.75,259.9,26933
2024-04-29 10:38:00,259.85,259.9,259.75,259.85,10313
2024-04-29 10:39:00,259.85,259.9,259.4,259.65,99279
2024-04-29 10:40:00,259.5,259.65,259.35,259.45,34311
2024-04-29 10:41:00,259.45,259.75,259.45,259.55,46134
2024-04-29 10:42:00,259.55,261.1,259.55,260.85,90591
2024-04-29 10:43:00,260.95,261.0,260.5,260.5,44287
2024-04-29 10:44:00,260.65,260.85,260.45,260.8,30767
2024-04-29 10:45:00,260.8,260.85,260.45,260.65,30384
2024-04-29 10:46:00,260.65,260.65,259.55,259.6,46062
2024-04-29 10:47:00,259.6,259.85,259.4,259.85,14026
2024-04-29 10:48:00,260.0,260.0,259.8,260.0,3946
2024-04-29 10:49:00,260.0,260.0,259.6,259.75,14840
2024-04-29 10:50:00,259.75,259.85,259.1,259.5,26120
2024-04-29 10:51:00,259.5,259.5,258.25,258.5,77441
2024-04-29 10:52:00,258.4,258.5,257.9,257.9,113295
2024-04-29 10:53:00,258.0,258.85,257.85,258.8,41068
2024-04-29 10:54:00,258.8,258.9,258.35,258.5,31482
2024-04-29 10:55:00,258.35,258.7,258.35,258.5,31261
2024-04-29 10:56:00,258.5,258.5,258.45,258.5,14198
2024-04-29 10:57:00,258.5,258.65,258.0,258.0,105042
2024-04-29 10:58:00,258.0,258.2,257.95,258.2,10034
2024-04-29 10:59:00,258.2,258.45,258.15,258.35,21971
2024-04-29 11:00:00,258.35,258.35,257.6,257.6,151244
2024-04-29 11:01:00,257.6,258.0,257.6,257.9,27403
2024-04-29 11:02:00,257.9,258.0,257.45,257.7,64764
2024-04-29 11:03:00,257.85,258.0,257.7,257.9,14946
2024-04-29 11:04:00,257.9,258.0,257.75,257.9,22753
2024-04-29 11:05:00,258.0,258.2,258.0,258.2,15375
2024-04-29 11:06:00,258.2,258.5,258.15,258.3,40831
2024-04-29 11:07:00,258.35,259.0,258.3,259.0,24514
2024-04-29 11:08:00,258.95,259.1,258.5,258.5,69800
2024-04-29 11:09:00,258.5,258.8,258.5,258.75,9545
2024-04-29 11:10:00,258.75,258.75,258.15,258.15,9352
2024-04-29 11:11:00,258.15,258.65,258.15,258.4,12177
2024-04-29 11:12:00,258.4,258.6,258.25,258.5,18272
2024-04-29 11:13:00,258.5,258.55,258.35,258.5,4644
2024-04-29 11:14:00,258.5,258.75,258.5,258.65,9531
2024-04-29 11:15:00,258.7,258.95,258.6,258.95,12387
2024-04-29 11:16:00,258.9,259.0,258.75,258.95,11314
2024-04-29 11:17:00,258.95,259.2,258.85,259.0,15930
2024-04-29 11:18:00,259.0,259.1,258.85,259.1,7679
2024-04-29 11:19:00,259.15,259.2,259.05,259.05,6173
2024-04-29 11:20:00,259.0,259.1,258.75,258.85,9115
2024-04-29 11:21:00,258.85,258.9,258.7,258.85,3232
2024-04-29 11:22:00,258.85,259.1,258.7,259.1,19326
2024-04-29 11:23:00,259.1,259.1,258.6,258.75,51230
2024-04-29 11:24:00,258.75,259.0,258.75,259.0,9254
2024-04-29 11:25:00,259.0,259.1,258.85,259.1,16050
2024-04-29 11:26:00,259.1,259.1,258.8,258.95,34939
2024-04-29 11:27:00,258.95,259.2,258.8,259.0,25829
2024-04-29 11:28:00,259.0,259.15,259.0,259.1,7587
2024-04-29 11:29:00,259.15,259.15,259.05,259.05,7922
2024-04-29 11:30:00,259.05,259.2,259.0,259.15,11595
2024-04-29 11:31:00,259.15,259.25,259.05,259.15,16135
2024-04-29 11:32:00,259.1,259.45,259.1,259.45,20716
2024-04-29 11:33:00,259.3,259.6,259.3,259.5,19691
