date,open,high,low,close,volume
2024-04-29 09:15:00,807.0,809.6,805.15,809.0,224428
2024-04-29 09:16:00,808.6,809.1,806.75,807.15,172684
2024-04-29 09:17:00,807.2,807.7,805.65,806.1,118919
2024-04-29 09:18:00,806.15,808.45,805.85,807.8,115100
2024-04-29 09:19:00,808.2,809.0,807.85,808.1,111186
2024-04-29 09:20:00,808.0,808.1,806.55,807.1,113561
2024-04-29 09:21:00,807.4,808.05,806.9,807.05,59578
2024-04-29 09:22:00,806.9,807.35,805.6,806.35,95351
2024-04-29 09:23:00,806.5,807.0,805.35,806.7,67497
2024-04-29 09:24:00,806.45,806.75,806.0,806.55,22086
2024-04-29 09:25:00,806.55,807.5,806.55,807.5,37725
2024-04-29 09:26:00,807.35,807.5,806.55,807.5,57262
2024-04-29 09:27:00,807.3,808.2,806.85,807.95,84843
2024-04-29 09:28:00,807.95,808.25,807.6,808.1,48688
2024-04-29 09:29:00,808.4,809.0,807.9,808.65,130033
2024-04-29 09:30:00,808.65,809.55,808.6,809.2,99358
2024-04-29 09:31:00,809.2,809.3,808.25,809.0,77040
2024-04-29 09:32:00,809.05,809.9,808.6,809.65,70782
2024-04-29 09:33:00,809.35,810.1,808.5,808.6,109846
2024-04-29 09:34:00,808.95,809.55,808.3,808.7,40283
2024-04-29 09:35:00,808.65,809.2,808.2,809.1,43136
2024-04-29 09:36:00,808.8,809.15,807.8,807.8,60051
2024-04-29 09:37:00,808.1,808.55,807.35,807.5,73425
2024-04-29 09:38:00,807.75,808.55,807.3,807.55,47123
2024-04-29 09:39:00,807.55,808.45,807.35,808.45,34292
2024-04-29 09:40:00,808.25,808.8,807.45,807.65,29131
2024-04-29 09:41:00,807.6,808.0,807.25,807.6,18255
2024-04-29 09:42:00,807.3,807.7,806.6,807.2,53241
2024-04-29 09:43:00,806.9,807.65,806.0,806.45,62951
2024-04-29 09:44:00,806.45,807.0,806.05,806.05,40585
2024-04-29 09:45:00,806.35,806.65,805.5,805.6,74166
2024-04-29 09:46:00,805.7,806.05,803.35,803.95,145192
2024-04-29 09:47:00,803.95,805.0,803.45,803.55,66358
2024-04-29 09:48:00,803.8,803.9,802.15,802.25,94600
2024-04-29 09:49:00,802.3,802.6,800.9,802.45,112192
2024-04-29 09:50:00,802.35,802.6,801.45,802.0,84884
2024-04-29 09:51:00,801.4,802.45,801.3,801.85,159645
2024-04-29 09:52:00,801.95,802.45,801.5,801.85,65427
2024-04-29 09:53:00,802.05,803.35,801.85,802.25,49001
2024-04-29 09:54:00,802.6,802.6,800.6,800.7,86974
2024-04-29 09:55:00,800.75,801.95,800.4,801.6,86793
2024-04-29 09:56:00,801.6,801.9,800.1,800.5,50098
2024-04-29 09:57:00,800.4,801.25,800.4,801.0,41271
2024-04-29 09:58:00,801.0,801.0,798.7,798.7,156542
2024-04-29 09:59:00,799.0,799.6,798.7,799.45,46856
2024-04-29 10:00:00,799.65,800.65,799.1,800.6,49193
2024-04-29 10:01:00,800.6,800.85,799.65,800.45,59110
2024-04-29 10:02:00,800.5,801.4,799.8,800.15,77539
2024-04-29 10:03:00,800.15,800.55,799.8,800.45,38760
