date,open,high,low,close,volume
2024-04-29 09:15:00,565.0,565.0,560.6,562.35,2250
2024-04-29 09:16:00,562.25,563.8,561.25,561.45,2006
2024-04-29 09:17:00,561.2,562.55,560.45,561.4,6400
2024-04-29 09:18:00,561.4,564.1,560.85,563.35,1879
2024-04-29 09:19:00,563.35,564.45,562.75,562.85,576
2024-04-29 09:20:00,562.85,564.05,562.55,563.2,623
2024-04-29 09:21:00,563.1,563.6,562.7,563.2,5662
2024-04-29 09:22:00,563.25,564.35,562.85,562.85,545
2024-04-29 09:23:00,563.55,563.65,562.85,563.6,139
2024-04-29 09:24:00,562.9,564.35,562.9,563.65,1176
2024-04-29 09:25:00,563.65,564.35,563.65,564.35,176
2024-04-29 09:26:00,564.35,564.35,562.7,562.7,744
2024-04-29 09:27:00,562.55,563.6,562.55,563.25,699
2024-04-29 09:28:00,563.25,563.95,563.2,563.2,125
2024-04-29 09:29:00,563.85,563.85,563.1,563.1,105
2024-04-29 09:30:00,563.7,564.45,563.1,564.05,687
2024-04-29 09:31:00,564.05,564.5,563.25,563.7,284
2024-04-29 09:32:00,563.7,564.4,563.7,563.75,293
2024-04-29 09:33:00,564.4,564.4,563.2,563.45,227
2024-04-29 09:34:00,563.45,563.45,562.05,562.05,2760
2024-04-29 09:35:00,562.05,562.75,562.05,562.2,106
2024-04-29 09:36:00,562.2,562.2,562.0,562.0,97
2024-04-29 09:37:00,562.0,562.7,562.0,562.7,79
2024-04-29 09:38:00,562.7,562.9,562.0,562.0,339
2024-04-29 09:39:00,562.05,562.75,562.0,562.05,235
2024-04-29 09:40:00,562.6,562.7,562.0,562.05,176
2024-04-29 09:41:00,562.05,562.85,562.05,562.85,133
2024-04-29 09:42:00,562.85,562.85,562.05,562.15,134
2024-04-29 09:43:00,562.15,562.2,561.1,561.1,1014
2024-04-29 09:44:00,561.6,561.75,561.1,561.1,179
2024-04-29 09:45:00,561.1,561.65,561.1,561.1,271
2024-04-29 09:46:00,561.1,561.65,560.9,560.9,1181
2024-04-29 09:47:00,560.9,562.55,560.9,561.3,5331
2024-04-29 09:48:00,561.3,561.4,561.3,561.4,88
2024-04-29 09:49:00,561.4,563.0,561.4,561.5,271
2024-04-29 09:50:00,561.5,562.6,561.15,562.1,1110
2024-04-29 09:51:00,562.1,562.2,561.9,561.9,77
2024-04-29 09:52:00,561.9,562.95,561.9,562.0,459
2024-04-29 09:53:00,561.75,563.0,561.7,561.7,197
2024-04-29 09:54:00,562.5,562.7,561.6,561.6,477
2024-04-29 09:55:00,561.6,562.45,561.55,561.75,322
2024-04-29 09:56:00,561.75,562.45,561.65,561.65,218
2024-04-29 09:57:00,561.65,562.9,561.6,561.7,130
2024-04-29 09:58:00,562.2,562.2,561.25,561.25,92
2024-04-29 09:59:00,561.25,561.25,561.2,561.25,106
2024-04-29 10:00:00,561.25,562.0,561.25,561.65,116
2024-04-29 10:01:00,561.65,562.0,561.3,562.0,237
2024-04-29 10:02:00,562.0,562.0,561.3,561.3,166
2024-04-29 10:03:00,561.3,561.4,561.2,561.2,67
2024-04-29 10:04:00,561.65,561.65,561.1,561.25,91
2024-04-29 10:05:00,561.25,561.5,561.0,561.5,387
2024-04-29 10:06:00,561.5,561.6,561.05,561.1,267
2024-04-29 10:07:00,561.1,561.3,561.0,561.1,133
2024-04-29 10:08:00,561.3,561.65,561.05,561.2,94
2024-04-29 10:09:00,561.2,561.65,561.0,561.1,109
2024-04-29 10:10:00,561.05,561.65,561.0,561.0,114
2024-04-29 10:11:00,561.0,561.65,561.0,561.1,155
2024-04-29 10:12:00,561.1,561.6,561.0,561.5,1119
2024-04-29 10:13:00,561.5,561.95,560.9,561.05,608
2024-04-29 10:14:00,561.05,561.95,561.05,561.3,140
2024-04-29 10:15:00,561.3,561.6,561.0,561.0,145
2024-04-29 10:16:00,561.0,561.55,561.0,561.05,94
2024-04-29 10:17:00,561.05,561.95,561.05,561.35,85
2024-04-29 10:18:00,561.35,561.4,560.8,561.05,286
2024-04-29 10:19:00,562.05,563.0,561.75,561.75,1099
2024-04-29 10:20:00,562.35,562.35,561.05,561.05,98
2024-04-29 10:21:00,561.05,561.75,560.95,561.05,143
2024-04-29 10:22:00,561.55,561.55,560.2,560.35,433
2024-04-29 10:23:00,560.35,560.8,560.25,560.25,108
2024-04-29 10:24:00,560.25,560.65,560.1,560.2,173
2024-04-29 10:25:00,560.2,560.65,560.05,560.05,216
2024-04-29 10:26:00,560.05,560.5,560.0,560.0,240
2024-04-29 10:27:00,560.0,560.8,560.0,560.8,238
2024-04-29 10:28:00,560.8,560.8,560.05,560.05,141
2024-04-29 10:29:00,560.05,560.65,560.0,560.05,105
2024-04-29 10:30:00,560.05,560.6,560.0,560.0,139
2024-04-29 10:31:00,560.0,560.5,560.0,560.5,110
2024-04-29 10:32:00,560.5,560.5,560.0,560.0,152
2024-04-29 10:33:00,560.0,560.45,560.0,560.0,340
2024-04-29 10:34:00,560.75,560.8,560.0,560.2,418
2024-04-29 10:35:00,560.2,561.4,560.05,561.0,180
2024-04-29 10:36:00,561.4,561.4,560.05,560.5,1115
2024-04-29 10:37:00,560.5,561.25,560.5,560.5,347
2024-04-29 10:38:00,560.5,561.25,560.5,560.5,105
2024-04-29 10:39:00,560.5,561.0,560.3,560.4,90
2024-04-29 10:40:00,560.4,560.95,560.15,560.25,105
2024-04-29 10:41:00,560.25,560.9,560.0,560.0,83
2024-04-29 10:42:00,560.0,560.0,559.05,559.05,2553
2024-04-29 10:43:00,559.05,560.55,559.0,560.05,936
2024-04-29 10:44:00,560.05,560.75,560.05,560.05,113
2024-04-29 10:45:00,560.05,560.75,560.0,560.3,172
2024-04-29 10:46:00,560.3,560.8,560.05,560.15,140
2024-04-29 10:47:00,560.15,560.85,560.0,560.3,106
2024-04-29 10:48:00,560.3,561.4,560.25,561.0,262
2024-04-29 10:49:00,561.0,561.5,561.0,561.05,94
2024-04-29 10:50:00,561.05,561.5,561.0,561.45,96
2024-04-29 10:51:00,561.45,561.8,561.0,561.3,388
2024-04-29 10:52:00,561.3,561.8,561.3,561.3,121
2024-04-29 10:53:00,561.3,561.9,561.3,561.4,124
2024-04-29 10:54:00,561.4,561.95,561.3,561.45,89
2024-04-29 10:55:00,561.45,562.2,561.45,562.05,177
2024-04-29 10:56:00,562.05,562.2,562.0,562.0,100
2024-04-29 10:57:00,562.0,562.2,562.0,562.05,81
2024-04-29 10:58:00,562.05,563.55,562.05,563.05,1666
2024-04-29 10:59:00,563.05,563.75,563.05,563.05,289
2024-04-29 11:00:00,563.55,563.6,562.8,562.8,182
2024-04-29 11:01:00,563.35,563.35,562.8,562.9,104
2024-04-29 11:02:00,562.9,563.55,562.9,563.1,79
2024-04-29 11:03:00,563.1,563.65,563.0,563.25,272
2024-04-29 11:04:00,563.25,563.75,563.2,563.2,83
2024-04-29 11:05:00,563.2,563.75,563.2,563.2,133
2024-04-29 11:06:00,563.2,563.75,563.2,563.3,196
2024-04-29 11:07:00,563.3,563.65,562.1,562.5,2266
2024-04-29 11:08:00,562.1,562.55,562.0,562.1,196
2024-04-29 11:09:00,562.1,562.45,562.0,562.0,345
2024-04-29 11:10:00,562.0,562.55,562.0,562.0,68
2024-04-29 11:11:00,562.0,562.0,562.0,562.0,95
2024-04-29 11:12:00,562.0,562.55,562.0,562.0,96
2024-04-29 11:13:00,562.0,562.05,562.0,562.05,100
2024-04-29 11:14:00,562.05,562.05,562.0,562.0,112
2024-04-29 11:15:00,562.0,562.2,562.0,562.0,330
2024-04-29 11:16:00,562.0,562.15,562.0,562.05,83
2024-04-29 11:17:00,562.05,562.05,562.05,562.05,81
2024-04-29 11:18:00,562.15,562.5,562.15,562.2,105
2024-04-29 11:19:00,562.2,563.2,562.2,562.95,3512
2024-04-29 11:20:00,562.95,562.95,562.1,562.1,107
2024-04-29 11:21:00,562.8,562.8,562.0,562.1,147
2024-04-29 11:22:00,562.1,562.65,562.1,562.15,159
2024-04-29 11:23:00,562.65,562.65,562.1,562.1,101
2024-04-29 11:24:00,562.1,563.0,562.1,562.5,3206
2024-04-29 11:25:00,562.5,562.95,562.3,562.45,115
