date,open,high,low,close,volume
2024-04-29 09:15:00,659.7,662.0,654.05,655.3,557
2024-04-29 09:16:00,655.3,655.7,654.2,655.3,179
2024-04-29 09:17:00,655.25,655.25,653.25,654.0,578
2024-04-29 09:18:00,654.0,654.0,652.45,653.0,160
2024-04-29 09:19:00,653.0,655.65,651.8,655.3,1032
2024-04-29 09:20:00,654.1,654.45,651.5,652.7,2463
2024-04-29 09:21:00,652.7,653.55,651.95,652.7,314
2024-04-29 09:22:00,652.7,652.7,650.05,650.05,390
2024-04-29 09:23:00,650.05,650.8,649.0,649.85,1330
2024-04-29 09:24:00,649.85,649.85,646.55,646.55,1421
2024-04-29 09:25:00,646.55,647.8,646.05,646.2,818
2024-04-29 09:26:00,646.5,647.2,646.3,647.1,87
2024-04-29 09:27:00,647.1,647.1,645.3,646.0,1056
2024-04-29 09:28:00,646.0,646.8,645.3,646.75,158
2024-04-29 09:29:00,646.75,646.75,646.05,646.6,57
2024-04-29 09:30:00,646.6,647.25,646.5,646.8,594
2024-04-29 09:31:00,646.8,647.85,646.6,647.2,51
2024-04-29 09:32:00,647.2,647.2,647.2,647.2,199
2024-04-29 09:33:00,647.2,648.0,647.2,647.6,111
2024-04-29 09:34:00,647.8,647.8,646.5,646.5,345
2024-04-29 09:35:00,646.5,646.55,646.5,646.55,16
2024-04-29 09:36:00,646.55,646.55,646.5,646.5,4
2024-04-29 09:37:00,646.5,647.1,646.5,647.1,16
2024-04-29 09:38:00,646.5,647.1,646.1,646.1,215
2024-04-29 09:39:00,646.1,646.55,646.1,646.55,27
2024-04-29 09:40:00,646.55,646.55,643.4,643.4,2302
2024-04-29 09:41:00,644.4,646.35,643.5,645.5,397
2024-04-29 09:42:00,645.05,645.9,645.0,645.9,63
2024-04-29 09:43:00,645.9,645.9,645.0,645.75,175
2024-04-29 09:44:00,645.75,645.75,645.0,645.75,32
2024-04-29 09:45:00,645.75,645.8,644.35,645.6,475
2024-04-29 09:46:00,645.0,645.25,644.55,645.25,45
2024-04-29 09:47:00,645.25,645.25,644.7,645.25,52
2024-04-29 09:48:00,645.25,645.65,645.25,645.65,58
2024-04-29 09:49:00,645.65,645.65,645.0,645.0,1082
2024-04-29 09:50:00,644.6,644.75,643.1,643.35,712
2024-04-29 09:51:00,643.35,644.7,643.35,643.95,193
2024-04-29 09:52:00,643.95,645.1,643.95,644.8,86
2024-04-29 09:53:00,644.8,644.8,644.75,644.75,0
2024-04-29 09:54:00,644.75,644.75,644.0,644.75,14
2024-04-29 09:55:00,644.75,645.0,644.1,644.75,516
2024-04-29 09:56:00,644.75,644.75,644.05,644.1,49
2024-04-29 09:57:00,644.1,644.65,641.0,641.0,2046
2024-04-29 09:58:00,641.0,642.0,640.9,641.5,311
2024-04-29 09:59:00,640.7,642.8,640.7,641.55,463
2024-04-29 10:00:00,641.5,642.95,641.5,642.25,577
2024-04-29 10:01:00,642.25,643.3,642.25,642.3,37
2024-04-29 10:02:00,642.3,643.25,642.3,642.3,24
2024-04-29 10:03:00,642.3,642.4,642.3,642.35,121
2024-04-29 10:04:00,642.35,642.35,642.35,642.35,6
2024-04-29 10:05:00,642.35,642.35,642.05,642.05,353
2024-04-29 10:06:00,642.05,642.85,642.05,642.1,109
2024-04-29 10:07:00,642.1,642.8,642.1,642.1,21
2024-04-29 10:08:00,642.1,643.0,642.1,643.0,328
2024-04-29 10:09:00,643.0,643.2,642.15,642.15,19
2024-04-29 10:10:00,642.9,643.0,642.2,643.0,31
2024-04-29 10:11:00,642.5,642.5,642.5,642.5,9
2024-04-29 10:12:00,642.5,643.0,642.5,642.5,44
2024-04-29 10:13:00,642.5,643.0,642.5,642.5,48
2024-04-29 10:14:00,642.5,642.95,642.5,642.5,26
2024-04-29 10:15:00,642.5,642.95,640.7,640.7,208
2024-04-29 10:16:00,640.7,641.45,640.7,641.05,2160
2024-04-29 10:17:00,641.05,641.85,641.05,641.45,13
2024-04-29 10:18:00,641.45,641.9,641.3,641.3,275
2024-04-29 10:19:00,641.3,641.95,641.3,641.4,11
2024-04-29 10:20:00,641.4,641.95,640.05,640.1,793
2024-04-29 10:21:00,640.1,640.85,640.1,640.2,86
2024-04-29 10:22:00,640.2,641.0,640.2,641.0,199
2024-04-29 10:23:00,640.25,641.0,640.25,640.3,41
2024-04-29 10:24:00,640.3,641.0,640.3,640.9,122
2024-04-29 10:25:00,641.0,641.0,640.1,641.0,585
2024-04-29 10:26:00,640.2,641.0,640.15,640.15,239
2024-04-29 10:27:00,640.15,641.8,640.15,640.7,1452
2024-04-29 10:28:00,640.7,641.65,640.7,641.5,16
2024-04-29 10:29:00,641.5,641.5,640.8,640.8,24
2024-04-29 10:30:00,640.8,641.0,640.8,641.0,3
2024-04-29 10:31:00,641.0,641.4,641.0,641.25,23
2024-04-29 10:32:00,641.25,642.0,641.25,641.5,6
2024-04-29 10:33:00,642.35,642.7,642.0,642.0,90
2024-04-29 10:34:00,642.0,642.0,641.9,641.9,3
2024-04-29 10:35:00,641.6,641.9,641.05,641.05,4
2024-04-29 10:36:00,641.05,642.1,641.05,641.15,463
2024-04-29 10:37:00,641.15,642.0,641.15,641.5,65680
2024-04-29 10:38:00,642.0,642.2,641.5,641.6,24
2024-04-29 10:39:00,641.6,642.65,641.6,642.0,256
2024-04-29 10:40:00,642.75,645.3,642.75,645.1,15767
2024-04-29 10:41:00,645.1,645.95,644.7,644.7,649
2024-04-29 10:42:00,644.7,645.7,644.7,645.0,203
2024-04-29 10:43:00,645.0,645.2,644.3,644.45,289
2024-04-29 10:44:00,644.45,644.45,643.3,643.3,261
2024-04-29 10:45:00,643.3,643.95,642.95,642.95,263
2024-04-29 10:46:00,643.6,645.1,643.05,645.1,235
2024-04-29 10:47:00,644.35,644.4,644.35,644.4,90
2024-04-29 10:48:00,644.4,644.4,644.4,644.4,3
