date,open,high,low,close,volume
2024-04-29 09:15:00,183.9,183.9,183.0,183.2,3978
2024-04-29 09:16:00,183.5,183.65,183.2,183.4,3531
2024-04-29 09:17:00,183.45,183.5,183.2,183.5,10336
2024-04-29 09:18:00,183.4,184.2,183.4,184.0,20397
2024-04-29 09:19:00,184.1,184.1,183.4,183.4,12744
2024-04-29 09:20:00,183.4,183.4,183.05,183.05,3778
2024-04-29 09:21:00,183.2,183.4,183.05,183.05,4799
2024-04-29 09:22:00,182.9,182.95,182.35,182.35,8372
2024-04-29 09:23:00,182.3,182.55,182.1,182.4,5465
2024-04-29 09:24:00,182.4,182.45,182.15,182.3,606
2024-04-29 09:25:00,182.25,182.6,182.25,182.35,1590
2024-04-29 09:26:00,182.6,182.7,182.45,182.45,1916
2024-04-29 09:27:00,182.45,182.45,182.05,182.3,14048
2024-04-29 09:28:00,182.3,183.2,182.1,183.2,33451
2024-04-29 09:29:00,183.2,183.25,182.85,182.95,6093
2024-04-29 09:30:00,182.95,183.2,182.95,183.1,3537
2024-04-29 09:31:00,183.0,183.0,182.6,183.0,4797
2024-04-29 09:32:00,183.0,183.0,182.9,182.95,860
2024-04-29 09:33:00,182.95,183.1,182.8,182.9,1746
2024-04-29 09:34:00,182.9,182.9,182.6,182.8,1771
2024-04-29 09:35:00,182.8,182.95,182.8,182.9,1196
2024-04-29 09:36:00,182.9,182.9,182.65,182.7,411
2024-04-29 09:37:00,182.75,183.2,182.75,183.2,5250
2024-04-29 09:38:00,183.2,183.2,183.05,183.15,326
2024-04-29 09:39:00,183.15,183.3,183.05,183.3,1051
2024-04-29 09:40:00,183.25,183.5,183.2,183.2,3183
2024-04-29 09:41:00,183.4,183.4,182.95,183.2,5281
2024-04-29 09:42:00,183.2,183.2,183.05,183.05,5
2024-04-29 09:43:00,183.05,183.1,182.9,182.9,1182
2024-04-29 09:44:00,182.8,182.95,182.6,182.8,996
2024-04-29 09:45:00,182.8,182.8,182.6,182.6,1709
2024-04-29 09:46:00,182.65,182.65,182.5,182.65,949
2024-04-29 09:47:00,182.65,183.4,182.65,183.05,10323
2024-04-29 09:48:00,183.05,183.8,182.6,183.8,17316
2024-04-29 09:49:00,183.8,183.8,183.15,183.3,1993
2024-04-29 09:50:00,183.3,183.3,182.95,183.15,450
2024-04-29 09:51:00,183.15,183.15,182.9,183.05,549
2024-04-29 09:52:00,182.9,182.9,182.9,182.9,95
2024-04-29 09:53:00,182.8,182.9,182.8,182.9,313
2024-04-29 09:54:00,182.9,182.9,182.65,182.65,1270
2024-04-29 09:55:00,182.65,182.85,182.6,182.85,150
2024-04-29 09:56:00,182.85,182.85,182.75,182.85,705
2024-04-29 09:57:00,182.85,182.85,182.6,182.6,750
2024-04-29 09:58:00,182.6,182.6,182.4,182.4,3242
2024-04-29 09:59:00,182.4,182.55,182.3,182.55,752
2024-04-29 10:00:00,182.45,182.45,182.3,182.3,1210
2024-04-29 10:01:00,182.3,182.45,182.2,182.2,912
2024-04-29 10:02:00,182.2,182.55,182.2,182.55,57
2024-04-29 10:03:00,182.65,182.9,182.45,182.7,5390
2024-04-29 10:04:00,182.7,183.1,180.85,181.7,110552
2024-04-29 10:05:00,181.9,182.05,181.7,182.05,7619
2024-04-29 10:06:00,182.1,182.95,182.05,182.95,9351
2024-04-29 10:07:00,182.95,183.2,182.95,183.05,12246
2024-04-29 10:08:00,183.05,183.05,182.45,182.7,1143
2024-04-29 10:09:00,182.45,182.7,182.4,182.45,1956
2024-04-29 10:10:00,182.45,182.6,182.35,182.6,311
2024-04-29 10:11:00,182.6,182.7,182.35,182.35,814
2024-04-29 10:12:00,182.05,182.35,182.05,182.25,1820
2024-04-29 10:13:00,182.25,182.65,182.25,182.4,536
2024-04-29 10:14:00,182.4,182.45,182.05,182.45,2842
2024-04-29 10:15:00,182.45,182.5,182.3,182.5,217
2024-04-29 10:16:00,182.5,182.5,182.15,182.4,12
2024-04-29 10:17:00,182.4,182.4,182.25,182.25,171
2024-04-29 10:18:00,182.25,182.25,181.8,182.05,4192
2024-04-29 10:19:00,182.05,182.3,181.65,181.8,11068
2024-04-29 10:20:00,181.8,181.8,181.35,181.65,11154
2024-04-29 10:21:00,181.5,181.75,181.5,181.75,623
2024-04-29 10:22:00,181.75,181.95,181.7,181.95,682
2024-04-29 10:23:00,181.8,182.15,181.8,181.9,2516
2024-04-29 10:24:00,181.9,182.1,181.9,182.1,126
2024-04-29 10:25:00,182.1,182.1,181.9,182.0,35
2024-04-29 10:26:00,182.0,182.0,181.9,181.9,121
2024-04-29 10:27:00,181.9,182.0,181.85,182.0,541
2024-04-29 10:28:00,182.0,182.0,181.9,181.9,62
2024-04-29 10:29:00,181.9,181.9,181.75,181.75,196
2024-04-29 10:30:00,181.95,182.05,181.95,182.05,1046
2024-04-29 10:31:00,182.05,182.1,181.85,181.85,2406
2024-04-29 10:32:00,181.85,182.0,181.85,181.85,415
2024-04-29 10:33:00,181.8,181.85,181.7,181.85,593
2024-04-29 10:34:00,181.85,181.85,181.8,181.8,93
2024-04-29 10:35:00,181.8,181.95,181.8,181.8,324
2024-04-29 10:36:00,181.8,181.8,181.8,181.8,0
2024-04-29 10:37:00,181.8,182.0,181.8,181.8,1758
2024-04-29 10:38:00,181.8,182.1,181.8,182.1,107
2024-04-29 10:39:00,182.1,182.1,181.95,182.0,2183
2024-04-29 10:40:00,182.0,182.1,182.0,182.1,241
2024-04-29 10:41:00,182.2,182.65,182.2,182.25,9217
2024-04-29 10:42:00,182.25,182.25,182.25,182.25,0
2024-04-29 10:43:00,182.75,182.75,182.75,182.75,5000
2024-04-29 10:44:00,182.75,182.75,182.25,182.3,1151
2024-04-29 10:45:00,182.35,182.4,182.15,182.15,148
2024-04-29 10:46:00,182.15,182.45,182.15,182.2,294
2024-04-29 10:47:00,182.2,182.45,182.2,182.25,497
2024-04-29 10:48:00,182.25,182.5,182.25,182.25,675
2024-04-29 10:49:00,182.25,182.25,182.2,182.2,51
2024-04-29 10:50:00,182.2,182.25,182.2,182.25,251
2024-04-29 10:51:00,182.2,182.2,182.15,182.15,321
2024-04-29 10:52:00,182.15,182.35,182.15,182.35,245
2024-04-29 10:53:00,182.35,182.35,182.35,182.35,349
2024-04-29 10:54:00,182.35,182.45,182.3,182.3,760
2024-04-29 10:55:00,182.3,182.3,182.05,182.3,1610
2024-04-29 10:56:00,182.3,182.35,182.0,182.0,2183
2024-04-29 10:57:00,182.0,182.2,182.0,182.2,10
2024-04-29 10:58:00,182.2,182.2,181.85,181.85,11154
2024-04-29 10:59:00,181.85,182.2,181.8,182.15,5516
2024-04-29 11:00:00,182.15,182.2,182.15,182.2,14
2024-04-29 11:01:00,182.1,182.35,182.1,182.35,75
2024-04-29 11:02:00,182.35,182.35,182.15,182.35,535
2024-04-29 11:03:00,182.35,182.35,182.2,182.35,383
2024-04-29 11:04:00,182.35,182.35,182.1,182.1,656
2024-04-29 11:05:00,182.3,182.3,182.1,182.25,207
2024-04-29 11:06:00,182.25,182.25,182.2,182.2,332
2024-04-29 11:07:00,182.2,182.25,182.1,182.25,117
2024-04-29 11:08:00,182.25,182.25,182.25,182.25,989
2024-04-29 11:09:00,182.25,182.25,182.15,182.25,30
2024-04-29 11:10:00,182.25,182.25,182.15,182.2,593
2024-04-29 11:11:00,182.2,182.25,182.1,182.1,1441
2024-04-29 11:12:00,182.1,182.1,182.1,182.1,275
2024-04-29 11:13:00,182.1,182.1,182.1,182.1,1
2024-04-29 11:14:00,182.1,182.25,182.1,182.25,10
2024-04-29 11:15:00,182.25,182.25,182.25,182.25,0
2024-04-29 11:16:00,182.25,182.25,182.1,182.1,780
2024-04-29 11:17:00,182.1,182.25,182.1,182.25,159
2024-04-29 11:18:00,182.25,182.25,182.05,182.25,1502
2024-04-29 11:19:00,182.25,182.25,182.25,182.25,51
2024-04-29 11:20:00,182.25,182.25,182.25,182.25,1
2024-04-29 11:21:00,182.25,182.25,182.25,182.25,519
2024-04-29 11:22:00,182.25,182.25,182.15,182.15,524
2024-04-29 11:23:00,182.15,182.15,182.15,182.15,481
2024-04-29 11:24:00,182.15,182.15,182.05,182.05,140
2024-04-29 11:25:00,182.05,182.15,182.05,182.15,1140
2024-04-29 11:26:00,182.05,182.15,182.05,182.15,499
2024-04-29 11:27:00,182.15,182.15,182.05,182.05,362
2024-04-29 11:28:00,182.05,182.15,182.05,182.15,1
2024-04-29 11:29:00,182.15,182.25,182.05,182.05,562
2024-04-29 11:30:00,182.05,182.25,182.05,182.15,18
2024-04-29 11:31:00,182.15,182.15,182.05,182.05,121
2024-04-29 11:32:00,182.2,182.45,182.2,182.45,4991
2024-04-29 11:33:00,182.45,182.7,182.45,182.7,692
2024-04-29 11:34:00,182.7,182.7,182.7,182.7,1
2024-04-29 11:35:00,182.7,182.75,182.7,182.75,1656
2024-04-29 11:36:00,182.75,182.75,182.7,182.7,178
2024-04-29 11:37:00,182.7,182.75,182.7,182.7,378
2024-04-29 11:38:00,182.6,182.95,182.6,182.95,452
2024-04-29 11:39:00,182.95,182.95,182.7,182.8,1549
2024-04-29 11:40:00,182.8,182.95,182.8,182.85,2602
2024-04-29 11:41:00,182.85,183.0,182.75,182.75,317
2024-04-29 11:42:00,182.75,182.75,182.75,182.75,400
2024-04-29 11:43:00,182.75,183.0,182.75,182.75,642
2024-04-29 11:44:00,182.75,183.45,182.75,183.45,20326
2024-04-29 11:45:00,183.45,183.45,183.05,183.2,943
2024-04-29 11:46:00,183.2,183.25,183.05,183.2,5436
2024-04-29 11:47:00,183.2,183.2,182.95,182.95,1005
2024-04-29 11:48:00,182.95,183.15,182.95,182.95,54
2024-04-29 11:49:00,182.95,183.15,182.95,183.0,1501
2024-04-29 11:50:00,182.9,183.1,182.85,182.85,305
2024-04-29 11:51:00,182.85,182.85,182.7,182.85,72
2024-04-29 11:52:00,182.85,182.85,182.85,182.85,0
2024-04-29 11:53:00,182.85,182.85,182.5,182.5,5001
2024-04-29 11:54:00,182.5,182.5,182.5,182.5,35
2024-04-29 11:55:00,182.5,182.75,182.5,182.75,301
2024-04-29 11:56:00,182.75,182.95,182.6,182.6,2762
2024-04-29 11:57:00,182.6,182.95,182.6,182.95,1314
2024-04-29 11:58:00,182.95,182.95,182.65,182.65,402
2024-04-29 11:59:00,182.65,182.9,182.65,182.65,704
2024-04-29 12:00:00,182.65,182.9,182.65,182.9,452
2024-04-29 12:01:00,182.9,183.15,182.9,183.15,2611
2024-04-29 12:02:00,183.15,183.15,182.8,182.8,400
2024-04-29 12:03:00,182.95,183.05,182.75,182.75,3343
2024-04-29 12:04:00,182.75,182.95,182.75,182.9,146
2024-04-29 12:05:00,182.9,182.9,182.65,182.65,656
2024-04-29 12:06:00,182.65,182.9,182.6,182.65,233
2024-04-29 12:07:00,182.65,182.85,182.65,182.85,151
2024-04-29 12:08:00,182.85,182.85,182.6,182.6,194
2024-04-29 12:09:00,182.6,182.6,182.6,182.6,0
2024-04-29 12:10:00,182.6,182.9,182.6,182.9,15
2024-04-29 12:11:00,182.9,182.9,182.65,182.65,180
2024-04-29 12:12:00,182.65,182.7,182.65,182.7,4
2024-04-29 12:13:00,182.7,182.7,182.65,182.65,1675
2024-04-29 12:14:00,182.65,182.65,182.6,182.6,246
2024-04-29 12:15:00,182.6,182.7,182.45,182.55,1347
2024-04-29 12:16:00,182.55,182.6,182.45,182.6,128
2024-04-29 12:17:00,182.6,182.6,182.45,182.6,147
2024-04-29 12:18:00,182.6,182.6,182.6,182.6,0
2024-04-29 12:19:00,182.6,182.6,182.6,182.6,150
2024-04-29 12:20:00,182.45,182.6,182.45,182.6,232
2024-04-29 12:21:00,182.6,182.6,182.3,182.55,2850
2024-04-29 12:22:00,182.55,182.55,182.5,182.5,101
2024-04-29 12:23:00,182.5,182.55,182.5,182.55,404
2024-04-29 12:24:00,182.55,182.55,182.3,182.3,2483
2024-04-29 12:25:00,182.3,182.45,182.25,182.3,156
2024-04-29 12:26:00,182.3,182.3,182.15,182.15,823
2024-04-29 12:27:00,182.15,182.4,182.15,182.4,202
2024-04-29 12:28:00,182.4,182.4,182.4,182.4,7
2024-04-29 12:29:00,182.4,182.45,182.2,182.2,3300
2024-04-29 12:30:00,182.2,182.45,182.2,182.45,111
2024-04-29 12:31:00,182.45,182.5,182.45,182.45,753
2024-04-29 12:32:00,182.15,182.45,182.15,182.45,251
2024-04-29 12:33:00,182.45,182.5,182.2,182.45,264
2024-04-29 12:34:00,182.45,182.45,182.1,182.1,1065
2024-04-29 12:35:00,182.1,182.4,182.05,182.05,1211
2024-04-29 12:36:00,182.05,182.3,182.05,182.3,187
2024-04-29 12:37:00,182.3,182.3,182.05,182.3,435
2024-04-29 12:38:00,182.3,182.3,182.25,182.25,14
2024-04-29 12:39:00,182.25,182.25,182.25,182.25,481
2024-04-29 12:40:00,182.25,182.25,182.2,182.2,500
2024-04-29 12:41:00,182.2,182.2,182.2,182.2,100
2024-04-29 12:42:00,182.2,182.2,182.0,182.15,10488
2024-04-29 12:43:00,182.15,182.2,182.15,182.2,200
2024-04-29 12:44:00,182.2,182.2,181.95,182.0,1488
2024-04-29 12:45:00,182.0,182.0,181.8,181.8,789
2024-04-29 12:46:00,181.8,182.0,181.8,182.0,28
2024-04-29 12:47:00,182.0,182.0,182.0,182.0,129
2024-04-29 12:48:00,182.0,182.0,181.8,181.8,431
2024-04-29 12:49:00,181.8,181.95,181.8,181.95,17
2024-04-29 12:50:00,181.85,181.85,181.8,181.85,424
2024-04-29 12:51:00,181.8,181.85,181.7,181.7,476
2024-04-29 12:52:00,181.7,181.75,181.65,181.75,41
2024-04-29 12:53:00,181.75,181.85,181.6,181.85,1389
2024-04-29 12:54:00,181.85,181.85,181.7,181.8,61
2024-04-29 12:55:00,181.8,181.8,181.6,181.6,910
2024-04-29 12:56:00,181.6,181.6,181.55,181.55,100
2024-04-29 12:57:00,181.55,181.8,181.55,181.6,1784
2024-04-29 12:58:00,181.6,181.8,181.6,181.8,40
2024-04-29 12:59:00,181.8,181.8,181.8,181.8,0
2024-04-29 13:00:00,181.8,181.85,181.8,181.85,35
2024-04-29 13:01:00,181.85,181.9,181.85,181.9,1022
2024-04-29 13:02:00,181.9,181.9,181.9,181.9,4
2024-04-29 13:03:00,181.9,181.9,181.65,181.9,564
2024-04-29 13:04:00,181.9,181.9,181.9,181.9,0
2024-04-29 13:05:00,181.9,182.0,181.65,182.0,3154
2024-04-29 13:06:00,181.9,181.9,181.9,181.9,146
2024-04-29 13:07:00,181.9,181.9,181.9,181.9,500
2024-04-29 13:08:00,181.9,182.0,181.9,182.0,0
2024-04-29 13:09:00,182.0,182.0,182.0,182.0,14
2024-04-29 13:10:00,182.0,182.0,181.9,181.9,1674
2024-04-29 13:11:00,181.9,182.0,181.9,182.0,2
2024-04-29 13:12:00,182.0,182.0,181.85,181.85,1191
2024-04-29 13:13:00,181.85,182.2,181.85,181.95,5050
2024-04-29 13:14:00,181.95,182.2,181.95,182.2,23
2024-04-29 13:15:00,182.25,182.25,182.0,182.0,67
2024-04-29 13:16:00,182.0,182.05,182.0,182.05,51
2024-04-29 13:17:00,182.05,182.05,181.95,181.95,602
2024-04-29 13:18:00,181.95,182.15,181.95,182.15,150
2024-04-29 13:19:00,182.15,182.15,181.9,181.9,200
2024-04-29 13:20:00,181.9,182.65,181.9,182.65,7694
2024-04-29 13:21:00,182.65,182.7,182.6,182.7,121
2024-04-29 13:22:00,183.0,183.0,182.65,182.75,1910
2024-04-29 13:23:00,182.95,182.95,182.8,182.95,473
2024-04-29 13:24:00,182.95,182.95,182.65,182.65,256
2024-04-29 13:25:00,182.65,182.65,182.65,182.65,4884
2024-04-29 13:26:00,182.65,182.9,182.6,182.6,815
2024-04-29 13:27:00,182.6,182.6,182.6,182.6,125
2024-04-29 13:28:00,182.6,182.65,182.6,182.6,725
2024-04-29 13:29:00,182.6,182.6,182.2,182.45,1065
2024-04-29 13:30:00,182.45,182.45,182.25,182.25,10
2024-04-29 13:31:00,182.25,182.55,182.25,182.4,147
2024-04-29 13:32:00,182.4,182.5,182.4,182.5,283
2024-04-29 13:33:00,182.5,182.5,182.35,182.35,97
2024-04-29 13:34:00,182.35,182.35,182.3,182.3,0
2024-04-29 13:35:00,182.3,182.4,182.25,182.4,647
2024-04-29 13:36:00,182.4,182.4,182.05,182.05,28
2024-04-29 13:37:00,182.05,182.05,182.05,182.05,1800
2024-04-29 13:38:00,182.05,182.35,182.05,182.35,35
2024-04-29 13:39:00,182.35,182.35,182.35,182.35,1
2024-04-29 13:40:00,182.35,182.4,182.05,182.05,2787
2024-04-29 13:41:00,182.05,182.3,182.05,182.3,50
2024-04-29 13:42:00,182.3,182.35,182.1,182.1,1410
2024-04-29 13:43:00,182.1,182.1,182.1,182.1,0
2024-04-29 13:44:00,182.1,182.35,182.1,182.35,338
2024-04-29 13:45:00,182.35,182.4,182.15,182.4,88
2024-04-29 13:46:00,182.15,182.3,182.05,182.1,506
2024-04-29 13:47:00,182.1,182.1,182.1,182.1,0
2024-04-29 13:48:00,182.1,182.25,182.1,182.25,200
2024-04-29 13:49:00,182.25,182.25,182.1,182.25,310
2024-04-29 13:50:00,182.25,182.25,182.25,182.25,300
2024-04-29 13:51:00,182.25,182.25,181.9,182.25,3174
2024-04-29 13:52:00,182.25,182.25,181.95,182.0,745
2024-04-29 13:53:00,182.0,182.0,182.0,182.0,1100
2024-04-29 13:54:00,182.0,182.15,182.0,182.15,402
2024-04-29 13:55:00,182.0,182.35,182.0,182.35,1526
2024-04-29 13:56:00,182.35,182.35,182.15,182.15,120
2024-04-29 13:57:00,182.15,182.15,182.0,182.0,1528
2024-04-29 13:58:00,181.9,182.2,181.9,182.2,400
2024-04-29 13:59:00,182.05,182.2,181.95,182.05,2118
2024-04-29 14:00:00,182.05,182.3,182.05,182.3,808
2024-04-29 14:01:00,182.3,182.3,182.3,182.3,0
2024-04-29 14:02:00,182.05,182.2,182.05,182.05,3077
2024-04-29 14:03:00,182.05,182.05,181.9,181.9,28
2024-04-29 14:04:00,181.9,181.9,181.9,181.9,1560
2024-04-29 14:05:00,181.9,182.15,181.9,182.15,328
2024-04-29 14:06:00,182.0,182.0,181.9,181.9,77
2024-04-29 14:07:00,181.9,182.2,181.9,182.2,1023
2024-04-29 14:08:00,182.2,182.2,182.05,182.05,1101
2024-04-29 14:09:00,182.0,182.0,182.0,182.0,100
2024-04-29 14:10:00,182.05,182.05,181.95,181.95,1120
2024-04-29 14:11:00,181.95,182.0,181.95,181.95,375
2024-04-29 14:12:00,181.95,181.95,181.95,181.95,972
2024-04-29 14:13:00,181.9,181.95,181.9,181.95,260
2024-04-29 14:14:00,181.95,181.95,181.9,181.95,3214
2024-04-29 14:15:00,181.95,181.95,181.8,181.8,21
2024-04-29 14:16:00,181.95,182.0,181.95,182.0,576
2024-04-29 14:17:00,182.0,182.0,181.7,181.7,723
2024-04-29 14:18:00,181.7,181.95,181.65,181.7,1429
2024-04-29 14:19:00,181.7,181.7,181.55,181.6,3001
2024-04-29 14:20:00,181.6,181.95,181.6,181.65,2841
2024-04-29 14:21:00,181.65,181.65,181.65,181.65,3
2024-04-29 14:22:00,181.65,181.95,181.65,181.95,200
2024-04-29 14:23:00,181.95,182.0,181.95,182.0,1100
2024-04-29 14:24:00,182.0,182.0,181.95,181.95,55
2024-04-29 14:25:00,181.95,181.95,181.6,181.8,1376
2024-04-29 14:26:00,181.85,181.85,181.55,181.55,825
2024-04-29 14:27:00,181.55,181.8,181.55,181.55,129
2024-04-29 14:28:00,181.55,181.55,181.55,181.55,100
2024-04-29 14:29:00,181.55,181.75,181.55,181.55,452
2024-04-29 14:30:00,181.55,181.75,181.55,181.55,146
2024-04-29 14:31:00,181.55,181.75,181.55,181.55,518
2024-04-29 14:32:00,181.55,181.75,181.55,181.75,2
2024-04-29 14:33:00,181.75,181.75,181.55,181.75,106
2024-04-29 14:34:00,181.75,181.75,181.6,181.6,520
2024-04-29 14:35:00,181.6,181.75,181.6,181.75,203
2024-04-29 14:36:00,181.75,181.75,181.55,181.6,419
2024-04-29 14:37:00,181.6,181.75,181.6,181.75,106
2024-04-29 14:38:00,181.6,181.8,181.6,181.8,3735
2024-04-29 14:39:00,181.8,182.0,181.8,181.85,211
2024-04-29 14:40:00,181.85,182.0,181.85,182.0,11
2024-04-29 14:41:00,182.0,182.0,181.85,181.9,283
2024-04-29 14:42:00,181.9,181.9,181.8,181.8,4
2024-04-29 14:43:00,181.8,181.8,181.8,181.8,320
2024-04-29 14:44:00,181.8,181.85,181.7,181.7,502
2024-04-29 14:45:00,181.7,181.9,181.65,181.8,1379
2024-04-29 14:46:00,181.8,181.85,181.8,181.85,160
2024-04-29 14:47:00,181.85,181.85,181.65,181.85,405
2024-04-29 14:48:00,181.85,181.85,181.85,181.85,500
2024-04-29 14:49:00,181.85,181.85,181.65,181.65,275
2024-04-29 14:50:00,181.65,181.75,181.65,181.75,70
2024-04-29 14:51:00,181.75,181.95,181.75,181.9,1146
2024-04-29 14:52:00,181.95,181.95,181.35,181.35,10484
2024-04-29 14:53:00,181.35,181.65,181.35,181.65,320
2024-04-29 14:54:00,181.65,181.65,181.35,181.6,740
2024-04-29 14:55:00,181.6,181.6,181.35,181.6,126
2024-04-29 14:56:00,181.35,181.65,181.35,181.65,870
2024-04-29 14:57:00,181.65,181.7,181.4,181.4,986
2024-04-29 14:58:00,181.6,181.6,181.35,181.55,771
2024-04-29 14:59:00,181.55,181.6,181.4,181.5,1122
2024-04-29 15:00:00,181.5,181.65,181.35,181.5,1605
2024-04-29 15:01:00,181.4,181.65,181.4,181.65,579
2024-04-29 15:02:00,181.6,181.6,181.35,181.5,1651
2024-04-29 15:03:00,181.5,181.5,181.25,181.25,2519
2024-04-29 15:04:00,181.25,181.4,181.25,181.4,550
2024-04-29 15:05:00,181.4,181.45,181.25,181.45,543
2024-04-29 15:06:00,181.45,181.45,181.25,181.25,721
2024-04-29 15:07:00,181.25,181.5,181.25,181.5,300
2024-04-29 15:08:00,181.5,181.5,181.4,181.4,1230
2024-04-29 15:09:00,181.4,181.5,181.4,181.5,813
2024-04-29 15:10:00,181.6,181.85,181.55,181.55,5885
2024-04-29 15:11:00,181.6,181.6,181.6,181.6,186
2024-04-29 15:12:00,181.6,181.6,181.5,181.6,540
2024-04-29 15:13:00,181.6,181.6,181.45,181.6,321
2024-04-29 15:14:00,181.6,181.6,181.3,181.6,2978
2024-04-29 15:15:00,181.6,181.7,181.55,181.55,718
2024-04-29 15:16:00,181.55,181.65,181.25,181.25,4829
2024-04-29 15:17:00,181.25,181.45,181.25,181.4,532
2024-04-29 15:18:00,181.3,181.4,181.2,181.2,3584
2024-04-29 15:19:00,181.2,181.25,181.15,181.25,1587
2024-04-29 15:20:00,181.25,181.25,181.0,181.1,11389
2024-04-29 15:21:00,181.15,181.15,180.9,181.1,4080
2024-04-29 15:22:00,181.1,181.1,181.05,181.1,1212
2024-04-29 15:23:00,181.1,181.1,181.0,181.1,370
2024-04-29 15:24:00,181.05,181.2,181.05,181.15,6942
2024-04-29 15:25:00,181.15,181.2,181.15,181.15,1931
2024-04-29 15:26:00,181.15,181.2,181.0,181.0,1575
2024-04-29 15:27:00,181.0,181.1,181.0,181.0,2290
2024-04-29 15:28:00,181.0,181.2,181.0,181.2,3175
2024-04-29 15:29:00,181.2,181.45,181.1,181.15,5104
2024-04-30 09:15:00,182.0,182.0,181.5,181.95,1716
2024-04-30 09:16:00,181.9,182.15,181.05,181.1,26758
2024-04-30 09:17:00,181.3,181.45,181.1,181.45,2156
2024-04-30 09:18:00,181.45,181.45,180.95,181.0,8586
2024-04-30 09:19:00,181.0,181.0,180.95,181.0,6652
2024-04-30 09:20:00,181.0,181.2,180.7,180.75,2051
2024-04-30 09:21:00,180.15,180.65,180.15,180.4,5766
2024-04-30 09:22:00,180.4,180.4,179.8,180.0,18652
2024-04-30 09:23:00,180.25,180.35,179.95,180.0,29398
2024-04-30 09:24:00,180.0,180.4,180.0,180.4,3268
2024-04-30 09:25:00,180.4,180.4,180.15,180.3,4315
2024-04-30 09:26:00,180.15,180.4,179.95,179.95,11100
2024-04-30 09:27:00,179.95,180.2,179.8,180.05,4041
2024-04-30 09:28:00,180.05,180.25,180.0,180.1,993
2024-04-30 09:29:00,180.3,180.4,180.1,180.25,947
2024-04-30 09:30:00,180.4,180.5,180.25,180.3,1943
2024-04-30 09:31:00,180.3,180.45,180.3,180.3,346
2024-04-30 09:32:00,180.3,180.45,180.3,180.3,107
2024-04-30 09:33:00,180.3,180.45,180.2,180.2,7826
2024-04-30 09:34:00,180.2,180.45,180.2,180.45,442
2024-04-30 09:35:00,180.3,180.5,180.25,180.5,1230
2024-04-30 09:36:00,180.5,180.5,180.35,180.35,233
