date,open,high,low,close,volume
2024-04-29 09:15:00,390.15,391.9,389.25,390.6,286035
2024-04-29 09:16:00,390.85,391.2,390.2,390.2,174277
2024-04-29 09:17:00,390.2,390.35,388.0,388.0,212336
2024-04-29 09:18:00,388.0,388.35,386.9,387.7,181618
2024-04-29 09:19:00,387.5,390.4,387.45,390.1,110953
2024-04-29 09:20:00,390.1,390.55,389.6,390.45,109971
2024-04-29 09:21:00,390.4,392.5,390.4,391.85,181149
2024-04-29 09:22:00,391.95,393.35,391.7,392.4,172365
2024-04-29 09:23:00,392.3,392.4,391.25,391.25,97157
2024-04-29 09:24:00,391.15,391.5,390.65,391.5,58141
2024-04-29 09:25:00,391.5,391.9,391.1,391.3,117454
2024-04-29 09:26:00,391.3,391.9,391.3,391.8,32061
2024-04-29 09:27:00,391.7,392.0,391.7,391.9,89866
2024-04-29 09:28:00,392.1,392.2,392.0,392.2,68276
2024-04-29 09:29:00,392.2,392.85,392.2,392.35,64285
2024-04-29 09:30:00,392.45,392.65,391.6,391.9,60335
2024-04-29 09:31:00,391.7,391.9,390.75,390.75,96833
2024-04-29 09:32:00,390.9,392.65,390.55,392.65,107215
2024-04-29 09:33:00,392.7,393.2,391.2,391.25,103939
2024-04-29 09:34:00,391.1,391.95,391.05,391.5,35071
2024-04-29 09:35:00,391.6,391.9,391.4,391.75,58939
2024-04-29 09:36:00,391.7,391.75,390.35,390.65,71793
2024-04-29 09:37:00,390.7,391.0,390.4,390.7,40325
2024-04-29 09:38:00,390.7,391.45,390.55,390.8,38734
2024-04-29 09:39:00,390.7,391.1,390.65,390.8,25141
2024-04-29 09:40:00,390.75,391.4,390.7,391.35,24001
2024-04-29 09:41:00,391.15,391.7,391.0,391.7,23410
2024-04-29 09:42:00,391.75,391.75,391.0,391.4,23307
2024-04-29 09:43:00,391.15,391.35,390.0,390.0,54148
2024-04-29 09:44:00,390.1,390.5,390.0,390.4,26500
2024-04-29 09:45:00,390.45,390.95,390.05,390.05,44194
2024-04-29 09:46:00,390.2,390.2,389.4,389.7,81636
2024-04-29 09:47:00,389.9,391.1,389.65,390.35,50608
2024-04-29 09:48:00,390.45,390.45,389.2,389.25,61152
2024-04-29 09:49:00,389.15,389.75,389.15,389.5,38805
2024-04-29 09:50:00,389.5,389.5,388.95,388.95,89104
2024-04-29 09:51:00,389.1,389.4,388.55,388.95,43888
2024-04-29 09:52:00,388.95,389.35,388.95,389.25,32600
2024-04-29 09:53:00,389.2,390.0,389.2,390.0,43371
2024-04-29 09:54:00,389.95,390.2,389.1,389.1,16724
2024-04-29 09:55:00,389.1,390.0,389.1,389.8,50015
2024-04-29 09:56:00,389.8,389.8,389.0,389.2,25308
2024-04-29 09:57:00,389.15,389.3,389.15,389.25,14433
2024-04-29 09:58:00,389.25,389.25,388.55,388.55,34739
2024-04-29 09:59:00,388.65,388.75,388.6,388.65,17539
2024-04-29 10:00:00,388.65,389.1,388.65,389.1,17954
2024-04-29 10:01:00,389.1,389.3,388.65,388.95,38090
2024-04-29 10:02:00,388.95,389.95,388.95,389.9,42367
2024-04-29 10:03:00,389.9,390.45,389.8,390.2,38094
2024-04-29 10:04:00,390.2,390.25,389.7,389.9,12629
2024-04-29 10:05:00,389.9,390.1,389.5,389.95,15197
2024-04-29 10:06:00,390.0,390.0,389.55,389.55,13246
2024-04-29 10:07:00,389.55,389.65,389.3,389.4,13134
2024-04-29 10:08:00,389.35,389.7,389.35,389.6,5412
2024-04-29 10:09:00,389.7,389.85,389.25,389.35,22232
2024-04-29 10:10:00,389.35,389.65,389.25,389.4,11587
2024-04-29 10:11:00,389.4,389.75,389.3,389.55,15500
2024-04-29 10:12:00,389.55,389.7,389.4,389.4,12483
2024-04-29 10:13:00,389.4,389.7,389.25,389.55,15497
2024-04-29 10:14:00,389.5,389.55,389.1,389.25,7940
2024-04-29 10:15:00,389.25,389.45,389.0,389.1,13725
2024-04-29 10:16:00,389.1,389.95,389.05,389.95,12821
2024-04-29 10:17:00,389.95,389.95,389.5,389.65,7643
2024-04-29 10:18:00,389.65,389.65,389.15,389.25,10197
2024-04-29 10:19:00,389.15,389.3,388.85,389.0,21854
2024-04-29 10:20:00,389.1,389.15,388.8,389.05,16954
2024-04-29 10:21:00,389.05,389.65,389.05,389.6,13078
2024-04-29 10:22:00,389.5,389.5,389.1,389.15,5214
2024-04-29 10:23:00,389.25,389.5,389.15,389.4,7819
2024-04-29 10:24:00,389.4,389.5,389.15,389.3,8338
2024-04-29 10:25:00,389.3,389.3,389.0,389.05,9659
2024-04-29 10:26:00,389.05,389.35,389.0,389.35,10870
2024-04-29 10:27:00,389.35,389.7,389.3,389.7,8259
2024-04-29 10:28:00,389.7,389.9,389.65,389.75,12991
2024-04-29 10:29:00,389.85,389.9,389.7,389.8,7496
2024-04-29 10:30:00,389.85,390.0,389.65,390.0,22193
2024-04-29 10:31:00,390.0,390.1,389.5,389.95,22371
