date,open,high,low,close,volume
2024-04-29 09:15:00,718.0,718.0,704.55,707.55,1632
2024-04-29 09:16:00,707.55,707.55,705.55,707.0,303
2024-04-29 09:17:00,707.0,707.0,702.95,704.25,105272
2024-04-29 09:18:00,704.25,707.0,704.25,706.85,1813
2024-04-29 09:19:00,706.85,709.1,706.85,708.5,347
2024-04-29 09:20:00,708.5,709.9,708.25,708.75,786
2024-04-29 09:21:00,709.35,709.9,708.15,709.45,907
2024-04-29 09:22:00,709.45,709.45,706.1,706.1,1725
2024-04-29 09:23:00,707.05,707.05,705.6,705.6,296
2024-04-29 09:24:00,705.0,705.95,703.7,703.7,910
2024-04-29 09:25:00,703.35,704.0,700.9,701.3,1858
2024-04-29 09:26:00,701.3,702.2,700.7,702.2,1026
2024-04-29 09:27:00,702.2,702.2,699.55,700.1,762
2024-04-29 09:28:00,700.1,700.85,699.1,699.1,573
2024-04-29 09:29:00,699.1,699.1,698.0,698.05,390
2024-04-29 09:30:00,698.7,698.7,697.2,697.7,261
2024-04-29 09:31:00,697.7,697.7,696.8,696.8,1
2024-04-29 09:32:00,696.8,700.5,696.8,700.5,1012
2024-04-29 09:33:00,700.5,701.1,699.75,699.75,149
2024-04-29 09:34:00,699.75,701.05,699.75,700.0,201
2024-04-29 09:35:00,700.0,700.25,698.2,699.95,317
2024-04-29 09:36:00,699.95,700.65,697.65,698.75,288
2024-04-29 09:37:00,698.75,698.75,698.05,698.05,13
2024-04-29 09:38:00,698.75,699.75,698.75,699.75,22
2024-04-29 09:39:00,698.75,700.85,698.75,700.45,554
2024-04-29 09:40:00,700.45,700.7,699.3,700.7,409
2024-04-29 09:41:00,700.7,701.25,699.9,701.25,39
2024-04-29 09:42:00,701.25,701.55,701.0,701.0,119
2024-04-29 09:43:00,701.0,701.5,700.2,700.85,322
2024-04-29 09:44:00,700.85,700.85,700.85,700.85,16
2024-04-29 09:45:00,700.85,700.85,700.85,700.85,0
2024-04-29 09:46:00,700.85,701.5,696.55,701.5,1679
2024-04-29 09:47:00,701.5,706.75,701.5,706.75,1981
2024-04-29 09:48:00,705.95,710.0,705.95,710.0,1837
2024-04-29 09:49:00,710.0,710.0,707.25,708.45,639
2024-04-29 09:50:00,708.45,708.8,706.55,707.65,72
2024-04-29 09:51:00,707.65,708.0,706.45,707.9,339
2024-04-29 09:52:00,707.9,708.0,706.5,706.8,153
2024-04-29 09:53:00,706.8,708.0,706.8,707.15,60
2024-04-29 09:54:00,707.8,709.55,707.8,708.4,2202
2024-04-29 09:55:00,708.4,712.5,708.4,709.85,3756
2024-04-29 09:56:00,709.85,711.2,707.6,710.4,1344
2024-04-29 09:57:00,709.1,709.95,707.0,707.6,438
2024-04-29 09:58:00,707.5,710.95,707.05,710.2,2350
2024-04-29 09:59:00,710.2,710.2,709.0,709.0,8
2024-04-29 10:00:00,709.0,710.7,709.0,709.6,285
2024-04-29 10:01:00,709.6,709.6,707.3,709.0,214
2024-04-29 10:02:00,709.0,709.0,707.7,708.8,96
2024-04-29 10:03:00,708.8,708.8,707.8,708.8,25
2024-04-29 10:04:00,708.8,708.8,707.7,707.7,24
2024-04-29 10:05:00,707.7,708.4,707.35,707.35,37
2024-04-29 10:06:00,707.35,707.35,707.0,707.0,44
2024-04-29 10:07:00,707.0,707.0,706.05,706.05,24
2024-04-29 10:08:00,706.05,706.95,706.05,706.95,120
2024-04-29 10:09:00,706.95,706.95,705.55,706.05,381
2024-04-29 10:10:00,706.05,706.1,705.25,706.1,90
2024-04-29 10:11:00,706.1,706.1,703.5,703.95,407
2024-04-29 10:12:00,703.95,703.95,703.95,703.95,87
2024-04-29 10:13:00,703.95,703.95,703.35,703.35,41
2024-04-29 10:14:00,703.35,705.25,703.35,705.2,195
2024-04-29 10:15:00,705.2,705.2,704.0,705.05,72
2024-04-29 10:16:00,705.05,707.0,705.05,707.0,1280
2024-04-29 10:17:00,707.0,707.05,706.5,706.75,463
2024-04-29 10:18:00,706.75,707.3,706.5,707.3,139
2024-04-29 10:19:00,707.3,707.7,707.3,707.55,7
2024-04-29 10:20:00,707.55,710.0,707.55,710.0,635
2024-04-29 10:21:00,710.0,710.0,708.95,709.75,130
2024-04-29 10:22:00,708.95,709.95,708.95,709.95,76
2024-04-29 10:23:00,709.95,710.0,709.95,710.0,70
2024-04-29 10:24:00,708.55,711.95,708.55,711.95,1949
2024-04-29 10:25:00,711.95,711.95,710.95,710.95,2
2024-04-29 10:26:00,710.95,711.95,710.85,711.95,67
2024-04-29 10:27:00,711.95,712.5,710.75,711.3,524
2024-04-29 10:28:00,711.3,712.45,710.15,711.55,562
2024-04-29 10:29:00,711.55,712.25,710.85,711.0,121
2024-04-29 10:30:00,711.0,711.95,710.95,711.95,343
