date,open,high,low,close,volume
2024-04-29 09:15:00,549.2,550.65,548.0,550.65,2411
2024-04-29 09:16:00,550.65,551.5,550.05,550.35,848
2024-04-29 09:17:00,550.85,551.45,550.85,551.0,1111
2024-04-29 09:18:00,551.0,552.85,550.5,552.85,2745
2024-04-29 09:19:00,552.8,553.15,551.4,552.35,2893
2024-04-29 09:20:00,552.4,552.6,551.3,552.6,1397
2024-04-29 09:21:00,552.1,553.5,552.1,552.8,5258
2024-04-29 09:22:00,552.0,552.5,552.0,552.0,2438
2024-04-29 09:23:00,551.1,551.95,551.05,551.1,1069
2024-04-29 09:24:00,551.05,552.2,551.05,552.1,200
2024-04-29 09:25:00,552.1,553.1,551.85,552.15,1248
2024-04-29 09:26:00,552.15,553.0,552.05,553.0,306
2024-04-29 09:27:00,552.5,555.0,552.5,555.0,2848
2024-04-29 09:28:00,555.0,556.95,555.0,556.45,4004
2024-04-29 09:29:00,556.5,557.95,556.3,557.95,7325
2024-04-29 09:30:00,557.5,557.95,556.2,556.55,3277
2024-04-29 09:31:00,556.55,557.8,556.45,557.5,4354
2024-04-29 09:32:00,557.25,558.7,557.2,558.25,5694
2024-04-29 09:33:00,558.85,559.0,557.3,558.2,3423
2024-04-29 09:34:00,558.2,558.95,558.05,558.25,1476
2024-04-29 09:35:00,558.25,559.5,558.05,559.5,3269
2024-04-29 09:36:00,559.5,559.85,558.95,559.5,5021
2024-04-29 09:37:00,559.5,561.05,559.05,560.95,18041
2024-04-29 09:38:00,560.95,564.5,560.0,564.05,30129
2024-04-29 09:39:00,563.75,564.6,562.85,563.6,23642
2024-04-29 09:40:00,563.65,566.5,563.05,565.45,39017
2024-04-29 09:41:00,565.45,566.45,564.3,566.3,15025
2024-04-29 09:42:00,566.3,566.9,563.75,563.95,22717
2024-04-29 09:43:00,564.0,565.0,561.3,562.4,9148
2024-04-29 09:44:00,562.5,563.0,561.05,562.65,11254
2024-04-29 09:45:00,562.65,562.95,560.4,560.4,5360
2024-04-29 09:46:00,560.1,560.9,557.0,559.15,22700
2024-04-29 09:47:00,559.65,559.9,558.0,559.75,5510
