date,open,high,low,close,volume
2024-04-29 09:15:00,891.8,891.95,883.95,887.15,6345
2024-04-29 09:16:00,888.25,889.9,885.0,886.1,1743
2024-04-29 09:17:00,885.05,886.9,883.2,885.0,4074
2024-04-29 09:18:00,884.0,888.8,883.85,888.8,1428
2024-04-29 09:19:00,888.8,892.85,887.0,891.6,2231
2024-04-29 09:20:00,892.6,892.6,888.35,890.65,739
2024-04-29 09:21:00,888.8,889.75,887.1,889.45,1451
2024-04-29 09:22:00,887.35,890.0,887.35,888.1,972
2024-04-29 09:23:00,889.8,889.85,887.0,887.45,1412
2024-04-29 09:24:00,887.45,889.0,887.45,887.45,329
2024-04-29 09:25:00,887.4,888.2,885.2,885.2,641
2024-04-29 09:26:00,885.2,887.05,884.05,884.05,825
2024-04-29 09:27:00,884.05,886.0,884.05,885.0,367
2024-04-29 09:28:00,885.0,886.5,884.85,885.05,336
2024-04-29 09:29:00,885.05,885.7,884.0,884.05,1028
2024-04-29 09:30:00,883.05,884.9,881.55,882.7,937
2024-04-29 09:31:00,882.7,882.7,882.2,882.3,113
2024-04-29 09:32:00,883.0,883.5,880.1,882.7,1191
2024-04-29 09:33:00,882.7,882.7,881.85,881.85,118
2024-04-29 09:34:00,881.85,884.5,881.85,884.35,519
2024-04-29 09:35:00,884.35,885.0,884.35,885.0,83
2024-04-29 09:36:00,883.8,884.75,883.8,884.75,34
2024-04-29 09:37:00,884.0,885.0,884.0,884.9,91
2024-04-29 09:38:00,884.9,884.9,882.3,883.55,426
2024-04-29 09:39:00,883.55,884.0,881.85,881.85,109
2024-04-29 09:40:00,882.2,883.0,882.15,882.15,48
2024-04-29 09:41:00,882.15,882.2,881.35,881.35,34
2024-04-29 09:42:00,881.35,881.35,880.95,880.95,204
2024-04-29 09:43:00,880.95,880.95,878.0,878.25,1260
2024-04-29 09:44:00,877.65,879.05,876.0,876.8,2194
2024-04-29 09:45:00,878.85,879.9,876.05,878.55,273
2024-04-29 09:46:00,878.55,879.05,877.95,878.0,601
2024-04-29 09:47:00,878.0,879.25,878.0,878.0,331
2024-04-29 09:48:00,878.0,878.05,878.0,878.05,60
2024-04-29 09:49:00,878.05,878.9,878.05,878.9,22
2024-04-29 09:50:00,878.9,878.9,878.2,878.2,81
2024-04-29 09:51:00,878.2,879.2,877.95,879.2,846
2024-04-29 09:52:00,878.85,880.7,878.85,879.6,365
2024-04-29 09:53:00,879.6,879.9,878.75,879.6,128
2024-04-29 09:54:00,880.0,880.6,880.0,880.6,244
2024-04-29 09:55:00,879.35,880.55,879.35,879.7,228
2024-04-29 09:56:00,879.7,879.7,878.5,878.5,186
2024-04-29 09:57:00,878.5,878.9,878.2,878.9,137
2024-04-29 09:58:00,878.9,878.9,877.0,877.0,28
2024-04-29 09:59:00,877.0,877.7,876.55,876.85,172
2024-04-29 10:00:00,876.85,877.7,876.2,877.4,109
2024-04-29 10:01:00,877.4,877.55,877.4,877.55,151
2024-04-29 10:02:00,877.55,878.85,877.55,878.0,626
2024-04-29 10:03:00,878.0,878.0,877.3,877.3,257
2024-04-29 10:04:00,877.3,877.6,876.0,876.4,402
2024-04-29 10:05:00,876.4,876.4,876.0,876.25,272
2024-04-29 10:06:00,876.25,877.3,876.25,877.2,123
2024-04-29 10:07:00,877.2,877.2,876.1,877.0,222
2024-04-29 10:08:00,877.0,877.0,876.05,876.05,59
2024-04-29 10:09:00,876.05,876.9,876.05,876.9,122
2024-04-29 10:10:00,876.9,876.9,875.85,875.85,1126
2024-04-29 10:11:00,875.85,875.85,875.05,875.75,252
2024-04-29 10:12:00,875.75,875.85,875.1,875.85,12
2024-04-29 10:13:00,875.0,875.8,875.0,875.05,660
2024-04-29 10:14:00,875.05,875.05,875.0,875.0,196
2024-04-29 10:15:00,875.0,877.5,875.0,875.95,516
2024-04-29 10:16:00,875.95,877.95,875.95,877.95,44
2024-04-29 10:17:00,877.95,878.0,877.0,877.0,280
2024-04-29 10:18:00,877.0,877.95,877.0,877.0,48
2024-04-29 10:19:00,877.0,877.85,877.0,877.0,52
2024-04-29 10:20:00,877.0,878.0,877.0,878.0,115
2024-04-29 10:21:00,878.0,878.0,878.0,878.0,10
2024-04-29 10:22:00,878.0,878.0,877.25,877.25,20
2024-04-29 10:23:00,877.25,877.8,877.25,877.8,3
2024-04-29 10:24:00,877.9,879.95,877.9,879.95,818
2024-04-29 10:25:00,879.95,879.95,879.95,879.95,47
2024-04-29 10:26:00,879.95,879.95,879.95,879.95,0
2024-04-29 10:27:00,879.95,883.85,879.95,883.1,1037
2024-04-29 10:28:00,883.45,883.45,882.4,882.4,132
2024-04-29 10:29:00,883.6,885.0,882.6,885.0,405
2024-04-29 10:30:00,885.0,886.15,884.45,885.85,412
2024-04-29 10:31:00,885.85,885.85,884.05,884.75,371
2024-04-29 10:32:00,884.75,884.75,883.95,883.95,138
2024-04-29 10:33:00,883.95,884.6,883.95,884.6,100
2024-04-29 10:34:00,884.5,884.5,883.5,883.5,64
2024-04-29 10:35:00,883.5,884.4,883.5,883.55,3
2024-04-29 10:36:00,883.55,883.55,882.85,882.85,150
2024-04-29 10:37:00,882.85,882.85,882.8,882.8,23
2024-04-29 10:38:00,882.8,882.8,882.0,882.5,74
2024-04-29 10:39:00,882.5,882.5,882.5,882.5,5
2024-04-29 10:40:00,882.5,883.05,882.0,883.05,110
2024-04-29 10:41:00,881.8,881.8,881.75,881.75,137
2024-04-29 10:42:00,881.75,881.75,881.55,881.55,15
2024-04-29 10:43:00,881.55,881.55,881.3,881.3,14
2024-04-29 10:44:00,881.3,881.3,879.1,880.65,389
2024-04-29 10:45:00,880.65,880.9,879.75,880.9,16
2024-04-29 10:46:00,880.9,881.25,880.9,881.0,26
2024-04-29 10:47:00,881.35,881.55,880.05,880.05,207
2024-04-29 10:48:00,879.3,880.05,879.3,879.85,112
2024-04-29 10:49:00,879.85,881.55,879.85,880.15,514
2024-04-29 10:50:00,880.15,880.15,880.15,880.15,10
2024-04-29 10:51:00,880.15,880.15,880.15,880.15,16
2024-04-29 10:52:00,880.15,880.15,880.15,880.15,1
2024-04-29 10:53:00,880.15,880.15,880.15,880.15,0
2024-04-29 10:54:00,881.55,881.55,880.3,880.3,42
2024-04-29 10:55:00,880.3,881.55,880.3,881.55,1
2024-04-29 10:56:00,881.55,881.55,879.0,880.6,851
2024-04-29 10:57:00,880.6,880.6,878.55,878.55,303
2024-04-29 10:58:00,878.55,878.55,878.55,878.55,0
2024-04-29 10:59:00,878.55,878.55,878.55,878.55,0
2024-04-29 11:00:00,878.55,880.25,878.55,878.55,148
2024-04-29 11:01:00,878.55,878.9,878.55,878.55,124
2024-04-29 11:02:00,878.55,878.85,876.35,876.35,622
2024-04-29 11:03:00,876.45,876.45,876.45,876.45,5
2024-04-29 11:04:00,876.45,877.4,876.35,877.4,11
2024-04-29 11:05:00,877.4,877.5,876.4,877.5,6
2024-04-29 11:06:00,877.5,877.6,876.4,876.4,31
2024-04-29 11:07:00,876.4,877.0,876.4,877.0,1
2024-04-29 11:08:00,877.0,877.65,875.9,877.65,280
2024-04-29 11:09:00,877.65,877.65,877.6,877.6,1
2024-04-29 11:10:00,877.6,877.8,877.55,877.8,123
2024-04-29 11:11:00,877.8,879.45,877.75,879.45,392
2024-04-29 11:12:00,879.45,884.95,879.45,883.45,1847
2024-04-29 11:13:00,883.45,883.95,883.45,883.95,2
2024-04-29 11:14:00,883.95,883.95,882.5,882.5,172
2024-04-29 11:15:00,883.25,883.75,882.5,883.75,114
2024-04-29 11:16:00,883.75,883.75,883.75,883.75,1
2024-04-29 11:17:00,883.75,883.75,882.6,882.85,112
2024-04-29 11:18:00,882.85,883.65,880.6,880.6,222
2024-04-29 11:19:00,880.6,881.4,880.6,880.8,27
